relative_time,cts,e_cts
2500.45955,-2983.0493936881717,1411.4654451770239
2500.47344,-8769.89345688119,1391.9898601919767
2500.48038,209.33591922311683,1390.6598535039925
2500.48733,-3524.2201457450083,1405.3173769272173
2500.49427,1370.2007944003817,1375.8082578547042
2500.50122,-57.93090915954285,1379.301383083998
2500.50816,-762.965059154149,1343.8977135344633
2500.5151,-3918.750623147887,1335.1772266701814
2500.52205,157.27246036488387,1313.025543043582
2500.52899,967.9104002323126,1330.9064138178887
2500.53594,-2600.3424606884664,1319.248442746321
2500.54288,-1405.1297737753564,1321.9668526299517
2500.54983,-2145.9242665998295,1318.897714020661
2500.55677,-4322.312977175965,1343.4669081605716
2500.56372,-744.5605430491585,1298.4355077998707
2500.57066,-361.85675716663235,1328.7896278350538
2500.57761,-2173.6321856066647,1303.9765321137393
2500.58455,-1321.3054335027473,1361.3671861574849
2500.5915,-4349.322236168972,1270.1724722905578
2500.59844,-4558.309175064862,1269.9549715254923
2500.60539,-3188.868409463306,1262.3480396231894
2500.61233,-2444.3403866250014,1314.5393064068746
2500.61928,-2245.9590577838558,1257.514766995
2500.62622,-2774.8327991418623,1250.653002504842
2500.63317,-3635.5055311657134,1256.0919203502233
2500.64011,3333.8928142854843,1237.3688460507396
2500.64706,-3839.7448689566295,1258.6138102499847
2500.654,-3305.5442820927974,1301.4815675498462
2500.66095,-636.0285354807452,1251.3661742256634
2500.66789,-3365.0211251468,1262.9800856567194
2500.67484,-2795.097436339723,1253.4390754078302
2500.68178,-957.8777403440631,1236.648505896343
2500.68873,1381.9998612254924,1252.7514303041305
2500.69567,-6610.026936657076,1249.6326371793425
2500.70262,-2634.3262558705605,1250.3131138494666
2500.70956,-677.7970746857784,1239.3517047136068
2500.71651,316.9883075398872,1257.1315180584859
2500.72345,-2600.081949321949,1261.576646234549
2500.7304,285.3646754025018,1256.3059243184225
2500.73734,-6168.125526950297,1261.2269665479487
2500.74429,-5297.807929810639,1249.2016569656075
2500.75123,-3496.5683503278733,1269.3311429645973
2500.75818,8.874695606072365,1257.6450226782583
2500.76512,-4160.339947623956,1231.2380869454198
2500.77207,-2891.6396268139856,1242.5743527053153
2500.77901,-251.36759239231708,1254.884301552549
2500.78596,-5839.560024346448,1244.2872586501267
2500.7929,-5631.6261458267545,1253.3399412166787
2500.79985,-4664.251979393843,1238.9597137849278
2500.80679,-3362.0243702326356,1242.195125085197
2500.81373,-210.9351792697834,1262.6353014857314
2500.82068,-3748.624287183262,1247.981624539059
2500.82762,-3843.896441035792,1267.2743270480146
2500.83457,-2331.5015491965755,1258.3636144342222
2500.84151,-2231.1020420994246,1241.2504654118463
2500.84846,-1405.890851613242,1271.3043854360828
2500.8554,2578.9983622980703,1251.8364934041408
2500.86235,-1010.1267042760375,1337.4674537775704
2500.86929,-2250.3246338312174,1266.5497907373785
2500.87624,918.83075813984,1261.031320763296
2500.88318,-1376.8270496216142,1272.0065422467765
2500.89013,-1151.838418587208,1264.067939161733
2500.89707,-1587.5821438527985,1265.8481584462152
2500.90402,-3165.635865925425,1271.077792999166
2500.91096,-4517.5116963495175,1277.4223812328419
2500.91791,-1794.3327063130357,1268.1277203231625
2500.92485,-1437.4971746061408,1356.3197347212526
2500.9318,-777.7734693621422,1274.1911660888118
2500.93874,1893.9109906662052,1345.1612810819936
2500.94569,-5925.301133821155,1357.8974894671933
2500.95263,-6389.475915685471,1353.1745407801263
2500.95958,-3415.1242796819515,1354.1230469300294
2500.96652,-3379.231408250863,1365.6769882948336
2500.97347,-3364.1983288442293,1374.5373470337554
2500.98041,-1493.7905337933341,1270.1750948882072
2500.98736,-2364.8814475599106,1373.0403682954195
2500.9943,-1056.9645498977159,1274.5819331385876
2501.00125,-1004.5589294661444,1282.0984728419046
2501.00819,-3258.1752730271737,1282.5151161884887
