relative_time,cts,e_cts
2474.21744,-2107.642593080891,847.1312393860318
2474.22438,-19.380695583066426,828.531344818635
2474.23132,-2989.5717696305387,817.9483974035555
2474.23827,-2355.460685757332,814.8591311733135
2474.24521,12.768243693560754,814.3365578146593
2474.25216,-2593.4331131131767,812.7806120887258
2474.2591,-682.9995704125985,814.3706110819008
2474.26605,-1699.0624888006832,814.947207928925
2474.27299,-60.2558134490712,815.4501573708637
2474.27994,-517.7035105691086,814.6628920061581
2474.28688,1936.1993990436624,816.7529545711668
2474.29383,-2317.438192772941,814.2549454080835
2474.30077,-718.1034098073685,814.7270737572984
2474.30772,-160.1325456164158,814.8572842164461
2474.31466,37.311645460071794,815.3444190902082
2474.32161,-1295.6679467951533,815.4169121472514
2474.32855,843.3297404138201,816.0498411787296
2474.33549,-4452.164907660984,814.447952400721
2474.34244,736.7657546038421,815.5714793500874
2474.34938,-1815.6576436616217,815.903700716601
2474.35633,-1404.4802562867103,814.5524208985302
2474.36327,-443.07791095288064,815.8265902673894
2474.37022,-2220.139812392409,815.2413358100497
2474.37716,-947.9496886861135,815.2617677703946
2474.38411,-1761.2369441305127,814.0879112463929
2474.39105,865.5586743559403,815.0359772933617
2474.398,-1035.7479001150464,815.5885637011104
2474.40494,-3500.6761033126263,814.1683693049266
2474.41188,-937.8696907129727,815.5650150010517
2474.41883,-1191.9269191221072,814.6090993873967
2474.42577,-1439.5970243795516,812.5993794461175
2474.43272,-2356.133555231067,813.5608359303745
2474.43966,370.2567881960483,813.4933065699123
2474.44661,1882.3050822197465,812.5701744406526
2474.45355,-840.9567471436951,811.9140430135285
2474.4605,-1226.8458319605343,812.9851625617841
2474.46744,-390.3474078250004,813.2474304369471
2474.47439,-691.9802827452567,814.9132700964875
2474.48133,-1831.1119398143223,813.5378644043369
2474.48828,-121.53461013304272,814.3094306356701
2474.49522,-1965.3328349299372,814.9368187965462
2474.50216,1502.5463935500363,814.7524694142243
2474.50911,-669.5051263657585,815.4703584616003
2474.51605,-163.40212101083222,814.7465822392096
2474.523,-885.5606400552598,815.4023673619213
2474.52994,-1418.4116210674813,815.6719076297493
2474.53689,623.6626180050312,812.5627866131832
2474.54383,81.58574113601131,814.8518587806484
2474.55078,-72.75867252775528,811.9955399853001
2474.55772,-644.7200041192339,811.4616540158333
2474.56467,1293.6037416262875,811.9928849848033
2474.57161,-3325.866253210641,814.359644775501
2474.57856,64.30064898855547,814.465613925765
2474.5855,-1065.1522614868,813.7075535665242
2474.59245,-1039.529890605347,812.054642605055
2474.59939,-1195.27949214075,812.8659184090362
2474.60633,-1253.7972037428458,812.2164822005562
2474.61328,-1679.7586727972202,814.8164202957562
2474.62022,1167.089274039667,813.4151572074627
2474.62717,-150.57269687104082,813.0217553947184
2474.63411,-1904.4517111464659,815.110663611685
2474.64106,382.2810545764819,814.07740667921
2474.648,-1670.7843093787935,812.1731941489778
2474.65495,-1839.376610056472,813.5096983121099
2474.66189,-1181.6520671994615,813.4512883011802
2474.66884,-1095.5768356581525,813.0980578003006
2474.67578,-4675.29495876124,812.4197628907683
2474.68273,1999.053649935479,814.9174257494391
2474.68967,-1014.4634537409647,814.7596263720853
2474.69661,-1888.5198612087524,814.4076656540519
2474.70356,240.86718594099386,813.7989779314578
