relative_time,cts,e_cts
2552.9657,-1277.4753429300767,913.7174229270795
2552.97264,-1654.3884604430891,913.1797782255786
2552.99348,-239.24922897836538,911.0838480686479
2553.00737,627.5245782849348,906.2983095456591
2553.01431,-1432.7037120814996,908.2915471144688
2553.02126,-2415.537294862113,908.3171137339181
2553.0282,-394.74913693385497,909.8288466364343
2553.03515,-1490.0166159559772,904.359720625922
2553.04209,-2415.1643418008975,894.448714068851
2553.04904,-1661.518884079895,893.7954869419234
2553.05598,-1455.7478649393104,893.5702876356083
2553.06293,-2844.818518992962,882.8112150058904
2553.06987,-1986.8817072147028,882.0412336501447
2553.07682,-3226.9667214209444,907.8033312105698
2553.08376,-378.5971055140674,914.5138231229226
2553.09765,-1493.9145666737536,906.8656754422697
2553.1046,1399.0130862471283,912.9902656589112
2553.11154,-631.8620618020759,908.4019096884247
2553.11849,-1678.2194260144497,902.4251797542644
2553.12543,-1930.7196207981833,893.5714594389997
2553.13238,-1522.9845586805834,874.84838485085
2553.13932,-1540.3627225581233,890.2447096107511
2553.14627,-1184.3205952497383,886.4867361344589
2553.15321,135.59469680055662,901.2269575227443
2553.16016,-2518.0901187968225,902.9337424261417
2553.1671,325.5629884595789,897.288419796592
2553.17405,-184.02096333722858,871.1603999952999
2553.18099,-2787.9523917933593,898.9752840423353
2553.18794,-850.1422952012587,864.8518366462051
2553.19488,-1636.133361518441,868.4446923718878
2553.20183,-1511.303170254235,887.5855681328701
2553.20877,530.1407921649525,880.7667376706012
2553.21572,-1054.6197499252942,864.1850805164858
2553.22266,-1494.176304940365,856.2858473273252
2553.22961,-3146.4233479494196,868.9959726037615
2553.23655,-3047.7163827453587,857.8205901873456
2553.2435,1392.9280177630521,874.6424670367028
2553.25044,-3350.1968684179533,869.3001088476262
2553.25739,276.9313367466649,877.8898538170778
2553.26433,-2239.6725092395095,844.5575867653199
2553.27128,-2663.50143871765,852.2250159381408
2553.27822,1736.8118326647798,863.2801287155644
2553.28517,-2990.9370755243035,850.0634647912904
2553.29211,-2850.1795195087197,850.140271177219
2553.29906,-1549.8970475886424,858.3017752708961
2553.306,-3385.9447548973385,859.9908765958412
2553.31295,-1853.7105128827702,841.8504013483906
2553.31989,1820.3788849964985,910.9053078428274
2553.33378,-3035.5926918025393,908.4034010745592
2553.34073,866.387857837198,895.2945430622959
2553.34767,482.2858330453895,869.0310201779232
2553.35462,-859.1389755302771,834.7034659365233
2553.36156,-2215.967672324098,836.0006522908282
2553.36851,-407.9651616926428,850.0835985041066
2553.37545,25.481077801645736,842.7073092102637
2553.3824,691.7499503654141,843.8334122694207
2553.38934,-1243.5814624710843,844.3496449271329
2553.39629,-3704.205703787058,835.4138983744685
2553.40323,-1039.1230761840548,842.8472864517481
2553.41018,-144.63665135151626,844.8977293315755
2553.41712,-1713.6867188453796,847.5552728957408
2553.42407,-1444.9163535544865,850.8910775683777
2553.43101,-1104.0035928879204,824.5640642457059
2553.43796,-2177.498645314668,829.8941717629631
2553.4449,-1219.3628430323251,821.6402017289447
2553.45185,-2412.0688633510836,831.6977902375245
2553.45879,659.473797752071,829.075720357845
2553.46574,-1471.3267779731113,836.588045372674
2553.47268,-2571.2646392031197,826.6424173517655
2553.47963,-509.0863614657769,836.5364860234513
2553.48657,-354.1219676601674,844.3144908253902
2553.49352,-222.62868925717083,832.9094349442555
2553.50046,228.05371284913315,824.8019403341648
2553.50741,-1525.281293327772,825.3505573765126
2553.51435,480.50937910399284,820.1473242082724
2553.5213,-2991.7964335205397,825.1895942015636
2553.52824,764.2265227628047,838.9110923323786
2553.53519,-1206.357316773669,843.1341652274845
2553.54213,375.90515354122675,846.272041654552
2553.54908,654.5716115278452,836.593584806888
2553.55602,715.0116325437053,835.096339655393
2553.56297,-1059.1901027345853,833.9270929259154
2553.56991,-1232.6949828544448,826.4714405841988
2553.57686,-2738.3965067873555,843.4827234726423
2553.5838,-1712.89479280794,831.973696672414
2553.59075,168.68099166769684,824.8958976606407
2553.59769,-844.9601544940639,819.9220183743761
2553.60464,857.1970842555278,823.5910413205011
2553.61158,2428.787728029576,825.692297856484
2553.61853,-3877.564641120895,831.236206228885
2553.62547,-235.9284446946548,828.463080239293
2553.63242,-2504.915000629153,837.6788878025073
2553.63936,-1286.3444032170112,843.0283833395134
2553.64631,-2228.2504089454087,847.109348441514
2553.65325,579.788717000973,837.6325483047556
2553.6602,-2206.420670511435,828.3698686058843
2553.66714,-981.9918018352477,830.5622062236549
2553.67409,2001.4492473941252,830.8925482524551
2553.68103,-855.179558398241,827.0281537227055
2553.68798,-2457.2336814666833,813.7584390630743
2553.69492,-1690.4218408396569,811.8348705322637
2553.70187,1245.7552642897542,821.4964960221238
2553.70881,-686.5081542128379,832.592195807923
2553.71576,141.14648821395468,836.0008653459902
2553.7227,-317.1391069338041,823.8565080524489
2553.72965,43.61185903922183,829.7342738638243
2553.73659,-2512.7982546811577,832.8015225046635
2553.74354,-45.558650582698846,822.6127985438254
2553.75048,452.23845048253213,819.2833855260508
2553.75743,-489.8532328196154,825.6403123969371
2553.76437,-26.263948994696968,833.3308580548434
2553.77132,-757.2082726688319,810.8247760088575
2553.77826,487.6953036105202,824.0036226418629
2553.78521,92.72874388376579,820.6324508123212
2553.79215,-1813.5245808497439,841.121859221669
2553.7991,-2995.509878467958,826.6900351804896
2553.80604,-610.2159769178131,844.1993345102876
2553.81299,-1625.1266122628087,841.8563668929288
2553.81993,-1928.679617621298,809.8207535575705
2553.82688,-729.333307066091,839.1979711081151
2553.83382,-1257.4926862237287,811.7251471237942
2553.84077,266.8121752962448,787.1836425869074
2553.84771,-675.0666658989878,800.013717919593
2553.85466,-1332.8523210743433,802.9132921478777
2553.8616,-905.3494683813499,910.8277557638314
2553.86855,-749.1064240205362,908.2080294909347
2553.87549,-1560.339946357838,914.1787938805569
2553.88244,609.280984339039,909.5932076271772
2553.88938,-1063.4718723268431,821.1566730386113
2553.89633,-1510.2899864309788,820.2304157214822
2553.90327,-611.9480088579168,813.2740581520927
2553.91022,1100.300481115863,804.2008910198888
2553.91716,240.84735574910366,807.287740735639
2553.92411,-478.5613092295433,811.4229283763881
2553.93105,-2046.5854095904253,816.9391395777194
2553.938,-1229.6156965969483,805.5537912990767
2553.94494,-1284.6645697916163,883.9013117426566
2553.95189,-2225.1220134730534,890.2841248157351
2553.95883,-101.14634028225927,899.5294405188972
2553.96578,293.9460285177015,875.0773126225015
2553.97272,741.3041309301208,900.0273504326707
2553.97967,1999.4882876823701,885.6713740291908
2553.98661,-876.9790429991992,822.068123021976
2553.99356,-27.49114672825955,782.5594933491918
2554.0005,-2329.2518717174553,786.5148624331481
2554.00745,4.459777180173199,790.7864053776265
2554.01439,-1115.5779210953249,799.151270623506
2554.02134,-1326.1118949117183,797.1784863502555
2554.02828,1039.6203469323423,816.4091648620532
2554.03523,-353.08545429666367,801.8184016699647
2554.04217,-1512.3941192116497,803.432933688183
2554.04912,536.467997840729,871.6148466560098
2554.05606,663.7449145862253,868.1747514815364
2554.06301,27.719648389586936,866.2992268897741
2554.06995,-441.3446204628007,901.8825282564546
2554.0769,-1534.2698775606311,883.5806637237309
2554.08384,-560.3006678533862,877.2012595332454
2554.09079,-553.09535532711,792.1313160882365
2554.09773,452.98829812546154,814.5871171159722
2554.10468,-1250.926113073359,814.1878517422402
2554.11162,-3083.770642547811,879.3744221864291
2554.11857,-25.39468393342353,812.0790317480038
2554.12551,-2177.3197855061044,811.4462579166357
2554.13246,-952.5160462722426,806.2453683551781
2554.1394,160.97436034505375,810.3052409961332
2554.14635,1850.584993655103,840.7322878578113
2554.15329,-1484.4703639767931,870.0602896659163
2554.16024,-804.5102471152244,878.6072105477904
2554.16718,-1276.3232471411466,885.8311654007485
2554.17413,-4136.889738439017,877.5546115195499
2554.18107,-1811.26832668335,878.1609665108206
2554.18802,-924.6127443329456,820.9267865187303
2554.19496,-1412.253718877136,800.1130016251207
2554.20191,686.2409830395935,810.0757805865763
2554.20885,-2993.4763734735157,813.0035846238362
2554.21579,-646.198863240969,812.9620388672313
2554.22274,-554.4654065468451,796.8995971430969
2554.22968,-1593.3778777031869,798.9214906312061
2554.23663,-314.8016787506593,791.5742833669866
2554.24357,-1234.886681306729,785.8765491675659
2554.25052,-2747.503230107586,832.9657880346247
2554.25746,-1815.3067872805166,869.1544856443467
2554.26441,-98.13736222824818,864.7845112149888
2554.27135,1529.2983418811493,859.488599051245
2554.2783,-93.03533026199435,845.958104873232
2554.28524,-967.3506510973281,860.2322680944743
2554.29219,-1103.7016937232574,884.6101462668862
2554.29913,-879.9328397662323,797.8267066808743
2554.30608,-1084.3439278072808,795.2853847076218
2554.31302,1667.6819307532917,875.0636770921286
2554.31997,-296.5633046562343,790.7050183057131
2554.32691,-1505.5028499942746,864.0599106087656
2554.33386,-1460.7929046497088,788.4006136726902
2554.3408,-2943.357383674143,780.122461877776
2554.34775,931.7626625170817,772.4401188436096
2554.35469,-674.6715551009164,861.7431487763421
2554.36164,-751.449072055152,858.4571990116312
2554.36858,-1699.7586637349307,854.9048237667431
2554.37553,770.8432704038438,853.7696658631978
2554.38247,724.3286413089063,871.8655060541934
2554.38942,-2135.2773973183216,871.1502798751013
2554.39636,-2683.8247706281586,754.2449949470864
2554.40331,-1452.108350133133,777.1263736610706
2554.41025,-93.84813570531742,790.8821736729801
2554.4172,757.4839660485594,801.0962511981053
2554.42414,-122.55209894369935,795.8729908446297
2554.43109,-2732.8090286343095,799.0013863169848
2554.43803,-1710.4731013081935,791.6256296610471
2554.44498,-2337.5810502236873,789.77833487826
2554.45192,-3515.1666522174337,855.9618969533873
2554.45887,887.5972861667843,855.4209498968743
2554.46581,-137.5799448007885,838.4288419730178
2554.47276,-605.8632599565835,852.8930503988328
2554.4797,-1903.0287348554766,852.4792972740795
2554.48665,-208.64864868717552,852.2194765039268
2554.49359,-1492.825535212798,856.5457746250589
2554.50054,-911.1896299566189,770.0014894584782
2554.50748,-1087.8101222391088,786.924780564984
2554.51443,-2471.622255309961,790.768721799174
2554.52137,-1302.193257141163,786.5192300639707
2554.52832,1302.7759630094433,855.4702721668951
2554.53526,-1936.6571485825211,796.120667470544
2554.54221,1787.084435236009,797.4551384782122
2554.54915,-1812.0948741846273,783.5380557086106
2554.5561,-2065.320947905557,874.8781060459596
2554.56304,1455.417203327767,867.5262115681745
2554.56999,-1046.4612286038862,860.9749783894741
2554.57693,-1210.272205376831,858.3602589128863
2554.58388,-1245.3393806133802,858.7138239543526
2554.59082,156.97946952853218,814.9651835010775
2554.59777,-4103.168219606145,777.2652856267447
2554.60471,193.41669598481676,780.3591661628434
2554.61166,1296.2510421432596,788.8267239968437
2554.6186,-513.6410547206555,793.2161929735316
2554.62555,-570.1884513977909,780.1203313261551
2554.63249,-3926.198316857848,779.4936295669063
2554.63944,-1432.35291675714,777.7364571176776
2554.64638,-1127.9877451208142,792.8362090919677
2554.65333,-2274.1094673066355,781.8960395744846
2554.66027,501.3274251008441,784.5568854936621
2554.66722,196.37336899653795,813.9355944303412
2554.67416,-422.24497087568017,817.2025822856274
2554.68111,-1269.3602848617325,818.5764684982798
2554.68805,-3448.796027710003,823.3152414131927
2554.695,-1908.0947604993396,828.6894513489997
2554.70194,-970.3876459051522,790.8203876759778
2554.70889,-1797.9717670732973,789.8033688598041
2554.71583,-452.1165829298242,793.7211337076537
2554.72278,-1561.4047960578982,786.755827821457
2554.72972,-2428.1764727695777,787.074664871505
2554.73667,-2727.898746313925,785.2258787025834
2554.74361,-418.3594838848851,816.4667962833951
2554.75056,-111.6784026367842,809.6301757150927
2554.7575,-1312.1572079060104,826.7373334264707
2554.76445,823.9407713690503,823.4258170423105
2554.77139,-1291.8236493477218,818.1019946523347
2554.77834,-1417.1751865935296,825.1418698452584
2554.78528,-1512.661396912475,795.785318645435
