relative_time,cts,e_cts
2553.47326,10603.681924520724,1039.4956673918937
2553.4802,7270.350727967327,1039.9992881128912
2553.62605,7176.511355199526,1031.534877180691
2553.68161,7369.719798670651,1039.4842578180749
2553.68855,11337.082611814092,1037.792122052352
2553.86912,6884.028849719212,1033.6186705598427
2553.8969,6195.396024513803,1040.6613632889814
2553.90384,6999.326645157521,1039.3095953702675
2553.94551,8271.336844458232,1026.5969842423144
2553.95246,9532.327741343552,1035.2585568753668
2553.97329,8221.40428416542,1025.3415045961096
2553.98024,6236.942654681244,1025.1322935322526
2553.98718,8094.284037620097,1028.334971566375
2553.99413,3805.631997628797,1031.6867204808605
2554.00107,8619.526434162099,1017.9187770904232
2554.02191,4996.083364325975,1010.9001830872946
2554.02885,8452.092644474025,1016.6798253315264
2554.0358,8875.116989066966,1024.7559908592905
2554.04274,7383.9806996289835,1025.242550535325
2554.04969,4679.766579032543,1013.1658898583627
2554.05663,4494.193592971485,1016.7514817203704
2554.06358,3851.702897025794,1020.9642802478252
2554.07052,6756.910415909913,1014.9827845153767
2554.07747,6184.623147566596,1025.5717220715774
2554.08441,7177.53000621534,1015.2866843787776
2554.09136,5245.381592585477,1020.5307164427065
2554.0983,7919.350532460942,1023.2872481510501
2554.10524,7775.120830237671,1003.655423606877
2554.11219,3767.2542433001463,1007.3882736132203
2554.11913,7047.622518080738,1010.7781966158101
2554.12608,5479.106179108285,1003.4961160995362
2554.13302,5282.06038673042,1020.3885766118597
2554.13997,8415.56014878964,1001.8654000956797
2554.14691,7619.106957627022,993.2175829301286
2554.15386,9525.58116437605,1014.7749596614227
2554.1608,6150.479837966199,1004.615107386038
2554.16775,6229.8437671352585,1002.0377166498046
2554.17469,7094.174965471813,1008.9769767938559
2554.18164,9097.582032335002,1003.2510768412571
2554.18858,8697.385046007777,1004.823678660709
2554.19553,5824.030817963916,999.5790068075939
2554.20247,8839.081183054062,1032.4447640348667
2554.20942,7729.491385379088,1010.1848987772266
2554.21636,6357.062754478306,996.456302421735
2554.22331,6509.477386390979,990.2788179352755
2554.23025,6890.348367404988,1012.7706067728794
2554.2372,7370.061339464501,992.0855825968426
2554.24414,9709.873612381114,984.7820691428342
2554.25109,5446.155329919259,998.1852260656591
2554.25803,6844.415555840659,1006.9062990930195
2554.26498,8852.36512592521,1002.4686146666478
2554.27192,9728.22863097288,1029.1175403725154
2554.27887,7185.410822778279,1020.6688042753748
2554.28581,9156.575393712996,980.102437772583
2554.33443,7688.623145011984,1037.5523077390926
2554.35526,5764.572329847622,1027.6696974443544
2554.36221,6595.690258797316,997.2381248071582
2554.36915,6737.564683763461,973.684072657554
2554.3761,6907.482348335066,994.9756169820205
2554.38304,6905.236901554892,984.1033594479052
2554.38999,7420.59071643642,1001.8198684319349
2554.39693,7060.468951780119,981.1710989764442
2554.40388,6798.914815240013,1023.1844553551489
2554.41082,8607.295477659753,973.3965940499297
2554.41777,4929.8181590586855,979.8386313648447
2554.42471,9500.377202547006,976.8863241655523
2554.43166,8034.854659911769,979.7349855166954
2554.4386,9624.570093671296,993.3974703229557
2554.44555,6752.874519092419,975.7977228653906
2554.45249,9816.62712987049,971.3873361109595
2554.45944,7618.14940647848,967.6190844363182
2554.46638,8670.12533489224,1005.550585807658
2554.47332,5100.184529112813,1009.304868751736
2554.48027,6754.3055142386775,1029.0225316783785
2554.48721,5315.097074301913,996.2583943001657
2554.49416,9906.804136073952,1019.7315131177274
2554.5011,3698.4279619208696,1036.147437317932
2554.50805,12480.444428098459,1039.2458297147189
2554.51499,9891.518825997127,1027.8766692460601
2554.52194,6996.228679286859,1026.6982841967815
2554.52888,4923.88731330347,1009.282156235629
2554.53583,6109.632497379175,1017.7161771814893
2554.54277,9187.609861026565,987.8648933360925
2554.54972,10013.315706619447,973.9092784510636
2554.55666,6855.606641652516,980.7705909459411
2554.56361,4265.110890256949,977.9651153648604
2554.57055,7112.159012967167,960.424228512417
2554.5775,4514.167171572571,983.9045982740879
2554.58444,10177.127116567312,984.5930114383394
2554.59139,9396.001994725453,978.8541024389565
2554.59833,9546.814061358456,984.733658427752
2554.60528,7901.449977454375,971.8685642104433
2554.61222,7979.527397201703,988.3317261788887
2554.61917,5359.377310398528,977.1313634238313
2554.62611,10610.672687694256,1025.9371483283758
2554.63306,9616.721479830725,1001.4997605758193
2554.64,11031.56120272091,1016.1019890649404
2554.64695,6020.2164137810605,993.4779771288743
2554.65389,7830.784088901976,990.3166721287868
2554.66084,9917.969630318365,1001.2450178482175
2554.66778,7088.542261477323,1008.1506890599983
2554.67473,4395.366530340323,995.3452018685285
2554.68167,9905.357359461099,974.9121480002871
2554.68862,7969.071109270088,992.9350093729312
2554.69556,11249.221429201278,1000.3157240553966
2554.70251,5629.860877977601,973.0510012579007
2554.70945,7468.949715225998,988.2751048359183
2554.7164,5713.6286893777,965.1609077517628
2554.72334,6866.38026502044,980.4165742629616
2554.73029,7912.493378595773,992.5604128044653
2554.73723,7028.472134899111,982.2106497723377
2554.74418,5701.124329629824,989.9420755603209
2554.75112,9532.267707791589,999.5826322796486
2554.75807,8957.735099299629,998.1066386272989
2554.76501,7187.247870794656,994.1289626257385
2554.77196,8123.574332980808,1005.3131173880811
2554.7789,7728.084169064245,1006.7988145097534
2554.78585,4797.076724724221,1013.2172862563134
2554.79279,4408.043846431509,999.7833128210242
2554.79973,7423.179303483409,996.1479240340313
2554.80668,11074.127656851004,1008.8455001161108
2554.81362,6829.947469817557,994.3690968335908
2554.82057,6733.425141097817,932.134136912653
2554.83446,9244.573811106227,1011.6477767512611
2554.8414,7904.876155177511,947.9457802265792
2554.84835,6990.589470768977,936.0041150678856
2554.85529,5673.636853564033,934.3676409613539
2554.86224,4652.620323866008,940.4189803466194
2554.87613,6387.53399404504,933.5780344741664
2554.88307,6166.6287568127345,985.6966477843746
2554.89002,6931.234948395426,931.3255500129444
2554.89696,8298.540787283046,1028.0909986234062
2554.90391,8872.749235920712,1026.4046209603582
2554.91085,10994.421973625032,1037.7430715480837
2554.9178,6139.581135812391,942.7643408713578
2554.92474,8111.948830311581,1021.0129042259695
2554.93169,5005.504153459876,1019.3346305592788
2554.93863,6454.981529728256,1001.8395952651732
2554.94558,6002.572094343529,961.9751841310723
2554.95252,8121.370685760792,1000.7155922967137
2554.95947,7801.807823400111,1024.9472878259367
2554.96641,7993.549230267493,1016.7831512850828
2554.97336,9032.925576976178,1008.4816733322778
2554.9803,9065.16796627312,1005.1308841015716
2554.99419,6075.839685621233,1001.3826791547616
2555.00114,6595.212549538354,1038.555390551378
2555.00808,7367.886162863267,1011.5473298490422
2555.01503,4754.673630099647,993.8308208650125
2555.02197,9171.368172748047,1005.41985555063
2555.02892,4851.715680901569,928.3764417595826
2555.03586,10137.421373151365,924.8655986008185
2555.04281,5169.891053780643,1012.219854915172
2555.0567,7609.119315274231,935.1431720864471
2555.06364,7813.49538562039,927.1085928557799
2555.07059,8789.382359077243,920.2479201500887
2555.07753,7720.8880335619715,922.3868420307766
2555.08448,8082.662480317519,1039.8317699776621
2555.09142,9066.544152812437,1002.9831118038092
2555.09836,6210.215568063139,927.2017888138895
2555.10531,5513.780407101622,1006.9383951838558
2555.11225,6398.119626023779,931.9587280441286
2555.1192,7272.436653977097,1001.3946218862357
2555.12614,8544.02384599426,1006.1727807911474
2555.13309,9669.90384929437,999.4079698318412
2555.14003,8818.702191372047,998.6802096326442
2555.14698,5934.837080052688,1000.1757168551701
2555.15392,7974.946080103048,1032.7641254702653
2555.16087,8893.764071422189,1013.7565219086708
2555.16781,7584.1386398711375,1011.4341937946323
2555.17476,7443.180179756434,1003.3818070982851
2555.1817,11351.082052258367,1005.5205157159108
2555.18865,6080.673399553806,994.6494311286368
2555.19559,9510.161498570147,999.1493883691229
2555.20254,8459.722557044479,1001.0025377466828
2555.20948,7971.392797594939,1004.2190778798375
2555.21643,8659.174276656702,985.1237165682155
2555.22337,7616.317690038654,1001.8633740965903
2555.23032,6508.265305777898,968.6737769096162
2555.23726,8700.95208398339,966.26475736086
2555.24421,7570.700187911546,969.3891678512153
2555.25115,10024.805573981219,973.0269025318906
2555.2581,6691.555310759863,971.216512398269
2555.26504,8044.592464587386,965.912446782377
2555.27199,6201.002923677786,966.1483157289886
2555.27893,12902.571574989415,970.6166034047623
2555.28588,6301.02020745817,975.5585483413175
2555.29282,8278.573073416168,974.3946651802572
2555.29977,9092.05489355622,975.5366888774588
2555.30671,8790.311652870065,972.6495335436184
2555.31366,7817.838167984157,978.6023453942232
2555.3206,7682.206166106859,985.478053145788
2555.32755,7923.772648683785,975.8978498730164
2555.33449,5763.567860825433,981.2769840867451
2555.34144,5603.34972020981,979.6397635594963
2555.34838,5117.161761692297,987.5961818779274
2555.35533,7088.110723671294,984.7332319016278
2555.36227,9581.42089822419,979.680070278221
2555.36922,10083.78517989171,988.3074141898167
2555.37616,11484.63196686101,989.3834329693183
2555.38311,8561.113468207433,975.5109906784835
2555.39005,5788.136618624204,982.0200992264087
2555.39699,7201.983921855204,982.0512356334659
2555.40394,9779.516158130335,986.218182602583
2555.41088,8913.330637469378,989.9121121001049
2555.41783,8854.242693923372,982.3286908771744
2555.42477,8012.260078278265,992.5414323919441
2555.43172,9244.256262406856,973.8379419568128
2555.43866,10705.965021703707,978.7404332268914
2555.44561,10445.331221907816,975.6133569482607
2555.45255,8009.264052151256,977.4556299096569
2555.4595,6694.766519316466,983.780372540452
2555.46644,8930.258606281532,983.9330688928698
2555.47339,8550.637773337174,977.5840142730024
2555.48033,5608.62851415285,973.3678035365549
2555.48728,6381.431471524887,979.8157055856758
2555.49422,9844.720486295528,985.2397316739629
2555.50117,8902.271668124451,982.456755345927
2555.50811,8307.670472337268,983.4026836575866
2555.51506,8762.389759946906,979.2378693190898
2555.522,6520.330876775633,976.8443113423313
2555.52895,4999.539932035453,931.5486231758339
2555.53589,7720.138840425039,927.8732475647092
2555.54284,7701.243733128669,936.7501092588867
2555.54978,6688.269780026139,928.9264471965729
2555.55673,6392.732387813694,932.1189952352486
2555.56367,5197.534851670908,933.4223524388804
2555.57062,6810.9258975254,919.021764174914
2555.57756,9285.37572666104,936.0352514749427
2555.58451,6360.31064428158,927.8824178763767
2555.59145,6104.6561104581015,1015.7890255214029
2555.5984,8417.275743492188,926.8912777955654
2555.60534,5735.566634043196,985.9114036878447
2555.61229,8116.475125540231,1011.9553020867166
2555.61923,9568.833365882121,991.7497999056674
2555.62618,9711.918271988383,930.8480540170463
2555.63312,8872.146127981276,1020.2470765701989
2555.64007,6825.1120497804895,1012.5693930738487
2555.64701,4647.058103313521,1007.994473867057
2555.65396,10351.91837526409,1021.307953672296
2555.6609,7859.016279580397,985.7070976744144
2555.66784,10714.641629382633,1008.9924383658536
2555.67479,8844.563216695224,1007.4704865236351
2555.68173,4833.5848017880035,996.9755979777922
2555.68868,8441.117167617884,1011.3483554121628
2555.69562,4793.760590741096,998.4895524551841
2555.70257,7916.562651082479,978.4860103938827
2555.70951,6452.527618304942,1007.2511454643313
2555.71646,6899.908204055336,999.4515821280276
2555.7234,10814.230680934448,995.9783798997129
2555.73035,7623.60830107741,995.4878748570305
2555.73729,7770.210661497359,999.9944432524397
2555.74424,7036.792486632906,998.6390498616712
2555.75118,9383.140419348667,967.9584925995482
2555.75813,7229.312836834372,988.690434649233
2555.76507,7947.085500310225,963.3765357117095
2555.77202,4349.620537218338,963.0618660636757
2555.77896,5053.466482954069,965.4786697141961
2555.78591,5320.832571092303,969.9068639343072
2555.79285,6754.228632904815,992.0293877799961
2555.7998,8285.903777910586,994.7617141307986
2555.80674,6152.579519443473,970.0792871199632
