relative_time,cts,e_cts
2229.18267,1490.937763579943,782.3513393551507
2229.18962,2891.7303317373858,773.6340556888892
2229.19656,1003.4822005231173,757.2643182671509
2229.20351,1158.3806621172514,742.9823823399329
2229.21045,1477.133597136272,712.4671399970932
2229.2174,512.4381992893427,706.1518562403567
2229.22434,2321.1922525800555,712.1061771668321
2229.23128,-526.5811989739127,706.5963269550043
2229.23823,1998.51663907683,700.6073502565084
2229.24517,2101.7919879311467,699.6881372191231
2229.25212,-1450.2136823708418,691.3568687484385
2229.25906,-709.8067875702468,698.8019097960702
2229.26601,-1630.0012513669801,699.1109933531561
2229.27295,-1228.8555753724888,703.1671800675242
2229.2799,-4421.808240729328,705.7859873218879
2229.28684,-1542.1685980328552,710.2887324480133
2229.29379,-3236.798271284312,710.0105468081504
2229.30073,-1228.0979500913913,717.6744828977304
2229.30767,-3047.4919517015114,713.4185035699675
2229.31462,-1165.125802708868,718.5037161896895
2229.32156,-728.4322817189787,716.2869993986471
2229.32851,-1132.2040719077177,710.592805532036
2229.33545,-719.6492355937628,701.8155005738716
2229.3424,-500.58550771893124,705.0962121968546
2229.34934,2030.7008908739913,712.0680766945808
2229.35629,64.96287096144431,712.0532540451021
2229.36323,2266.9069084859925,705.1881752545354
2229.37018,533.291996948075,711.7964673006134
2229.37712,1449.5084582871968,714.0800947840203
2229.38407,-529.7266278241894,715.6040092892202
2229.39101,-1097.3393214066018,715.780628464698
2229.39795,-3072.144418636135,708.3565687730184
2229.4049,265.13784608201536,719.7911989972198
2229.41184,-1694.9346857991784,719.6306550894865
2229.41879,-1018.5033899968673,713.1302969839782
2229.42573,-2410.670950700296,674.9551895609223
2229.43268,-1314.5057501481697,670.9381471673604
2229.43962,1032.1067199785884,714.6644412050156
2229.44657,-2035.2341163779179,709.2962412420785
2229.45351,-3256.612917706708,715.6097504562719
2229.46046,-919.169508900743,713.0535741151981
2229.4674,138.6140065993258,732.3413901719707
2229.47435,-2106.9530883408047,723.7550051144851
2229.48129,754.8862224895316,719.2247023865123
2229.48823,1102.8394638268694,713.7566061168777
2229.49518,141.4221679815366,714.6663201324142
2229.50212,1053.9067663522767,708.7852773744881
2229.50907,1887.66942157547,706.121897786833
2229.51601,1762.1913095750117,705.5717895984362
2229.52296,-270.8340232608813,708.050825531308
2229.5299,155.6520158658682,705.7066548317207
2229.53685,-1423.3719518621685,710.7963560002283
2229.54379,-65.33949152002826,716.0051602888424
2229.55074,-1123.5264544865395,714.1281118175426
2229.55768,-4446.506010691231,714.7513937896331
2229.56463,-443.8860550721071,722.8307816040365
2229.57157,122.57349901178199,704.5231393402515
2229.57851,-1760.1888948922763,728.1939710939102
2229.58546,-554.8737745889476,714.7282203517158
2229.5924,-2304.4478779119877,706.0279514168981
2229.59935,-246.25504326451798,708.7744213495179
2229.60629,-494.2438145937575,712.5360340017121
2229.61324,-424.7369664882717,706.0183480101937
2229.62018,-747.3473394568207,706.6976846496786
2229.62713,2342.3327954368006,706.3535277811503
2229.63407,-2590.3812749033764,703.2659281408114
2229.64101,22.50130383282414,710.947505270968
2229.64796,-909.6699651274901,703.8198985688609
2229.6549,-1406.1663005177204,698.6515956041743
2229.66185,583.1440118449093,687.9506865291647
2229.66879,72.36260898179599,699.1043127224052
2229.67574,-1938.9719684240993,676.1142789962082
2229.68268,-1640.9786759241647,688.042336432279
2229.68963,-1567.4025929973755,679.2746348808191
2229.69657,1118.3275667591963,677.1272296338177
2229.70352,-1538.4967563563773,676.3490405361902
2229.71046,-1549.16822890214,687.8220843872093
2229.71741,-1571.9814346831488,685.2332355863693
2229.72435,-1580.3830585464282,670.8643470745338
2229.73129,-1907.4158003023806,679.651986133391
2229.73824,-564.1388699767857,669.4112055013516
2229.74518,-517.8544162858026,667.5701698051935
2229.75213,-1113.7510215402444,642.6589328138274
2229.75907,593.4141246213396,641.293474519251
2229.76602,-965.5386187095229,648.0318300952612
2229.77296,937.6933322002337,672.4998489902454
2229.77991,187.52822795449828,643.7350362890041
2229.78685,-1481.8633793230736,675.2418303740793
2229.7938,1281.8391359338202,673.6755356175532
2229.80074,1136.6840611353473,679.1156567459182
2229.80769,-309.6171724671267,660.81594773115
2229.81463,1857.392176703132,679.5090832662345
2229.82157,-2201.319294164481,669.7234206041019
2229.82852,-1878.0378309600303,670.9652872297861
2229.83546,-551.1353353746706,670.483551121731
2229.84241,-868.4163395465222,666.8595177090635
2229.84935,-1289.4165369782045,670.5560985962918
2229.8563,-1658.9364201523701,646.4985209530678
