relative_time,cts,e_cts
2201.73599,-1103.8877341759644,588.7911199121439
2201.74294,1987.2704853005516,589.9181800852195
2201.74988,-1192.1030210922297,588.3618712099067
2201.75682,2661.8833815753183,589.6419809703748
2201.76377,-1047.8634110731848,588.231623107073
2201.77071,-1642.1262419544144,588.2155975353784
2201.77766,-300.16831505383755,588.6120422150192
2201.7846,585.9078076571759,588.7651993565842
2201.79155,-142.032490846253,588.5546082869323
2201.79849,382.72453163261406,588.1322430517316
2201.80544,261.3488951465952,588.7586385520649
2201.81238,-3289.981141795891,587.4601370281083
2201.81933,-122.59917275177969,588.0293137086996
2201.82627,1672.3626237920148,588.9968710440357
2201.83321,-1818.3688110935072,587.6732018437264
2201.84016,922.8366330950964,588.6075249397765
2201.8471,643.9512452393092,588.983211664135
2201.85405,268.14212423254105,588.8089739047703
2201.86099,918.2178267135183,589.2155286766211
2201.86794,354.4406882416224,588.7881083953155
2201.87488,-678.6838217018978,588.2942196354373
2201.88183,277.0393280399015,588.9669709840953
2201.88877,-2310.347623977326,588.074378906955
2201.89572,847.5202105262671,588.762510502273
2201.90266,-431.7463252298652,588.4406008641382
2201.9096,2370.0894494965746,589.4434359680371
2201.91655,819.9021274627244,589.3524451381467
2201.92349,-1064.560981237288,588.3824140568441
2201.93044,-714.1813234389318,588.4315663136525
2201.93738,-482.5059791455202,588.1399869521479
2201.94433,353.87301731944535,588.8547919822328
2201.95127,-3345.2777533678914,587.2975151193679
2201.95822,-2370.7489716820214,587.866906908304
2201.96516,-443.0140229979648,588.3690773394607
2201.97211,-1524.0377836409032,588.0199564956966
2201.97905,482.5222198255598,588.9479338955722
2201.98599,-614.284792961507,588.0886836118905
2201.99294,668.7531298514909,588.3418661338314
2201.99988,-1175.7688764768259,588.05394361419
2202.00683,1521.6107161854568,588.4100554791631
2202.01377,-576.5428507538421,587.5582264333802
2202.02072,-241.92493426512485,587.9144458525259
2202.02766,-1221.8264770814287,587.9930679525849
2202.03461,3485.293495926585,589.3742786351535
2202.04155,1244.7174467117388,588.8268278973966
2202.0485,-1541.5669626663691,587.2250236071384
2202.05544,-138.55741553447973,587.15038101146
2202.06238,827.2452810323936,588.3998378327806
2202.06933,-258.94269320060357,588.0384558133576
2202.07627,-3399.7245794233863,586.9039744023831
2202.08322,172.66811377197797,587.6563158386523
2202.09016,-1494.954059869421,587.7011659285628
2202.09711,-683.994631629002,587.2368545661077
2202.10405,-2051.1693871390626,587.6074862443612
2202.111,819.9731132165398,587.7852732914166
2202.11794,-2760.361380072335,586.6662796812745
2202.12489,176.04725076192818,587.9928528442399
2202.13183,-1223.7720245068283,587.0678869611929
2202.13877,-788.0511423883447,587.5684440797627
2202.14572,296.07157662531876,588.109011350483
2202.15266,1396.7625856878035,588.2074234182724
2202.15961,-1437.8456982625448,586.921720840837
2202.16655,-919.3259573522433,587.1889929593685
2202.1735,-2008.9827687550114,587.304506140577
2202.18044,2419.777971408827,588.124391597143
2202.18739,-714.3266291259082,587.20663184365
2202.19433,1864.0655674495488,588.1962377843378
2202.20127,-736.5268858607616,587.1527472032539
2202.20822,-2771.3475010169677,586.4891379592539
2202.21516,-2996.5577640045703,586.6028227195306
2202.22211,-715.3675384068533,587.0587448565349
2202.22905,-719.8609366233579,587.3977556080888
2202.236,-896.246660365978,587.241049178833
2202.24294,-2006.0405168135426,586.4082572215734
2202.24989,569.6434656996908,587.8000082130419
2202.25683,-1189.5501152550198,586.9441996628784
2202.26378,-1343.9171337058772,586.623365566468
2202.27072,110.06685302404433,587.1615666453945
2202.27766,-1737.7728768617555,586.2976915322976
2202.28461,-624.5457836754997,587.1820019381595
2202.29155,-669.6091535099991,586.7451168896785
2202.2985,-912.1278943612058,587.1441428694579
2202.30544,-1376.0112987641605,586.8065303221458
2202.31239,-163.44018088434197,587.1183298680706
2202.31933,-2662.7512361927957,586.1587315414955
2202.32628,-3369.02603730678,586.3082318411973
2202.33322,-1150.6622908941008,586.8314828901536
2202.34017,-2835.3100749255673,586.116032535034
2202.34711,-94.57292160379933,586.8952625144149
2202.35405,318.2962481573176,587.0476667767728
2202.361,-173.72741481641168,586.7355445683307
2202.36794,-861.9049357660629,586.7938389297971
2202.37489,1266.8156345369396,587.8816418299293
2202.38183,414.849887400907,587.2765420557407
2202.38878,-160.0424370225584,587.1186525305881
2202.39572,-478.2302705740491,586.766412615823
2202.40267,830.9452521187541,587.3507544347294
2202.40961,215.5941670916042,586.5862593769738
2202.41655,-883.4250199143593,586.7210247550503
2202.4235,525.8690250678,587.2405114079709
2202.43044,998.7333104242792,587.3483882429356
2202.43739,1464.3922191059946,587.1628572954639
2202.44433,-3959.0440276640297,585.3447615644142
2202.45128,651.4849848025548,587.1816792756421
2202.45822,485.90092659882015,586.7997544092816
2202.46517,-1135.5279130723475,586.3528668227631
2202.47211,1463.317537814901,587.0720815739182
2202.47906,591.8342576673687,586.9994825075163
2202.486,-971.0347768397461,587.2283577864843
2202.49294,-1061.6793898490791,586.3811535701167
2202.49989,471.6489232078245,586.3736247780454
2202.50683,1562.3376093410525,587.4258272470977
2202.51378,68.69839922980029,586.6803692778651
2202.52072,1589.1418299816862,587.095313275167
2202.52767,810.6955978554055,586.7225305134646
2202.53461,-170.78182869559677,586.7442564562988
2202.54156,-724.1453570827974,586.2503676964207
2202.5485,-882.419173293632,585.8730676594755
2202.55545,2994.1324174158826,587.2002861474756
2202.56239,-1031.4809746343526,586.1606675165996
2202.56933,-2073.617126024717,585.3497090563468
2202.57628,390.95511467914594,586.6331529961608
2202.58322,-1177.0769503221304,585.8612367005063
2202.59017,-580.3551083962377,586.3697528278373
2202.59711,-2647.677518924302,585.3088384708168
2202.60406,-2378.0253341106013,585.4755474381102
2202.611,1028.9076335043776,586.7358672308479
2202.61795,-228.84860553315087,586.4652609329705
2202.62489,325.14088813769325,586.4197655180252
2202.63184,504.0552104745499,586.8155648726315
2202.63878,393.33797736971655,586.4268640934068
2202.64572,-1903.8264090282223,585.6669938650664
2202.65267,-3036.22922806594,585.0524293237023
2202.65961,-394.1020422107824,585.7989628346593
2202.66656,-2370.4387854486836,585.079532975159
2202.6735,995.3535281092944,586.6997290289057
2202.68045,-859.4594765471278,585.4611351790022
2202.68739,1526.7331987566058,586.5795910182819
2202.69434,-827.4227454169315,585.5743897225893
2202.70128,-450.1155023421447,585.7538976364038
2202.70823,1045.170792365966,586.1894920348155
2202.71517,-243.4924287743722,585.8411240702586
2202.72211,-2590.0664491154075,585.370682119974
2202.72906,-862.9193867205861,585.9049036945198
2202.736,-1829.68060607231,585.2075224403715
2202.74295,-2128.259055349031,584.8016129935552
2202.74989,-2181.449756224513,584.788814047034
2202.75684,1116.469636377198,586.1768006424667
2202.76378,-55.17550557382508,585.6356956008843
2202.77073,-232.92523133142203,585.2909844781906
2202.77767,-1219.861892567506,585.4058523343643
2202.78461,-739.9604452619701,585.6114959120836
2202.79156,264.6902806220165,585.9601865391578
2202.7985,-183.20110898808986,585.8593007254022
2202.80545,-9.95317067244835,585.454574374483
2202.81239,-1199.0864059550622,585.1534226916305
2202.81934,-55.85933500224522,585.5434141209244
