relative_time,cts,e_cts
2229.25026,-19469.628384372652,4493.222346806794
2229.2572,-24967.328295058658,4486.354712925718
2229.26415,-16419.60914123074,4482.936329420812
2229.27109,-4907.35727915213,4484.67418326801
2229.27804,-13032.341892310485,4483.114671343671
2229.28498,-12103.069255489549,4483.032359686967
2229.29193,-24450.288603372785,4479.284729555245
2229.29887,-4564.342067950789,4484.285652650354
2229.30582,-23959.810099384773,4480.192117580339
2229.31276,-11400.399629674206,4488.003395811487
2229.3197,-27552.938311771537,4483.009821971441
2229.32665,-14210.655305794282,4481.73742094489
2229.33359,-8824.157953365124,4483.660476019672
2229.34054,875.6328738687936,4483.550727144067
2229.34748,-17674.091214086715,4481.534581505155
2229.35443,-20900.790958492882,4484.885351863483
2229.36137,-4119.620515934495,4487.149412373182
2229.36832,-6238.560675361015,4486.019586894851
2229.37526,-3987.6920784997014,4486.103858352905
2229.38221,-17768.793714826763,4483.121530648396
2229.38915,-10911.955399487595,4484.996570590101
2229.39609,-16004.338014052686,4488.282667503876
2229.40304,-15393.890270418507,4484.7515954213395
2229.40998,-15676.774366645846,4484.350816045244
2229.41693,-8897.008669051591,4485.910817919921
2229.42387,-10641.98737405807,4487.124914856306
2229.43082,-11059.414772671566,4488.095016524604
2229.43776,-6867.621142367399,4487.250342142713
2229.44471,-8246.067019971377,4488.123923594519
2229.45165,-1156.8085132691847,4489.221412350572
2229.4586,-22561.206195044037,4484.018139766065
2229.46554,-2045.867986187491,4488.477177787873
2229.47249,-15723.705239626273,4483.940237662399
2229.47943,-13271.02511883808,4482.220022027352
2229.48637,-17034.376287040533,4483.342498250619
2229.49332,-19761.642215189415,4483.730538917939
2229.50026,-2819.3462146824972,4489.752518516449
2229.50721,-20263.071599171428,4480.206326140127
2229.51415,-5480.847088926185,4486.873570333156
2229.5211,-11410.356400433371,4483.939257761725
2229.52804,-14521.529774854038,4478.753133439031
2229.53499,-15604.234769423705,4480.806025353258
2229.54193,-15413.791563178402,4479.1588123185
2229.54888,-21393.867179170447,4485.600679356268
2229.55582,-11623.227573329183,4479.911376036938
2229.56276,-22356.951778734263,4476.05203722826
2229.56971,-19636.467253207054,4477.306800042659
2229.57665,-18577.404322224276,4475.089774765363
2229.5836,-1558.396797371202,4481.4738276633025
2229.59054,-18311.08985646167,4476.232338952469
2229.59749,-6279.789506313336,4479.638963649275
2229.60443,-17635.368479110835,4477.037817307359
2229.61138,-16877.50741762441,4475.498883297196
2229.61832,-7061.348975675466,4477.081422887399
2229.62527,-2633.579584408862,4479.223485763055
2229.63221,-5863.82411950701,4486.010767788776
2229.63916,-10554.811980353406,4477.5076796810445
2229.6461,726.937845933586,4482.263627607392
2229.65304,-13891.937221781101,4479.701677292477
2229.65999,-12769.447769854134,4480.6805980668505
2229.66693,-3684.131098128169,4477.762943806894
2229.67388,5270.568243266217,4481.315573704282
2229.68082,-6316.782226647422,4483.250387587165
2229.68777,-6248.742823275443,4474.12261279909
2229.69471,-19243.49523574074,4475.463606872893
2229.70166,-18879.78550218305,4477.342566417299
2229.7086,-16685.241596123517,4477.9241374679395
2229.71555,3322.7858648993742,4478.594879480011
2229.72249,-3446.6614785866213,4472.809545894525
2229.72944,-6424.3846298241415,4477.568433522898
2229.73638,-5437.432099567833,4473.123114110541
2229.74332,-9185.77951858428,4478.137755815101
2229.75027,-4365.947947628143,4473.82178329185
2229.75721,-2619.072644865109,4478.0544642577215
2229.76416,-8631.031779071538,4476.5586458772605
2229.7711,-7407.602758607841,4478.77126160152
2229.77805,-6522.239471035818,4474.287236112498
2229.78499,3126.9233179707157,4481.759468710079
2229.79194,-14463.667129942773,4473.988856356947
2229.79888,-40.52477231729857,4477.02164894622
2229.80582,-10126.13434208968,4475.2519483270835
2229.81277,-20495.60545901276,4473.890376339104
2229.81971,-16665.644562523223,4480.3101956116825
2229.82666,-8773.335894804079,4480.7393921073535
2229.8336,-8541.815742211087,4477.782541820396
2229.84055,-15269.627595964617,4483.072535614644
2229.84749,-10760.181033681047,4484.379233164821
2229.85444,-12232.467589381366,4480.844241479584
2229.86138,-20095.642830130648,4482.933389718787
2229.86833,-4584.160069153304,4479.393988480512
2229.87527,-9520.43813682881,4481.764858163792
2229.88222,5002.638411240791,4483.090173826795
2229.88916,-25185.43850691361,4478.918246702777
2229.8961,-17411.84921552961,4480.539982319981
2229.90305,-26760.177597792932,4476.795291890284
2229.90999,-6579.716035081115,4482.494394216365
2229.91694,-6200.603732762681,4484.66046465856
2229.92388,-18065.8981296504,4482.987284255914
2229.93083,-16184.608381439977,4484.5012307988645
2229.93777,3030.021920115862,4483.613930737608
2229.94472,-7305.363351825662,4483.520350223141
2229.95166,-1545.4136033771492,4484.699170735224
2229.95861,-24669.874055694025,4476.780593380159
2229.96555,1353.728862976559,4480.861389741397
2229.97249,-16978.33086793114,4478.467492392254
2229.97944,-16335.642432286524,4479.69530793809
2229.98638,-8542.252287961821,4481.801604439106
2229.99333,-30349.745831027252,4478.223987074504
2230.00027,769.1308991501545,4484.427738248236
2230.00722,-6272.769987827627,4483.641367956509
2230.01416,-22443.082108368984,4479.417016146376
2230.02111,-12067.246046611132,4479.802607062008
2230.02805,-3300.544569327465,4481.338111419808
2230.035,5693.1572686855325,4483.667825274735
2230.04194,-15660.558480324808,4479.696777789102
2230.04889,5606.309161806335,4484.236167666264
2230.05583,-7979.252804864494,4482.911341953599
2230.06277,-9706.271890298687,4482.032860998418
2230.06972,-24061.615900118242,4479.309227072121
2230.07666,-17123.039169969918,4481.314593803607
2230.08361,-17008.288391368722,4480.980937623754
2230.09055,-1433.9131553150878,4483.9608155765745
2230.0975,-6410.074160365735,4483.189633745312
2230.10444,-20812.478880005157,4480.1901577789895
2230.11139,-11520.119484598574,4480.145082347937
2230.11833,-1476.5388346796901,4482.6933140534
2230.12528,-23390.981677121916,4478.83838479776
2230.13222,-23736.105144625628,4478.629176003637
2230.13917,-1908.312469126233,4481.112244314209
2230.14611,-4927.004777637187,4480.974078319027
2230.15305,-24981.853852715234,4476.774224025771
2230.16,-8402.894733559147,4478.250444392731
