relative_time,cts,e_cts
2229.37237,-2891.963669468636,617.5549124171567
2229.51126,-1377.669037492657,616.5514030787474
2229.56682,-308.9403358722082,613.8567176583942
2229.58071,-1622.2632157613045,609.833083466965
2229.75432,-2725.907239266721,610.0452802136907
2229.83071,-1393.186591044036,610.7664292579647
2229.85848,-1745.8291134832098,609.9172157449383
2229.86543,-1764.7410685614811,609.2687894048184
2229.87237,-1177.302739238894,610.2450010712872
2229.87932,-2866.7073515578627,606.3075251569205
2229.88626,-2410.394988874818,608.7641023685107
2229.89321,-1990.4954812983565,609.4793866785787
2229.90015,-3477.315326360734,609.2795591894512
2230.02515,-1306.2011731954733,614.951503587355
2230.03209,-1983.7465584371719,614.1590180488299
2230.08765,-2441.1376056879935,628.4358071052845
2230.09459,-2074.4728236569044,628.2854566465493
2230.12237,-2500.4056498898885,628.6160143927048
2230.35154,-2656.047591720349,628.0846694736426
2230.52515,-3282.4650772065265,627.8681008341453
2230.53209,-1898.9115786746474,628.9464655073292
2230.53904,-2935.2261076016844,629.4254543446616
2230.62932,-2494.706087925452,628.2456830854796
2230.63626,-4529.520619197713,627.4696188027314
2230.65015,-3611.140243681871,627.6943980701171
2230.65709,-2244.7918493112593,627.7743717183805
2230.66404,-1307.1736527583564,628.9639530784161
2230.69876,-2270.058403849011,608.0481782692566
2230.7057,-2364.807236944863,607.8304366829182
2230.71265,-2313.765175571811,629.0141765295255
2230.72654,74.99747460540709,629.404234669989
2230.73348,-1726.8714134781321,629.4912459992996
2230.74737,-1985.7473924851918,629.3309788081797
2230.75432,-2541.470198905597,629.4524321220091
2230.76126,-847.5733068163754,628.4581997267983
2230.7682,-3108.231927943098,629.1698585648118
2230.77515,-3179.770382313815,609.2920350785803
2230.78209,-1667.512519211809,606.5697320916935
2230.78904,-2489.5204899405207,606.924388563859
2230.79598,-2364.0791568510726,606.7120851856024
2230.80293,-2871.978041504545,606.9035954153105
2230.80987,-2853.512659278177,615.6765979982765
2230.81681,-2670.023253333209,606.8462276516229
2230.8307,-2471.7631410801114,628.3754536587284
2230.83765,-290.7623256219331,609.2102486942896
2230.84459,-3999.316550885917,628.6966278301543
2230.85154,-1421.311083876129,617.1234812426584
2230.85848,-3211.3455781211783,628.8258652457479
2230.86543,-1069.4434527728617,607.8564547764863
2230.87237,-1711.1739725339262,626.7321551342117
2230.87931,-1664.820073053607,627.8268344316414
2230.88626,-2975.9053968958237,607.9001737042038
2230.8932,-186.7692852075477,617.3558313487464
2230.90709,-2499.952999040718,608.5702462451203
2230.91404,-2046.4243591064271,608.3677529677173
2230.93487,-1851.5534234352017,609.3179465406176
2230.94181,-1972.5161255903674,607.6008589966365
2230.94876,-1388.2613872578504,610.6483881531279
2230.9557,-2228.9580266388816,610.255344329796
2230.96959,-1578.2533972273518,608.3739375965163
2230.97654,-2921.3639019378274,608.7618631063593
2230.98348,-737.0531371253227,627.9467949040364
2230.99043,-2176.674241087127,608.8810771580373
2230.99737,-2640.539315112169,609.3723286214367
2231.00431,-3749.4537086696755,608.6950051364112
2231.01126,-2344.756350483789,609.3363937954838
2231.0182,-4136.612964330872,628.2327806702264
2231.02515,-2000.397818426333,607.3098615484888
2231.03209,-1554.3708133306816,607.9117965410848
2231.03904,-2215.0632983580645,617.3796101801634
2231.04598,-2844.677810407221,608.1425471742075
2231.05293,66.78823292693264,609.325837273913
2231.05987,-3033.7941622440035,606.9762114879337
2231.06681,-1505.009478149534,617.2321387727657
2231.07376,-787.4452793168203,608.217615772044
2231.0807,-3762.493465334791,608.3653004425038
2231.08765,-1604.2405676517224,606.3571088188439
2231.09459,-1905.632990600829,607.2175186426272
2231.10154,-1777.8599458226124,607.8824728700547
2231.10848,-2554.424117188243,607.6965074799596
2231.11542,-719.1650580078854,605.8205389547619
2231.12237,-2164.806791474022,607.4633043216235
2231.12931,-2392.8934490573206,607.9835595614597
2231.13626,-636.3364571329932,607.0729262865669
2231.1432,-3924.0667860781214,604.784933525516
2231.15015,-1647.667005079476,606.2183811969896
2231.15709,-1252.7587294276777,607.6949080069943
2231.16404,-3233.4250228283363,606.7560173763818
2231.17098,-996.4978887188321,607.2345796875901
2231.17792,-2807.412009684026,608.1737902127958
2231.18487,-84.9191120404979,609.378833144829
2231.19181,-103.28426062770944,608.2389420782475
2231.19876,-96.94352326726151,607.7513160869028
2231.2057,762.085315557897,610.6395377360534
2231.21265,-2369.11355132502,608.1951165189993
2231.21959,-699.3539858600711,608.3538908686849
2231.22654,-1927.0843755902915,608.2193218765403
2231.23348,-1890.3401096853052,608.4548709285589
2231.24042,-1064.0703965564012,607.7570741895778
2231.24737,-1434.925051335776,608.4109387377795
2231.25431,12.542000678324461,609.1640772413588
2231.26126,-1808.2328711177488,606.947847500683
2231.2682,-3020.984729685886,607.4974264115492
