relative_time,cts,e_cts
2255.8425,1569.9509101073797,839.8783306069273
2255.84945,-1178.6680562867732,832.875947216613
2255.85639,1049.6820593505963,824.9284581495652
2255.86334,1615.2486992701492,815.1091743144256
2255.87028,-335.0840157113081,799.9818329434519
2255.87723,-543.5627967048889,789.4214908263564
2255.88417,202.79245097973626,801.5354184153806
2255.89112,902.0173546171112,811.0525028268703
2255.89806,520.6987106017813,767.3671066416016
2255.90501,534.2395049985929,771.7656359951762
2255.91195,-2082.512210605436,771.3211265936302
2255.91889,281.7670592940949,753.843787072958
2255.92584,-2376.6051974997445,758.7785948358837
2255.93278,-592.6763767896864,761.4430352529188
2255.93973,-475.54145254218446,766.3165241577217
2255.94667,864.5134434570136,756.5950784323857
2255.95362,-982.2513015961608,775.5573597885897
2255.96056,2802.8407422075925,770.0025618646093
2255.96751,-584.38682057724,777.2044931430471
2255.97445,-1227.1709591428933,769.5847355839188
2255.9814,-903.1035145954653,765.9282062695067
2255.98834,706.9310935801371,756.3491751617564
2255.99529,-500.8965910966111,761.0963639611764
2256.00223,1512.6928044199624,744.8186138424164
2256.00917,1337.480550354934,742.4176561638683
2256.01612,301.98281949237037,757.0098701620768
2256.02306,-86.02606771910929,743.0100214468607
2256.03001,-1959.3330886055567,732.6428441968211
2256.03695,864.4520199592012,733.6690456330174
2256.0439,-1647.4334610873118,752.2768077207568
2256.05084,-1245.6371437305638,731.8726960811482
2256.05779,-1377.9464972093729,727.2239732296696
2256.06473,-1060.7028161020617,742.8150777050811
2256.07168,-774.4026608135285,708.5560433203932
2256.07862,-2138.1917219351035,734.1708975844804
2256.08556,-499.12252979863314,710.0201618576887
2256.09251,-4630.488025244842,713.4504601631219
2256.09945,-1281.710002495289,712.5381067092426
2256.1064,-1526.8038851252547,710.6513484655336
2256.11334,-1761.4774335428492,711.1738144358535
2256.12029,-1567.654068920013,704.0671052749786
2256.12723,-28.331091327488824,710.4969002836406
2256.13418,-815.4559502458576,697.7784692076269
2256.14112,-3230.5191635957412,715.2666912560206
2256.14807,-1114.4221121259,700.4207260104605
2256.15501,-1253.3697028751126,714.6547583510675
2256.16196,-432.43094681173994,713.6550307563475
2256.1689,-1844.5188633946568,722.8905297630444
2256.17585,-2021.1553682752321,717.8621741175899
2256.18279,-350.953461761134,711.7813524738423
2256.18973,-1744.388307270702,720.4027211421037
2256.19668,897.2600157677971,708.8494530101142
2256.20362,-1159.8066475913722,722.1201723679922
2256.21057,-271.872748801491,713.732254847294
2256.21751,96.04814327275083,710.7398736429602
2256.22446,1785.9731663263492,719.7278997836833
2256.2314,455.50818396262275,720.0215187527837
2256.23835,-3067.69101679836,729.8735548107773
2256.24529,-306.78347917319115,713.497861942524
2256.25224,-2130.7906613273008,709.6697235371197
2256.25918,-3438.7734924550664,723.2767548574667
2256.26613,-1334.556812786997,714.5005194485536
2256.27307,67.53100257710082,721.3827764751733
2256.28002,-1617.1254121036536,737.4284357623352
2256.28696,-1378.6864044547428,729.6051540068777
2256.2939,-2193.3233398498705,719.6891830985204
2256.30085,-932.2617826694749,724.650569342612
2256.30779,-1617.6667132181067,716.1082036400207
2256.31474,-3106.471950730696,713.8447425136457
2256.32168,64.02421265854842,737.1518730626445
2256.32863,-862.4329971478005,717.2186400263687
2256.33557,93.21554687448115,741.0684320057859
2256.34252,-1803.1719549932277,732.5612252389102
2256.34946,-623.4584435673661,723.0896590924092
2256.35641,-989.0786227857247,732.7468560483129
2256.36335,-891.6677568349294,711.2022764314329
2256.37029,-1507.2208811301687,735.6299934166735
2256.37724,-656.2651836996865,716.2803359294613
2256.38418,-3828.734223797205,725.813220934085
2256.39113,-3147.672782125402,719.2465572113878
2256.39807,-1505.0006361956105,728.232595198008
2256.40502,-1555.997521414359,723.9509483777493
2256.41196,619.8612449569739,711.6072320302989
2256.41891,-83.38129956372445,737.2026233121148
2256.42585,-342.38807532682415,717.7194455809353
2256.4328,-1179.8487059048625,739.1338534239163
2256.43974,-1316.0929302724978,728.6237383578429
2256.44669,150.40040477915792,731.4738095842807
2256.45363,-1589.8756673287958,721.3061802223647
2256.46057,350.18048837384106,729.0068242615764
2256.46752,-987.2611360165506,732.3199261146246
2256.47446,-3353.735432685439,725.1392366931816
2256.48141,-1250.0301271805884,732.7980248565417
2256.48835,390.057627694735,737.3250517489813
2256.4953,-1473.111481501651,728.5731973877519
2256.50224,-1320.8445139388825,724.6862514767756
2256.50919,-2791.8622598907377,715.5326853470586
2256.51613,-1709.7826015942717,728.9012428147403
2256.52308,-1858.602005302818,707.4347244063239
2256.53002,-1114.0298179294791,725.8061054351903
2256.53697,-810.036765359637,719.0275463409934
2256.54391,-578.8717857353189,729.1858627705325
2256.55086,-955.1592488335742,725.0932998694343
2256.5578,-2319.2668331703812,708.1459603767353
2256.56474,-178.97781793603457,745.3069672739172
2256.57169,-928.1113540200117,742.6418990187442
2256.57863,-2137.153068375841,708.0868389520947
2256.58558,317.69028330264985,714.8131828411665
2256.59252,405.38179632190173,701.766287779406
2256.59947,761.7418862065006,724.048786487553
2256.60641,-2425.118041126379,698.9861158656405
2256.61336,-2120.396905596095,743.083059950222
2256.6203,-206.79115207923672,704.4703866388106
2256.62725,-30.78185749830055,734.6998512155573
2256.63419,677.1749143195847,737.9915019322314
2256.64114,-2899.154565652312,704.427065807304
2256.64808,-900.5026951097246,705.7646749598375
2256.65503,-453.6550150592849,741.77328495513
2256.66197,-1267.423754949557,735.5711859111018
2256.66891,-3822.1318779403437,727.4237303971721
2256.67586,-267.6458285389086,725.2157283063008
2256.6828,-2308.6145127661016,719.6871949444176
2256.68975,666.3813303343051,714.5160061226188
2256.69669,837.1711971965234,723.2043441922432
2256.70364,-3408.4916033938157,711.8492636324119
2256.71058,-1289.249292133092,722.7889246244141
2256.71753,-1662.0097698526968,719.425804999723
2256.72447,-103.39311700691209,716.4716172821039
2256.73142,907.5937083171552,716.8635975594558
2256.73836,-2234.5976283066975,714.8028235118932
2256.7453,-2998.413159242585,718.6732363519079
2256.75225,581.2144591067432,727.1644332462703
2256.75919,-1456.2363433947964,688.8308339871007
2256.76614,16.846362192206563,702.8705504240658
2256.77308,-274.64883976736076,722.8647883993956
2256.78003,-522.9711707414644,713.1593525465727
2256.78697,-581.5760938741026,717.6256884190274
2256.79392,-1964.280976329686,697.556737705302
2256.80086,69.13711717322352,717.6844959245991
2256.80781,489.84067540943045,717.2127802037494
2256.81475,-1581.9628139990152,732.9505895240214
2256.8217,28.17277147707942,718.0017634635556
2256.82864,-5155.125164484897,719.4176431039319
2256.83558,-4249.204226246158,711.3684442585644
2256.84253,-1737.9322476999432,704.652145779697
2256.84947,-1275.852168030142,703.8976936174685
2256.85642,-290.21650495229517,729.1154402594118
2256.86336,-1503.74412280254,710.835095760523
2256.87031,-1866.353190312121,716.5705017888038
2256.87725,-2145.6803659631255,725.6928852910112
2256.8842,-4273.391376584941,710.5413721517331
2256.89114,262.98674635815655,719.5194575219415
2256.89809,-1046.0251114774258,715.2776784234317
2256.90503,-2370.632050096626,717.7656963237515
2256.91198,-1091.010341887272,714.4577218154952
2256.91892,-2812.1860082487106,716.8267643887064
2256.92587,-4696.702346607336,709.885385937446
2256.93281,-570.3328731424854,710.5754846905523
2256.93975,-4435.215505560327,712.096004020558
2256.9467,1659.348887185109,713.2425410998281
2256.95364,-2018.1189337615644,724.8117144646415
2256.96059,-696.7449429931567,714.2543022588555
2256.96753,-2293.585323424,716.7100911347695
2256.97448,149.55554392508964,718.925418003915
2256.98142,-1660.6997855782254,739.6841535516777
2256.98837,-1333.6434129362212,719.3224209863691
2256.99531,-1122.993986220967,718.5507032753518
2257.00226,-2268.0727021366806,741.7322661967953
2257.0092,-4168.215617825502,734.7350101512727
2257.01615,-2669.636300823693,726.8134717272532
2257.02309,-3273.24417670959,711.650134303047
2257.03003,-2426.141731210024,737.7510399254629
2257.03698,-1442.7392883882499,717.4498937404499
2257.04392,-2219.1684014311427,701.7644042649925
2257.05087,-1675.3594921762449,712.0698440981507
2257.05781,-436.0410161039565,748.5101974528544
2257.06476,-2067.324178214477,700.986826731356
2257.0717,-649.6190984525606,744.9141498790481
2257.07865,-821.0558478760684,714.333514503905
2257.08559,-1699.2866128862984,741.0072177873527
2257.09254,-4016.8681192155072,708.2926652215958
2257.09948,-3064.3848211648274,744.9724341861718
2257.10642,-2419.6097032245943,737.6994525584755
2257.11337,623.9469016385566,706.7055950489856
2257.12031,-2527.8944118026147,750.9053999484729
2257.12726,-2328.656361800213,703.3224892435753
2257.1342,1432.6901111549942,734.1341690534204
2257.14115,1258.7320684098645,707.0769613074807
2257.14809,-1968.825373410604,724.3627055564413
2257.15504,74.42393285206278,732.2016832653433
2257.16198,-3024.4300391942284,747.9574906122316
2257.16893,-2458.5147398288304,704.7417173540198
2257.17587,-2698.969421819074,750.9953900815543
2257.18282,-2962.2349283104027,743.8594864472726
2257.18976,-1662.9861627966293,727.8429169938279
2257.19671,-1349.4147069571745,723.3317953342118
2257.20365,-1806.608740959418,739.0686628972771
2257.21059,-3478.397508366747,744.7866987370794
2257.21754,-2305.5571503145075,732.6232765748605
2257.22448,-3634.5933823560326,719.7386776717151
2257.23143,-3321.6485089780795,730.1733475215657
2257.23837,-2465.0946927921104,710.5647068025204
2257.24532,-1240.0498028631089,713.6773190102385
2257.25226,-1863.3018969625257,737.8194742824805
2257.25921,-3296.7146498141005,715.5732855466349
2257.26615,-2209.2556743531636,704.9021299982219
2257.2731,1663.4818410064042,708.4844697726867
2257.28004,-441.5749907297006,707.8502486138424
2257.28699,-631.0864676619751,708.7572654435506
2257.29393,-3171.3805780459925,704.331320491293
2257.30087,-943.8007151639852,708.9125507429608
2257.30782,-1484.3998019394987,728.7161352037857
2257.31476,-1565.2055001826836,703.6333737614644
2257.32171,-2402.3875799069283,692.6509151364037
2257.32865,-1121.2180414085756,713.1774552128786
2257.3356,95.11276908715301,698.5962283820812
2257.34254,-1460.4082231806335,717.1377535462851
2257.34949,-3039.2542393843455,721.16345168571
2257.35643,265.4377218083476,714.526679370961
2257.36338,57.36755880276984,722.8986916588354
2257.37032,670.3217471266818,708.5308251551925
2257.37726,-1215.6468854843104,687.5575782436894
2257.38421,-2886.3048117658136,702.6008939438906
2257.39115,-1227.6275021087465,708.4068271229816
2257.3981,-2469.4326357653895,709.5595379439397
2257.40504,547.2328245392632,733.0729133211983
2257.41199,-579.6720700816049,714.1964365104903
2257.41893,-300.7755913931152,718.586490049205
2257.42588,-1741.660350562062,727.8263839228664
2257.43282,-4264.819397850184,731.0216614853917
2257.43977,3451.1630409865747,733.279995266975
2257.44671,-3411.354545302078,723.2901487377393
2257.45366,-1864.1824399507577,739.6444951093081
2257.4606,-1577.608233315085,720.1258445233442
2257.46755,-2761.7612928528556,732.0719300502028
2257.47449,-1276.2534612398708,742.8342267682832
2257.48143,-2196.5109787150527,720.1327507428598
2257.48838,-2458.5477013310638,742.2020984032315
2257.49532,-2427.9688448306442,748.4742013996218
2257.50227,-2297.4200541298515,739.5016619329639
2257.50921,-565.8942667877825,686.545817084662
2257.51616,-708.4862486474104,704.9757963397209
2257.5231,-961.1089569462164,708.3366138912402
2257.53005,-693.7779892334028,704.8413343385471
2257.53699,-506.04915405365574,730.4294008420891
2257.54394,-27.501612507796008,693.7873021657797
2257.55088,-1333.8574011015132,726.9305635399485
2257.55783,-1360.7741823839706,699.6475433437885
2257.56477,-1797.9490741647521,679.7363892820243
2257.57171,-1905.013474682314,709.4126238197
2257.57866,338.8190247929423,699.5897822351129
2257.5856,-800.5998349504035,703.7350835397843
2257.59255,55.79566138515599,680.0306360892624
2257.59949,-1098.7942791194284,721.8512483656446
2257.60644,-581.7264611081004,682.3696470715499
2257.61338,1331.150372330799,689.760976188217
2257.62033,-1138.6037165611324,704.9166749150803
2257.62727,-382.52262828420663,714.107283494926
2257.63422,-1431.591917612333,675.7222015084587
2257.64116,6.823972719496121,705.1697983242939
2257.64811,1390.0309164059213,677.8589439706925
2257.65505,-2741.469982798668,689.8272131117525
2257.662,-2787.7892646116,714.3274454019065
2257.66894,-3034.410363511708,698.7008680717106
2257.67588,-2231.808666659003,685.0899650828472
2257.68283,-2003.0695489593647,686.4398170790673
2257.68977,-1717.2553403894708,705.5608368444393
2257.69672,330.7936837968103,694.3392765285752
2257.70366,-526.4673920513642,721.0194674727799
2257.71061,-1541.3521504538187,690.0534441207313
2257.71755,1079.7993501800602,712.5496170751019
2257.7245,-3070.0939626310114,691.6329802356881
2257.73144,355.28428923551843,704.4785485346017
2257.73838,-1168.9628297133297,715.1837119821445
2257.74533,-3672.3305353843143,692.9384650035055
2257.75227,-530.6671059946428,691.4344787444612
2257.75922,-2387.616536679143,709.0139466022117
2257.76616,-2394.2353109672754,690.7215685390155
2257.77311,-694.8555687572069,704.9642859738617
2257.78005,-1060.8921093006013,690.3324135332836
2257.787,163.48088918128957,691.4336416269441
2257.79394,-541.539902224972,691.130081887329
2257.80089,-456.2090606037609,689.6751716427209
2257.80783,-1074.4876302550895,688.6535743528684
2257.81478,-2119.3253951742895,701.8174565876348
2257.82172,-2059.636090938021,680.1557851580593
2257.82867,-1465.234624225103,691.8149486559538
2257.83561,-567.1447110788547,701.3415552791998
2257.84255,-1532.750663326587,686.346164556849
2257.8495,-2919.129026726302,687.9263285099436
2257.85644,-3646.8358074839216,705.33753574677
2257.86339,-1071.7453379089698,676.6155105388254
2257.87033,78.16982446141846,710.7756604168134
2257.87728,-1990.6421208602108,696.4622065517779
2257.88422,823.5946160258585,692.2305775031621
2257.89117,-2298.6208992080387,698.7679421127632
2257.89811,-2820.651673058803,699.579632185219
2257.90506,-54.79289923943682,687.6282100341892
2257.912,-1279.3638760141068,657.3253930350123
2257.91895,-790.9686932772178,653.1742319077217
2257.92589,-4412.900777827775,686.7922435537395
2257.93283,-666.9935771583271,696.8467574111661
2257.93978,43.20175153980139,689.2121410161104
2257.94672,-2472.059615173537,683.3774319223713
2257.95367,-580.8819141731009,690.0920561662047
2257.96061,-3816.2357453487925,669.5569356351801
2257.96756,-1855.6247968534806,669.5630047371786
2257.9745,-478.820546496103,663.6914624726899
2257.98145,-1687.1022627861535,689.1104312377907
2257.98839,-3911.420297263031,697.3858610921371
2257.99534,-1455.9849988603062,694.7326171218923
2258.00228,-821.8888844452085,667.4622583281774
2258.00923,-2252.0501682209274,669.5969079966186
2258.01617,-1328.837835189988,663.6338060037041
2258.02311,-604.2238897387463,670.3536622320189
2258.03006,-819.6103552035268,670.5305033074927
2258.037,-515.2121377554394,694.1831541116479
2258.04395,-685.4929325276103,667.0858693645803
