relative_time,cts,e_cts
2255.99547,54597.305130898356,823.3660903369772
2256.00241,52495.51006029363,819.4497821794681
2256.00936,50760.80296330092,818.6013162983571
2256.0163,53406.20661117661,814.8127353049691
2256.02325,61407.08761594773,813.9527334472776
2256.03019,66231.78616830091,813.374167847064
2256.03714,61061.851795883005,810.45535791676
2256.04408,57384.97220873613,807.5662713135014
2256.05102,54145.31309714777,801.9250748379129
2256.05797,51235.46776385176,799.995137134308
2256.06491,53018.780295142285,799.3144105883407
2256.07186,54045.70804573696,792.1996230142379
2256.0788,57054.09192421254,790.0956063847558
2256.08575,67173.84810415687,802.310958450917
2256.09269,65662.78254161213,802.8117861188584
2256.09964,58153.13615687014,799.0262190292617
2256.10658,55494.70776786875,797.1501158830325
2256.11353,52916.369299301754,796.4969301820547
2256.12047,47896.15392340389,791.9929107852411
2256.12741,50764.01630438103,792.4888538504863
2256.13436,58481.31078721087,793.0354097138819
2256.1413,62075.62177787429,793.4369864121442
2256.14825,58530.5978834041,790.9625713994823
2256.15519,54819.71106871961,792.3647641564579
2256.16214,54954.24716114394,792.3622698912515
2256.16908,52183.21464975211,791.2404741145841
2256.17603,48741.64653646087,790.2111740059948
2256.18297,55080.98857086994,794.8538329772086
2256.18992,55923.599891902435,790.9963479074884
2256.19686,62552.834678189094,793.1052491396667
2256.2038,60447.72514483567,795.3506074641892
2256.21075,55114.581126816964,790.278519166573
2256.21769,55357.993142641884,790.162951545334
2256.22464,52370.21854614668,788.553215137626
2256.23158,52734.86068486819,790.0141270546735
2256.23853,51894.54969992247,789.2666789144298
2256.24547,55308.851960963235,787.6366766019182
2256.25242,63604.20092749486,788.7653316079037
2256.25936,60575.9531366248,787.8472341564419
2256.26631,58474.9445909819,787.2771906290175
2256.27325,54871.0283928633,788.0235994920916
2256.28019,54748.57358575027,787.6533050366289
2256.28714,53875.67544159122,788.1805303446736
2256.29408,53035.74607922212,785.846105966732
2256.30103,57585.409386111685,787.6907190147278
2256.30797,62976.06627519185,789.3947178617018
2256.31492,65254.6976818596,789.184368162612
2256.32186,61652.94619415717,787.8679157721133
2256.32881,53125.58836875889,786.8142965777596
2256.33575,51293.27433464127,788.7188759184307
2256.3427,50306.95187054969,788.0548817348912
2256.34964,51400.9505164775,787.5533265729312
2256.35658,53854.289819565296,786.3490121890122
2256.36353,62344.713397206026,791.5342777703779
2256.37047,60017.15687458315,792.611904267345
2256.37742,57937.99778036689,789.9810780406862
2256.38436,53297.53573716154,786.5763021059634
2256.39131,52219.38243059723,789.2661592758451
2256.39825,50765.21874806605,787.8149126364731
2256.4052,46612.49051974466,785.4546102570131
2256.41214,53630.41268098301,789.9202803262754
2256.41909,59167.51785740335,790.2217746331228
2256.42603,58400.544920905486,792.0218026905509
2256.43297,60106.07015425817,786.5026173546519
2256.43992,55417.0897681818,787.1912424071068
2256.44686,50678.33403349801,789.8219647060487
2256.45381,51838.18793225387,789.1894606207422
2256.46075,49062.770294773414,788.2606586144354
2256.4677,51974.681399299094,791.03095583723
2256.47464,59815.20682143206,788.8255057560128
2256.48159,59593.83382118949,791.4851199602647
2256.48853,56760.42545300509,791.2215592701008
2256.49547,51813.3458822179,788.4887799531223
2256.50242,49779.68166573139,790.3570885205808
2256.50936,47974.47655301169,786.3604442378759
2256.51631,50855.90960741163,791.1921477262063
2256.52325,50849.961096677056,790.0838625527414
2256.5302,59884.392645804954,792.5598364811574
2256.53714,57588.30751442633,788.9008533507955
2256.54409,54726.48520450238,788.3804872720691
2256.55103,52180.12820441439,792.6708312828509
2256.55797,49621.95108936776,787.585544165183
2256.56492,48650.01388414436,786.4875478356953
2256.57186,46923.93673691104,787.1387589100511
2256.57881,50077.646899094696,788.8118912250935
2256.58575,55397.44088223368,789.7157505793343
2256.5927,59137.388069057095,790.6977635767153
2256.59964,53677.42906048879,788.0330569143333
2256.60659,50928.723236599806,789.2735381437479
2256.61353,51289.325601036086,789.8512723222261
2256.62048,45212.23643040083,789.0374143708567
2256.62742,47293.37576333571,789.0436500338732
2256.63436,51473.974807147904,790.0232726937645
2256.64131,54277.182092572235,791.7185416125153
