relative_time,cts,e_cts
2282.45352,-1370.0523375965072,787.8091635050938
2282.46046,-395.01476831761386,782.5139550749155
2282.46741,-1802.8472870783905,777.985057716781
2282.47435,-405.5863264467639,772.9846920784902
2282.4813,-1245.6994804852143,776.3258126631664
2282.48824,-1166.314890760584,780.9523443668604
2282.49519,-50.8747142362799,777.6416132804706
2282.50213,-1502.748728450155,776.3764618269776
2282.50908,467.90387219392215,774.1942372159693
2282.51602,-1438.0717937828285,767.7839928326998
2282.52297,574.643644236189,764.4958922237576
2282.52991,1689.3448817897429,761.265014393504
2282.53686,2865.708351122083,762.5463304737452
2282.5438,-1505.9671056357236,760.9653222135922
2282.55074,-866.8775731305288,761.7370214945516
2282.55769,-1592.3562591870657,764.6273645213097
2282.56463,-127.0428665305515,759.8761496632978
2282.57158,-2461.3846975527113,751.93274431505
2282.57852,384.20526688273014,751.4467278708205
2282.58547,117.6784827269577,750.1699378860686
2282.59241,-996.6548479218075,745.0078182161174
2282.59936,-295.906208798998,741.6358770764411
2282.6063,-469.1334614685693,741.926840357909
2282.61325,-766.1513655311306,742.9718295950914
2282.62019,1843.8106065419172,743.9673550744244
2282.62714,858.6649728648342,761.8222629596039
2282.63408,-292.00525330794204,756.6197317227821
2282.64102,718.1057842683223,756.5973167736913
2282.64797,-903.8225819128077,733.5197257503439
2282.65491,-142.89368399148807,732.2889510697354
2282.66186,1036.06032842352,732.6043768196821
2282.6688,301.60790370980453,729.0298390247616
2282.67575,-2336.050863126159,756.7453847547048
2282.68269,-1442.561680508411,727.3134789566368
2282.68964,-1575.2656148545416,728.0010144143273
2282.69658,589.7314913146099,731.6863337845622
2282.70353,1907.6783399942287,734.8232412513196
2282.71047,-1431.5187618632829,725.5722253633197
2282.71742,-1081.3744110584162,725.1751143662055
2282.72436,334.26314384564364,725.0013985107514
2282.73131,-457.22153248945784,729.2145468264044
2282.73825,-2212.213765372312,726.1248400697518
2282.74519,594.9905987450505,724.4894108995466
2282.75214,-499.6882700047462,723.6031582970314
2282.75908,-1158.8282977642402,724.7275697336368
2282.76603,942.8810617603255,721.6037017324563
2282.77297,-1257.633393356703,726.830372145222
2282.77992,-159.61879223114613,726.9345801056588
2282.78686,-574.0790677059631,721.1505533626149
2282.79381,-649.0375670985771,718.5513891456812
2282.80075,429.22827847198033,722.2705464679091
2282.8077,-852.1531068614075,723.0740361814734
2282.81464,-1076.335681372643,720.6283281544695
2282.82159,-931.5551543829257,716.8033464091301
2282.82853,1909.959923177649,717.1070258636397
