relative_time,cts,e_cts
2282.43967,-1847.5764171646802,718.3774104665955
2282.44662,396.3375842886686,739.6325595659729
2282.45356,-2694.561725644107,739.7704412906927
2282.46051,1017.9971232180261,731.4511049104835
2282.46745,-391.3014679179537,732.7461031487413
2282.4744,-1743.5233468697588,726.3664846919422
2282.48134,-2391.2742500177183,721.9383558789248
2282.48828,-1305.761623581413,722.6412801814687
2282.49523,-439.2959708434101,714.380802403116
2282.50217,-460.6636052707802,714.6625607101522
2282.50912,540.2528606858483,706.0087112760575
2282.51606,-2125.9139494588435,691.3060505270805
2282.52301,-2544.630882142352,712.4876263741371
2282.52995,-703.7729563847904,688.7115851567203
2282.5369,-3298.279636763796,695.4224467450794
2282.54384,-1982.3699182430048,698.1406241767496
2282.55078,-800.4571477220771,718.411635653601
2282.55773,1051.693345788743,702.1766893029552
2282.56467,-405.2510655553977,704.2523269976898
2282.57162,-4107.357825699303,682.5463646070547
2282.57856,-263.6491502060073,678.0714759047843
2282.58551,919.5339851383268,707.1235367941874
2282.59245,-16.366833217769237,702.3541370878119
2282.5994,2220.018608071056,690.1807612575095
2282.60634,-118.98397162220921,711.4926980079375
2282.61328,-1552.0444343121958,699.1150610297102
2282.62023,-959.6782765398539,699.9319966239988
2282.62717,-145.34728438087052,705.0469181227551
2282.63412,-1980.2395638480252,694.4046289226022
2282.64106,-2356.575796254275,700.4866844477924
2282.64801,-2761.251028488174,706.4751111970663
2282.65495,-1126.3221290362233,696.8661174517307
2282.6619,-3028.2520670725094,689.7779068270238
2282.66884,962.8455233042084,685.3555548767811
2282.67578,-723.7761612231941,689.560130000154
2282.68273,-558.8801912071466,698.6064791107041
2282.68967,1142.003368539773,684.8930788625627
2282.69662,1066.8845329331307,686.656765967457
2282.70356,-457.77135897398944,685.5615599832794
2282.71051,-1409.0728574981185,679.1750746895971
2282.71745,-148.4131635531385,685.9631064448349
2282.7244,-1501.107437283549,688.1602762526626
2282.73134,-1188.1998501759185,687.5751781512429
2282.73828,-853.0821876524916,684.6577534525468
