relative_time,cts,e_cts
2308.58293,-116054.13296916764,12904.757787354276
2308.58987,-86977.49462835587,12882.848124529704
2308.59682,-87609.37239328364,12892.577777409171
2308.60376,-55761.34205217039,12900.87828247097
2308.61071,-51293.68605757222,12893.55265065034
2308.61765,-63719.13237941777,12899.480933873658
2308.62459,-68353.63888321846,12887.683423121965
2308.67321,-107800.59444728347,12903.884671618243
2308.70793,-72659.67852028455,12888.791853088624
2308.72182,-105072.62473665125,12886.028955114352
2308.72876,-89570.54115557112,12873.404664633432
2308.73571,-72060.0224510679,12903.383152485789
2308.74265,-90113.18213124048,12878.130028778181
2308.74959,-108702.95002070651,12856.554712041912
2308.75654,-46285.39425528534,12863.759506825194
2308.76348,-113819.27558567822,12854.613142501952
2308.77043,-83326.22001793074,12861.604428234281
2308.77737,-96738.61419918765,12866.523313348616
2308.78432,-63975.79751514,12876.629105577425
2308.79126,-40736.21770284185,12862.97724600446
2308.79821,-78562.0290251293,12830.87366168324
2308.80515,-36645.2943401822,12891.954512690214
2308.81209,-64727.0695413617,12831.932121446484
2308.81904,-67432.68803428097,12830.327623642288
2308.82598,-92797.28527166758,12830.200426760868
2308.83293,-36877.138821593646,12815.26569578387
2308.83987,-73705.93919405113,12813.384090488009
2308.84682,-68158.9013663138,12816.087932767334
2308.85376,-62709.986847100365,12809.13389755028
2308.86071,-71358.35266585418,12754.543721692331
2308.86765,-46652.766105300514,12743.178680337465
2308.8746,-82880.34770399817,12727.833285143313
2308.88154,-58888.803551023746,12745.623586108186
2308.88848,-48531.4204335126,12774.827081533034
2308.89543,-45785.26974577972,12748.444631228249
2308.90237,-65216.31962605507,12768.616239523133
2308.90932,-38443.35854142496,12776.94581815783
2308.91626,-57073.43784826042,12769.804621815258
2308.92321,-28420.867550258416,12792.186730199386
2308.93015,-46118.8054082389,12796.05896668947
2308.9371,-64811.00585486151,12764.496877663436
2308.94404,-98107.80231550298,12762.157363594464
2308.95098,-88646.70748017117,12759.228201125195
2308.95793,-75916.82723378614,12703.786714710886
2308.96487,-55578.123121427445,12783.097604472785
2308.97182,-83475.26841502941,12761.199752787203
2308.97876,-63955.018087461765,12761.91750661807
2308.98571,-35587.2888515148,12757.735454866817
2308.99265,-52002.081832165575,12836.752883252298
2308.9996,-33925.555176327,12824.579233151264
2309.00654,-79085.78671520273,12809.890718994728
2309.01348,-70063.64831765086,12812.02399240597
2309.02043,-91336.1029194145,12798.278552270247
2309.02737,-59140.785115862265,12796.30427496078
2309.03432,-53334.82713340496,12825.810317253576
2309.04126,-33227.47052607103,12777.25199922239
2309.04821,-58346.02175023566,12791.701564951687
2309.05515,-66225.741357315,12765.233711026518
2309.0621,-65318.667688140406,12757.935335680479
2309.06904,-77146.08242665486,12769.078691042012
2309.07599,-83006.71053729558,12741.21076287207
2309.08293,-60196.28936871144,12719.812613220636
2309.08987,-87396.19042002395,12730.548030012475
2309.09682,-51442.903444813324,12722.31294048969
2309.10376,-51962.83523440347,12715.97853579498
2309.11071,-52143.31761509758,12706.555063980075
2309.11765,-71817.96133443096,12691.077020609582
2309.1246,-67493.58444980989,12686.423431847921
2309.13154,-54746.455397755184,12621.130546967644
2309.13849,-75508.02190819761,12680.847665695966
2309.14543,-110191.33978589532,12607.04803509616
2309.15237,-48025.499380410845,12654.81954956085
2309.15932,-105947.9409787319,12645.305222830644
2309.16626,-104686.93290151501,12613.123503282264
2309.17321,-59971.61606576462,12585.002089898639
2309.18015,-76584.71716149134,12558.85858802109
2309.1871,-63836.80130587014,12546.299713079185
2309.19404,-76392.45544102861,12543.39326433874
2309.20099,-98038.73168324452,12581.996609300517
2309.20793,-50427.642468147074,12577.069547243804
2309.21488,-84142.3815332088,12574.125847988085
2309.22182,-97785.49359492741,12516.695547477864
2309.22876,-93457.61788751815,12483.53077774594
2309.23571,-61191.79757824234,12477.888687505814
