relative_time,cts,e_cts
2333.88997,-380861.7162597638,6116.018942378697
2333.89691,-365215.5319128849,6079.646198403367
2333.90386,-368991.6089929417,6155.380657010369
2333.9108,-371402.8595514548,5944.305962121527
2333.91775,-364908.5888133977,5877.8770878268515
2333.92469,-349347.27475720714,5860.165994348805
2333.93164,-358665.2784423194,5033.642658790441
2333.93858,-358470.4924725413,5904.456348512079
2333.94553,-364188.43633092806,5196.108025676929
2333.95247,-362291.56360187597,5145.966489628397
2333.95942,-369454.5646555524,6094.252101968852
2333.96636,-394562.34449101693,6207.728694689487
2333.9733,-377084.34079703793,6123.488872663213
2333.98025,-363984.2102509683,6116.450534652386
2333.98719,-359906.69592401606,6085.370620861198
2333.99414,-367691.52880152036,6043.418520468615
2334.00108,-373672.82882297266,6027.251284699662
2334.00803,-365405.0225561225,6036.615394699488
2334.01497,-351476.6836339657,5888.684091790513
2334.02192,-365872.18513391,6011.347553210919
2334.02886,-338732.6954876002,5759.810805290839
2334.03581,-370535.3318987938,4948.52994416436
2334.0497,-323322.5646545093,5398.971095075699
2334.05664,-320072.4002344365,5525.913588633762
2334.08442,-359689.8310692858,5765.922995099968
2334.09136,-359990.45561350655,5932.108487677146
2334.09831,-361312.6987338767,6024.580738162983
2334.10525,-371798.26630789356,6121.502882509222
2334.1122,-379029.26810823934,6218.863553452314
2334.11914,-379689.64617029484,6010.935654415013
2334.12609,-357618.11076853384,6079.706943074278
2334.13303,-340109.26459198876,5872.687717744306
2334.13998,-365586.38228939165,5733.0246244024165
2334.14692,-338662.7473056137,5568.772421123188
2334.15386,-328851.0395047467,5425.617757382075
2334.16081,-323711.2686941783,5375.000249391607
2334.16775,-314785.9149559879,5316.756372786057
2334.18164,-333936.52205401484,5309.403493876537
2334.18859,-338143.3456977072,5368.208495912469
2334.20248,-330431.8732439317,5620.22537636838
2334.20942,-334125.80217120115,5680.230293684502
2334.21636,-356063.9173120779,5832.4858405181585
2334.22331,-378169.5765181259,6065.363434297294
2334.23025,-368104.84136723157,6087.343019741789
2334.2372,-358111.5197594947,6125.70341810867
2334.24414,-380470.7452511663,5829.094401745414
2334.25109,-369177.7217886799,6083.289769166332
2334.25803,-347055.6429374998,5927.613659402644
2334.26498,-357521.44741312804,5581.215647980481
2334.27192,-338019.19745901105,5676.115466319353
2334.27887,-333316.7658117962,5532.336713493535
2334.29276,-330059.8764851196,5125.765974134697
2334.2997,-318495.9204180793,5160.462830887902
2334.30664,-324463.1678949546,5417.573942512557
2334.31359,-310414.8416053726,5465.639064833047
2334.32053,-324339.9843592969,5273.5652475306415
2334.32748,-348676.43612997315,5705.100105023493
2334.33442,-329150.6566304982,5733.706684428766
2334.34137,-335099.77529026807,5612.114714623566
2334.34831,-360410.9948534457,5168.143009850733
2334.35526,-369273.54997420387,6066.644342472033
2334.3622,-353692.96598868805,6127.688576143882
2334.36915,-381291.8012889697,5857.1251549552
2334.37609,-381284.31388419075,6037.886594821798
2334.38304,-365937.84374358767,5880.979504010147
2334.38998,-367832.8278403829,5940.492361754596
2334.39692,-351827.6147511262,5805.737104974818
2334.40387,-335000.59754928324,5409.611397910513
2334.41081,-322507.1542652525,5630.1334146771405
2334.41776,-320597.92318545876,5185.378686132698
2334.4247,-321743.7465843814,5246.396846749452
2334.43165,-311183.20427620335,5437.456033886594
2334.44554,-327962.7493790428,5461.062411545218
