relative_time,cts,e_cts
2361.77456,1013.6714322493842,3001.536589660132
2361.78151,4389.5582444459005,2979.9897863111537
2361.78845,4321.138889446061,2950.4493630164893
2361.7954,-1755.3169461718187,3009.9882444999353
2361.80234,2899.8223703370995,2990.200068954295
2361.80929,3036.9036063575327,2963.4059701070737
2361.81623,2905.0822319504077,2982.383317078148
2361.82318,5188.623364546079,2916.8541685432447
2361.83012,6570.551081831103,2986.2778702896503
2361.83706,16309.376020896034,2983.103041318493
2361.84401,2019.9323122920953,2996.230861726837
2361.85095,10861.890371859285,2997.1136313101492
2361.8579,5132.602995280816,2978.80480166053
2361.86484,6752.596704929787,2955.7098529355503
2361.87179,10728.145439388594,2959.288368353169
2361.87873,9506.162690331787,2972.055855412026
2361.88568,17639.944140993386,2961.236116188235
2361.89262,6267.484346070735,2993.7496823072647
2361.89957,4148.337528894902,2973.036640692845
2361.90651,2977.9971146147304,2962.110089491002
2361.91345,4228.661078848638,3036.291008248117
2361.9204,7137.729596650521,2976.091149112255
2361.92734,14054.585531263197,2968.2385838081736
2361.93429,13001.08391239822,2953.0433233187696
2361.94123,6507.952979635098,2990.538725755295
2361.94818,14413.503622041204,2997.541821680987
2361.95512,13976.80661961011,2974.508446919826
2361.96207,15077.537667793791,2987.3469325288
2361.96901,8986.006263932504,3001.3996190059243
2361.97596,4740.698538304461,3002.945251158912
2361.9829,12096.774122947516,2988.186663168015
2361.98984,8785.505101790817,2971.3747719755065
2361.99679,18801.873426154838,2981.056963633044
2362.00373,1583.1680811454062,3000.4763237015272
2362.01068,18211.933592965415,3003.4890497883475
2362.01762,9032.59262231276,2978.533373575127
2362.02457,9341.09200376858,3026.2764428471123
2362.03151,20304.678688236927,3013.4794254178523
2362.03846,9695.25067846574,3015.0794060184962
2362.0454,20034.272856294727,2964.643732440971
2362.05235,14189.555974105595,3000.4062676100407
2362.05929,18944.670045459683,3011.462563949929
2362.06623,17266.940691839085,2994.401235373382
2362.07318,18682.636701832376,2988.234728558138
2362.08012,22639.956087319348,2992.4977830939197
2362.08707,21998.11631399446,2984.312215740617
2362.09401,12950.023074596214,2985.041992873013
2362.10096,10353.643166859923,2981.732706470661
2362.1079,7630.075325493828,2979.1601085639904
2362.11485,10497.959029476122,3006.715713984148
2362.12179,14455.889442308126,2986.4195532370077
2362.12874,15157.235111064418,3009.645817864415
2362.13568,16584.132241873718,2995.922363601993
2362.14262,20179.822711410303,2963.4336155602164
2362.14957,10220.206732514078,2994.0776579104595
2362.15651,9325.966171064909,2997.9037257948576
2362.16346,15871.813841442721,2997.393227370344
2362.1704,18249.939179673576,3007.6955568063363
2362.17735,23709.38494287626,3011.796194304903
2362.18429,11553.850723426449,2963.6865086258986
2362.19124,8837.588507206234,2980.964916840193
2362.19818,13797.81927476536,2996.1768274320575
2362.20513,18396.827640196443,3010.782737124916
2362.21207,17736.057328679097,2986.6316064287284
2362.21901,12285.00038974089,2997.6998405779286
2362.22596,12126.262396864659,2964.3242389654442
2362.2329,18225.859047527505,2989.4102886224637
2362.23985,19468.9839710282,3007.1087192328037
2362.24679,15288.652170719328,3003.587693791607
2362.25374,13952.503753074514,2962.6598570250926
2362.26068,14981.474430415465,3004.664924005549
2362.26763,11577.28307234092,2970.625517364759
2362.27457,6589.206422103638,2999.7572277669365
2362.28151,12988.728279760617,2999.962055442495
