relative_time,cts,e_cts
2361.77641,11789.518937015366,1248.8166234484424
2361.78335,11067.356505017733,1249.4298208874886
2361.7903,14558.663724034011,1246.2693585054283
2361.79724,11865.00132042954,1255.3537853237835
2361.80419,10358.213411937808,1257.3749235732334
2361.81113,13092.083577493617,1251.0084752067503
2361.81808,11400.673465548824,1249.3369911320694
2361.82502,8077.940008960123,1252.1785140590268
2361.83196,9204.166370422376,1255.1382338089845
2361.83891,4550.368030129631,1250.59903702406
2361.84585,11426.328209388419,1253.3909227701283
2361.8528,8709.740421296818,1247.968540675522
2361.85974,5173.941422532217,1246.9109396363087
2361.86669,9671.251694108818,1247.6812757750745
2361.87363,12132.365413561403,1249.142418867757
2361.88058,4044.2379902606326,1248.5992893829487
2361.88752,8361.430015513055,1250.056593135673
2361.89446,2961.252469316734,1248.7276330329817
2361.90141,4440.241499721476,1257.0831337364064
2361.90835,699.033836731285,1245.0022391999216
2361.9153,6679.795137340536,1241.775959561434
2361.92224,4841.957947040194,1247.012545025918
2361.92919,8550.68369702932,1253.4280820961528
2361.93613,3121.912803613221,1253.1245000008826
2361.94307,10784.505474329282,1250.1817830421687
2361.95002,3512.203512335473,1249.248274955177
2361.95696,1203.1571358756762,1245.0923265696563
2361.96391,-260.5093629942604,1242.7087820520046
2361.97085,1644.151402160129,1240.7586715917823
2361.9778,1710.1395092154055,1240.7104056037356
2361.98474,1690.3120607167311,1244.5058673910337
2361.99169,5697.273762203435,1253.9336408970837
2361.99863,175.49033336236258,1249.9303062749034
2362.00557,6813.967316787923,1255.4287895722537
2362.01252,3984.9300604941423,1247.1748942584384
2362.01946,7184.846596919834,1248.7601303033425
2362.02641,-126.10010430445156,1239.9605002383191
2362.03335,1641.7028631017556,1247.5965360574246
2362.0403,-599.0733300554383,1249.3561878318608
2362.04724,-784.1790161046683,1243.0562423182262
2362.05419,5574.654842286842,1244.048300339581
2362.06113,4375.217478353573,1239.7291800058345
2362.06807,3362.6424356197167,1238.1774010662805
2362.07502,8970.24073441832,1229.6648987824203
2362.08196,3995.815411991485,1239.626340542667
2362.08891,3538.2763328726614,1245.0739525855704
2362.09585,-681.9914180144683,1254.149329531167
2362.1028,-1229.7484044265123,1245.9818193664123
2362.10974,-1638.4210501531577,1234.9685355768893
2362.11669,-1154.6103275350222,1240.799670257765
2362.12363,3091.0720713250244,1240.2771086655903
2362.13057,5869.973443893287,1239.4519248131353
2362.13752,4027.807672028588,1244.3089640988892
2362.14446,4063.212008334301,1251.9425317708788
