relative_time,cts,e_cts
2361.77997,-91188.78862798189,13742.602784471059
2361.78692,-84698.60843355073,13883.511734286812
2361.79386,-113098.76934149065,13885.217734353002
2361.8008,-40159.99814904722,13185.470926940583
2361.80775,-105731.46139874333,13148.703346627113
2361.81469,-111742.92505480796,13166.202816038123
2361.82164,-142580.00869068535,13891.616947452681
2361.82858,-121047.18808360526,13955.32621326352
2361.83553,-131956.94007543757,14061.932131341056
2361.84247,-93317.85224127868,13860.667189510654
2361.84942,-69662.15386164666,13927.755177196697
2361.85636,-106332.54404627501,13814.338961666184
2361.86331,-127129.82610158218,13942.088318315038
2361.87025,-84540.42415317376,13921.99020852782
2361.87719,-78023.80340464736,13890.544213045026
2361.88414,-148241.2999281154,13878.153934882157
2361.89108,-123023.72569901653,13840.792239800941
2361.89803,-73084.59651537017,13762.834986059232
2361.90497,-111496.95468955634,13849.01882072826
2361.91192,-93036.63335027626,13879.362718635308
2361.91886,-128188.29490340556,13804.207689901916
2361.92581,-124200.0259580793,13897.446515091362
2361.93275,-80936.52397204294,13912.528416996069
2361.9397,-117940.34859072078,14049.548704584073
2361.94664,-95237.07784643426,14093.24892888424
2361.95358,-132706.77457498258,14180.661122751817
2361.96053,-75329.44105800122,13305.92060000158
2361.96747,-109300.87258140465,13937.452852845463
2361.97442,-124970.98725706706,13984.826409474035
2361.98136,-123868.68511791484,14035.354549128038
2361.98831,-137783.80728142578,13945.288903637149
2361.99525,-96896.01854189302,13913.947636787218
2362.0022,-108661.30950208743,13941.531396893546
2362.00914,-94343.20819844387,13840.107099212111
2362.01609,-129712.14349264774,13855.146913909219
2362.02303,-112624.33101671525,13974.63641137358
2362.02997,-52259.59269306667,13073.14506371858
2362.03692,-103689.25403666489,13774.750559671269
2362.04386,-66045.66764789903,13813.599988602517
2362.05081,-77615.05538075676,13879.022105885433
2362.05775,-79988.4381704861,13874.606864176552
2362.0647,-71294.57570122858,13931.906150392744
2362.07164,-105098.32200183251,13948.365184880999
2362.07859,-139160.56597396865,13951.577515470344
2362.08553,-69309.62064429739,13901.195212884537
2362.09247,-128548.77477281299,13842.3827447393
2362.09942,-90235.14437870508,13589.15478310743
2362.10636,-70267.23381512806,13882.34993160261
2362.11331,-96970.36706227613,13812.942253637239
2362.12025,-100164.78807663087,13954.265224123103
2362.1272,-91711.11534359975,13903.665634093406
2362.13414,-113615.28704368751,13742.896416151985
2362.14109,-94806.34072473129,14008.406012224781
2362.14803,-71290.28965745932,13811.683552498329
2362.15498,-118263.26220164262,13880.966926385441
2362.16192,-73664.5601936373,13952.758893599945
2362.16886,-68702.14759261643,13805.376343992008
2362.17581,-99108.31988532684,13965.792225144047
2362.18275,-127412.98491922325,13972.20905614458
2362.1897,-114888.94480165085,13189.115874873163
2362.19664,-93524.05704675455,13960.9551325869
2362.20359,-128620.1781674364,13940.184606250357
2362.21053,-81459.17564005438,13941.046904620016
2362.21748,-78823.65708226612,13952.69820971922
2362.22442,-138929.53754618717,13947.771070113255
2362.23137,-88840.90579219659,14012.477704866978
2362.23831,-122358.36707652982,13765.655807740675
2362.24525,-142075.39873192238,13836.991667077471
2362.2522,-114049.2237719403,14001.774830097169
2362.25914,-101840.53527073361,13891.943857390781
2362.26609,-88171.31300087088,13851.828875914736
2362.27303,-93337.34057594185,14005.450119970114
2362.27998,-85424.14099640994,13791.795878749112
2362.28692,-103250.80908333758,13824.873487605593
2362.29387,-145468.82959679802,13777.898291290812
2362.30081,-114632.1051703436,13898.875522605209
2362.30776,-94608.51029479547,13842.14098798867
2362.3147,-106710.99711087203,13855.434672956526
2362.32164,-103714.63555916425,13565.02021647973
2362.32859,-48251.423349951685,13288.940858665814
2362.33553,-94258.35060020036,13861.37288431715
2362.34248,-123536.64837066657,13841.559597260433
2362.34942,-126635.97187129156,13856.35569766237
2362.35637,-92361.12388057986,13867.458890290507
2362.36331,-74102.08412225876,14466.932436210727
2362.37026,-162076.565040909,14257.489852066496
2362.3772,-101276.19964929772,13829.961145863797
2362.38415,-79113.20924037325,13348.52753567643
2362.39109,-112118.0532300046,14020.085701719809
2362.39803,-156708.7126662693,14123.433286911319
2362.40498,-75564.0194928051,13259.648162176487
2362.41192,-61278.4887939823,13416.815498165197
2362.41887,-110017.6979861521,14362.216527386094
2362.42581,-85103.23876250244,14137.611782011038
2362.43276,-120906.28011256177,14127.20058137762
2362.4397,-121377.35635459056,14073.887834616153
2362.44665,-83730.38439254362,13495.873870710386
2362.45359,-123200.56146376603,13485.267894395283
2362.46054,-68259.66128858729,13479.968821326813
2362.46748,-75407.23583554615,12882.08871666176
2362.47442,-125272.94241737659,13469.273776735163
2362.48137,-54124.76168453574,13451.847715244387
2362.48831,-99258.85310287114,13405.29730609468
2362.49526,-97506.33003315625,13613.751330246456
2362.5022,-112594.63604482306,13410.864562765066
2362.50915,-89082.65960651007,13366.726827260316
2362.51609,-70063.77935973021,13540.672277497222
2362.52304,-95973.9142502369,13407.130546555938
2362.52998,-104412.61861894655,13352.241976440162
2362.53693,-109018.59368003412,13393.84077667716
2362.54387,-92287.19427472822,13383.976709742536
2362.55081,-85756.77479474277,13335.65276524003
2362.55776,-102868.89899508377,13373.611511405796
2362.5647,-61258.42983508589,13409.19379850059
