relative_time,cts,e_cts
2361.77686,1605.3506283134677,1399.066532514024
2361.7838,380.3132220355957,1383.221286830714
2361.79074,-9079.950189968338,1374.5622305460622
2361.79769,-3331.740539418088,1415.2642940008184
2361.80463,-2510.430651104733,1385.294260919642
2361.81158,-1322.6211782303164,1415.3061127920669
2361.81852,-2185.1769252550234,1400.294676437513
2361.82547,4446.950628070369,1411.3823929922532
2361.83241,11730.426236090385,1414.2524906111166
2361.83936,18148.75272814683,1401.2133311116902
2361.8463,16072.486881369063,1395.1684776763486
2361.85324,3006.064247515293,1392.840665610426
2361.86019,4992.827916977155,1392.1922478905262
2361.86713,-865.2697412856243,1396.295018543844
2361.87408,-6598.652894179081,1393.60684021543
2361.88102,-5688.915737552315,1398.4314001862897
2361.88797,-6890.018754992056,1392.178509587264
2361.89491,-8196.047384229749,1371.5459936133775
2361.90185,-9529.365114797749,1375.715342197889
2361.9088,-6706.609236064806,1373.086344252758
2361.91574,8930.781353822038,1376.87268101995
2361.92269,11872.667495074158,1384.9367630940953
2361.92963,19929.947750371433,1371.2259364384793
2361.93658,15857.153168949375,1401.5733954334507
2361.94352,15635.528521398546,1390.7217965303805
2361.95047,8751.35866030739,1398.2334780370954
2361.95741,1978.5386529780747,1393.1635912222691
2361.96435,-35.29324816934186,1391.6128236276681
2361.9713,-530.4881246977064,1382.7067798250287
2361.97824,-4049.7237430746923,1388.162244953388
2361.98519,-8403.550414760382,1388.965709238675
2361.99213,-7213.922050922207,1405.0630754324
2361.99908,-3151.398738318165,1422.4977371238836
2362.00602,1444.5919481767155,1442.7043656966437
2362.01296,4845.658079440681,1428.9360193317652
2362.01991,11344.16946173471,1423.859187880125
2362.02685,8281.411463826798,1412.5294658294592
2362.0338,9002.783046367089,1437.3663555126573
2362.04074,2714.6198821122484,1428.2534823092583
2362.04769,1608.5120987377804,1436.280727614217
2362.05463,2640.1940584080758,1440.1079773504646
2362.06157,-7202.756282688493,1433.0345628148484
2362.06852,-8079.215192614486,1430.8335658559613
2362.07546,-7939.571378769451,1434.093468958592
2362.08241,-10599.198644567738,1427.7522606957384
2362.08935,-5568.432025706268,1430.7659311322093
2362.0963,5318.513267101882,1432.6122987024946
2362.10324,8235.084697463937,1420.9641801509515
2362.11019,11766.264185338516,1423.8380520289525
2362.11713,18830.76482669291,1422.8799940893753
2362.12407,11801.63246577952,1413.145424920773
2362.13102,3817.8616440677224,1393.186840658559
2362.13796,2949.513315088455,1411.993973942967
2362.14491,589.3188606142328,1398.5715006854903
2362.15185,4757.565059516527,1404.4001645574103
2362.1588,-3410.4625268138066,1413.41264246774
2362.16574,-14506.611380349786,1405.5132690623748
2362.17269,-14031.647136682299,1409.2780170672977
2362.17963,-10857.490672554852,1413.993576434253
2362.18657,143.78553485265704,1394.7678023262638
2362.19352,6695.28660962132,1404.905160430068
2362.20046,19343.314652559766,1416.2406193546235
2362.20741,13269.438976091576,1409.1613169747523
2362.21435,10074.48558926219,1408.3282624978237
2362.2213,5532.131201317459,1425.3522847950983
2362.22824,2321.882553846347,1432.4829170992457
2362.23519,3440.0807989433256,1424.8131696198334
2362.24213,-589.1937061812183,1429.447054019044
2362.24907,689.8871657226032,1421.9975723029222
2362.25602,-8332.203027779491,1415.7916334875729
2362.26296,-7260.748680165298,1423.342718259688
2362.26991,-7634.486085990024,1426.3521615259242
2362.27685,-3422.270824923165,1417.108397015621
2362.2838,9319.66697515248,1409.3344799840013
2362.29074,19807.649827642956,1422.91486824381
2362.29768,17144.70438418095,1404.782723463633
2362.30463,6305.970118867691,1407.9370982807663
2362.31157,4242.537960921886,1401.2509227327043
2362.31852,-5808.594626379784,1410.9115164222028
2362.32546,-4418.6104710553245,1409.4259680255052
2362.33241,-10250.541492655424,1406.7796084883398
2362.33935,-8134.54522769538,1416.7134585394258
2362.3463,-6881.169325076485,1409.9770098596462
2362.35324,-11199.485502236856,1408.8023094455505
2362.36018,-11727.280617554452,1427.9856608808293
2362.36713,1847.9190927318791,1427.6185009518895
2362.37407,12364.044783969668,1433.073211228421
2362.38102,18981.859591792127,1443.4426107840268
2362.38796,20013.76861089216,1414.4815126556075
2362.39491,12055.53080321896,1420.5491626161424
2362.40185,3698.7561406884906,1417.9733062396738
2362.40879,2808.515599005453,1431.6841328952898
2362.41574,1492.6107903963027,1433.206367090808
2362.42268,-4545.225995267252,1431.3101792999018
2362.42963,-2263.4274321992298,1422.9867301377965
2362.43657,-8349.428142603634,1421.2757829853806
2362.44352,-4447.285933252184,1411.7631402540899
2362.45046,-7635.103705755359,1419.8903279410217
2362.45741,-1653.4357465235173,1437.358656024016
2362.46435,4442.72662821354,1431.023486575783
2362.47129,11731.11254737203,1436.3865578404452
2362.47824,11764.38007517685,1427.5291264955029
2362.48518,-46.73755672743581,1437.4909060642096
2362.49213,-1895.240451862773,1441.6804846777004
2362.49907,2658.0760452925897,1442.3930648029454
2362.50602,961.4022351143443,1437.1398999643802
2362.51296,-8104.293483912147,1444.2084834482998
2362.5199,-9083.793593533697,1446.1899694957237
2362.52685,-5473.374893791133,1447.9492271651054
2362.53379,-14096.82783714288,1440.5931961052395
2362.54074,-3848.4097426784674,1443.753005855532
2362.54768,2273.386192360626,1439.4258932390542
2362.55463,10737.518297336814,1458.7485903217062
2362.56157,18383.16456565703,1454.6206076173469
2362.56852,16342.112858577077,1444.2492454469896
2362.57546,10152.028800043947,1441.5251361715823
2362.5824,8924.551561688939,1426.0953609341782
2362.58935,4634.995692070848,1421.3031086215394
2362.59629,-2866.1192477910495,1434.9790611227206
2362.60324,-3991.168679045602,1435.592906628917
2362.61018,-3717.488392671601,1423.4701372481852
2362.61713,-7994.913038568489,1437.3268012768915
2362.62407,-14264.932886236104,1444.576398229067
2362.63101,-13749.294206690753,1455.7453368404563
2362.63796,-8020.993622122826,1439.4607673934888
2362.6449,3152.531770911378,1435.4138557754127
2362.65185,11700.293305984815,1444.2833647495966
2362.65879,13295.45494432947,1449.7335459151627
2362.66574,15972.79782766947,1459.6257281453659
2362.67268,12619.352429771221,1461.4496011311894
2362.67963,4837.690014519004,1471.1982105437846
2362.68657,547.2441745961867,1464.4351910796736
2362.69351,-1437.7988856098664,1457.1229414258082
2362.70046,-3757.076898710296,1455.5549632095378
2362.7074,-5729.529332372877,1440.833238986413
2362.71435,-5512.688331823855,1431.2463188352876
2362.72129,-10985.452399516102,1430.5403814061253
2362.72824,198.90677791803984,1455.230074982943
2362.73518,4282.72174311182,1449.1092834537458
2362.74212,17228.480859414212,1455.181311554881
2362.74907,11697.660684750912,1447.8417362648565
2362.75601,8585.960207927172,1439.9819170952571
2362.76296,4541.531448482294,1429.1386215622906
2362.7699,6286.181527237051,1423.4151840351367
2362.77685,-1244.6857464389461,1414.6377669839185
2362.78379,-5733.603871567843,1428.856156008406
2362.79074,-9375.067966305169,1418.5749231462632
2362.79768,-6096.2736398964435,1426.2612773658823
2362.80462,-12387.506031682266,1420.1659998284576
2362.81157,-11089.576962554615,1429.0894052231317
2362.81851,-6099.575210819958,1432.929185499717
2362.82546,5353.959146310762,1436.7908564793026
2362.8324,16846.15927860613,1441.5591045038238
2362.83935,17566.34272436979,1437.6140978824724
2362.84629,14310.22641141736,1444.5658303034809
2362.85323,11645.476268205952,1450.4188004042492
2362.86018,4151.668294035125,1445.7871805605218
2362.86712,5120.877810631868,1437.4889434494578
2362.87407,506.26659022435996,1433.1994224539944
2362.88101,-1577.203864336652,1452.9428739453451
2362.88796,-8729.16435590222,1447.2971861564329
2362.8949,-9926.152827000133,1462.733906030651
2362.90184,-3254.589549645949,1473.94360664073
2362.90879,2508.116879282804,1443.1649762818392
2362.91573,9475.391397480667,1452.5796392459088
2362.92268,14828.05944522552,1472.674700718551
2362.92962,13967.32032460909,1476.5250489207226
2362.93657,7668.986588770032,1456.6212669011918
2362.94351,4639.027657622738,1454.5079837246703
2362.95046,-6688.718492899094,1430.0619563177986
2362.9574,-5356.624075202886,1431.0633427522798
