relative_time,cts,e_cts
2201.73819,-5693.4051334169535,1563.7481823999285
2201.75208,-16294.375870266307,1594.8104225976338
2201.75902,-10652.712120708882,1590.9233064650946
2201.76597,-5435.755897175406,1569.910146145084
2201.77291,-823.3650252435192,1554.1134053529963
2201.77986,-9885.474547839714,1586.734899016451
2201.82152,-2834.110836835459,1567.6499158519307
2201.85624,-9112.378047893071,1595.8445434074356
2201.86319,-2543.0843696973025,1585.2688036911627
2201.87708,-3823.9581858407296,1554.804564577775
2201.88402,-2632.5273111562005,1563.5858647031998
2201.89097,-7694.62045271873,1569.8630216524853
2201.89791,-258.0925555422889,1567.3634600242367
2201.90486,923.0099830121101,1577.2484768536253
2201.9118,-8406.652773353428,1574.8619267400345
2201.91875,-6930.963686780209,1545.27341778077
2201.92569,-1780.1453795951213,1564.9188769706868
2201.93263,3260.6579634223276,1529.1258613215598
2201.93958,-3814.8515958150065,1533.8003491845998
2201.94652,-2616.5126195858447,1541.8630007978968
2201.95347,-6331.698749751221,1566.813892446201
2201.96041,-2101.97184785643,1564.5798424267139
2201.96736,925.7665476601784,1548.5324255142755
2201.9743,-2049.056496891934,1558.6216484782578
2201.98125,2967.3256686810505,1572.7511421757245
2201.98819,-3996.843986372204,1540.9634902285272
2201.99513,-1775.8409062665587,1555.6200801024665
2202.00208,-586.4730371468996,1537.692483202925
2202.00902,-4587.040512941232,1551.8446664709018
2202.01597,-2531.8251066694033,1557.1149737287874
2202.02291,768.8638042017134,1543.0932554912454
2202.02986,11.796831313838185,1530.4422927490582
2202.0368,-190.86226727519275,1543.701292347135
2202.04375,-1854.0374566654434,1560.4217604617331
2202.05069,2911.5117250838484,1543.107218303867
2202.05763,-5693.078752671919,1556.8893870373665
2202.06458,1193.2813836948114,1525.5140744004066
2202.07152,-1207.920083715079,1534.9599171390503
2202.07847,-9770.16658684368,1585.1298300717863
2202.08541,-5143.622877136973,1569.9097098071893
2202.09236,580.5506229057868,1557.238021015017
2202.0993,-1460.991044599308,1534.0028099676156
2202.10625,669.2823335967622,1559.0937660800323
2202.11319,937.6342838818613,1541.176641289957
2202.12013,-4831.684261901366,1544.7083602074817
2202.12708,-3641.2726725382277,1535.7211085958852
2202.13402,-6119.859538201255,1562.5606888202342
2202.14097,-6432.705954426226,1567.931571962786
2202.14791,-703.2451299476984,1552.492846413079
2202.15486,-4082.5472939068814,1553.9652686378367
2202.1618,-9183.844958946147,1555.6451695313963
2202.16875,-8450.58218172001,1545.5847448684465
2202.17569,-1746.8523619121368,1566.3906446886028
2202.18263,-4609.057686756329,1566.3686096249342
2202.18958,-4157.691224396326,1563.629498492643
2202.19652,-4535.936182407571,1538.6674802280309
2202.20347,-11121.564606019263,1542.6765528020637
2202.21041,-5337.705972579909,1559.978222992044
2202.21736,-7117.302220934888,1558.6266663640438
2202.2243,-6718.310923226076,1560.333402038111
2202.23125,-9444.748621373308,1570.4928754030966
2202.23819,-10454.686712389763,1549.3187064000404
2202.24514,-1398.5412743035986,1546.2586687463954
2202.25208,-2008.8577775227363,1555.2452658511502
2202.25902,-6637.364571416488,1559.94091610207
2202.26597,-7743.62098009439,1555.5618289935599
2202.27291,-5039.228599556448,1555.8768649533392
2202.27986,-5931.5867181605645,1538.2730307714653
2202.2868,-13504.572092245062,1536.2983836302176
2202.29375,-3319.0325559529983,1533.674902039951
2202.30069,-6713.572293692556,1553.6764129517233
2202.30764,-362.39083878603964,1537.9390141132783
2202.31458,-3232.288582540103,1564.646820293509
2202.32152,122.22500746750367,1580.7823774606225
2202.32847,-1534.3217729684447,1562.7945659316492
2202.33541,-3148.615991566109,1567.556975880417
2202.34236,-5573.55424043305,1516.1260464327752
2202.3493,-11182.906950738907,1544.691343029599
2202.35625,-713.0286982166315,1532.4830450813122
2202.36319,-6482.559958723395,1552.0890156917833
2202.37014,-3565.9585702699546,1548.7630300914825
2202.37708,-2851.6005686579388,1524.5159514668956
2202.38402,-4016.2219704328354,1547.712764779587
2202.39097,-6675.21077502786,1529.4179895418813
2202.39791,-12104.839179151772,1570.2725247664089
2202.40486,-9074.203718185088,1526.1323651968155
2202.4118,-9366.863398062098,1527.7400521688467
2202.41875,-1717.4698044390436,1530.2701574497053
2202.42569,-3196.344593979503,1518.5130328842604
2202.43264,-4836.493141835891,1532.033398881101
2202.43958,-2385.0390754622695,1528.2710753863694
2202.44652,-8503.737954864338,1524.9946141370865
2202.45347,-5542.691624822045,1533.7019549894055
2202.46041,-628.8052306509176,1526.8632311699876
2202.46736,-4826.358539730888,1521.6924089520323
2202.4743,-11370.510646618486,1519.3302937605297
2202.48125,-3489.235751109511,1533.0889002477297
2202.48819,-4849.13843218545,1541.2689267546289
2202.49514,-3422.9621336759546,1523.9371492499326
2202.50208,-9030.73770066239,1513.3843172731176
2202.50903,-8550.977640667023,1519.1273966396193
2202.51597,-6306.765966125536,1516.4923520951502
2202.52291,-5461.858284527113,1521.1886568529117
2202.52986,-5917.295124935316,1519.6390028208396
2202.5368,-9145.089208993833,1523.4632862965807
2202.54375,-7935.7191744555585,1510.244866122686
2202.55069,-1895.2013554571222,1518.7159300051708
2202.55764,-5329.13564182644,1505.3858073303018
2202.56458,-6902.406898772327,1516.344433548938
2202.57153,-7719.018286085842,1526.931299881519
2202.57847,-7058.625900750218,1521.3341755407043
2202.58541,-8663.133496713688,1520.3628873877008
2202.59236,-6051.188462206748,1513.5337630019603
2202.5993,-13749.183770369955,1510.3517689068217
2202.60625,-12130.395489628598,1511.4495950492103
2202.61319,-5046.817606385339,1509.5964680115617
2202.62014,-11002.72972582254,1518.4515092411457
2202.62708,-11113.861933168871,1510.249884008472
2202.63403,-2771.2866886263278,1510.8450488964759
2202.64097,-8867.813494260778,1513.3158122236919
2202.64791,-6269.35806392912,1522.3868407110192
2202.65486,-3892.272991944434,1533.7283534320186
2202.6618,-9622.215315289468,1525.1235519848908
2202.66875,-10830.657259126287,1520.463463272367
2202.67569,-9105.598011520455,1515.9711464802522
2202.68264,-7179.049269051616,1493.102241095226
2202.68958,-10642.214049137818,1529.5761620286125
2202.69653,-12020.638401156568,1516.8822200038242
2202.70347,-8445.884131610672,1495.2053897463836
2202.71041,-3581.0006646736238,1515.5302270379295
2202.71736,-6318.60075883619,1492.1322619559057
2202.7243,-10808.086372523156,1517.083589942104
2202.73125,-10528.019186110476,1519.460104284123
2202.73819,-9562.153622289978,1486.5763715461148
2202.74514,-10620.205165742715,1495.3716344841616
2202.75208,-15417.510583110807,1508.713320113233
2202.75903,-3654.737841791423,1506.5475569742246
2202.76597,-13869.122149101693,1518.1877429839622
2202.77292,-5483.951381135842,1500.3781754848637
2202.77986,-10049.253103838624,1522.335789177371
2202.7868,-3378.263025263596,1504.8556567885682
2202.79375,-5157.160478480644,1518.72225690464
2202.80069,-11104.751197933152,1521.5338001274065
2202.80764,-12641.289567405305,1514.4483272286877
2202.81458,-11540.762275281282,1515.6659281230975
2202.82153,-8615.703349420084,1503.6932526378037
2202.82847,-6382.318308884169,1516.8540762096334
2202.83542,-12440.671657486424,1507.6730905729094
2202.84236,-14327.084731411807,1539.2521730065687
2202.8493,-6567.702353894781,1502.9146076651914
2202.85625,-6847.9425482826,1523.6428393401393
2202.86319,-11185.553121899682,1526.955734803607
2202.87014,-1283.3234170827634,1538.3661889119262
2202.87708,-7860.167486203769,1538.3936781992754
2202.88403,-10757.180357562514,1531.8623544264842
2202.89097,-4910.48339493246,1530.6205367789332
2202.89792,-8839.715515548889,1516.3878491694338
