relative_time,cts,e_cts
2390.66035,-922.2030026899575,759.8450213070181
2390.6673,-4364.976895695209,764.4188795498438
2390.67424,-1104.4388940558179,753.2013194733051
2390.68119,-4862.077418014935,739.7787155112621
2390.68813,-1714.9574014574243,737.9640908673309
2390.69507,-2376.784241355449,736.3893839875876
2390.70202,-2476.1399613112767,741.6049355827599
2390.70896,-1189.8583445624504,738.9312929749758
2390.71591,-816.0706518751169,749.1153059717102
2390.72285,-2523.447990837701,741.9669041876232
2390.7298,-2006.5814484340483,748.9185423245488
2390.73674,-1514.8247446556702,748.6719302928999
2390.74368,-1699.3598778134522,756.6611798863024
2390.75063,-3719.5347535702927,747.6769947914876
2390.75757,-2077.5558651644383,750.4445962247086
2390.76452,864.0795472966247,751.1959082067315
2390.77146,-734.122179047087,756.1976018646184
2390.77841,-1166.597797323316,763.7164596283855
2390.78535,-597.7998773873968,781.4340338692033
2390.7923,-13.09829061164867,773.1113858481376
2390.79924,-2681.7445840600635,767.178949932171
2390.80618,-5150.271250620175,769.5630654722609
2390.81313,-3394.707737688853,782.5195810623218
2390.82007,-6152.117746402702,790.915507403989
2390.82702,-1073.2794698340062,790.0233767243012
2390.83396,-1523.877306910981,794.5036347631614
2390.84091,-2229.6785506802707,799.844345251759
2390.84785,-2706.7766018261023,804.5832889117961
2390.8548,-4865.024808345684,803.3920679251839
2390.86174,-1517.8485213597703,859.3837577536138
2390.86868,-603.6060785455246,865.8638086560001
2390.87563,-885.007142325551,882.3864561550039
2390.88257,-1226.3340930128224,814.9639460152017
2390.88952,-1557.5205434418574,863.8138087865154
2390.89646,-1830.2259928708402,867.3468279796239
2390.90341,-758.4168710684777,877.842004872811
2390.91035,-3048.5067625874176,849.848371457668
2390.91729,-1171.9192617929627,847.6790701787867
2390.92424,-1588.0067156218624,845.094246155353
2390.93118,-4245.439632910901,856.4743812988052
2390.93813,1313.5482049014934,843.5439255356465
2390.94507,22.787525518710535,861.8762965184761
2390.95202,1079.8039897988126,855.6303058962493
2390.95896,1129.921101308619,869.8986588277133
2390.96591,-118.49415246527323,874.9802055331726
2390.97285,-1976.7657788645706,881.541065807054
2390.97979,-371.1408271493935,896.8959222555595
2390.98674,-4759.005184213269,878.5102362140215
2390.99368,-2056.063680399459,876.1837391902936
2391.00063,-2379.3921366935256,879.5796454409391
2391.00757,-2615.0472065348913,876.4903605481122
2391.01452,558.3902466816883,867.6608608478457
2391.02146,-2689.065841393236,864.3684766618674
2391.02841,-1325.634943883567,868.5881364317044
2391.03535,-3395.287509067184,862.7516915295109
2391.04229,-2417.4656633382842,850.5775684489711
2391.04924,-556.2945823448796,821.6635927984114
2391.05618,-3314.398762686351,854.3154800425866
2391.06313,745.893331134564,871.872989566789
2391.07007,-3342.891716729801,837.0984218349796
2391.07702,-187.23077121579578,872.9143067784677
