relative_time,cts,e_cts
2390.656,-1841.3767365233416,617.1852658172866
2390.66294,366.6163531094718,601.879674100356
2390.66989,-1031.3397190161784,622.7499473369223
2390.67683,-635.2314945388446,614.8822569404335
2390.68378,-1610.4954454481365,593.4114078208503
2390.69072,1306.5843987518522,603.9323559253771
2390.69767,794.7542113005875,597.7262309330516
2390.70461,177.50497882120442,592.3228248376232
2390.71156,1039.9677974302358,616.9491535792539
2390.7185,-385.7977810418631,616.3265238307101
2390.72544,871.5901923577862,637.5410882191487
2390.73239,-1427.9567502109728,633.322215100092
2390.73933,-951.30718170588,617.2137999655746
2390.74628,-141.3707131022083,602.2035837177367
2390.75322,-369.7778949315218,604.8557962188779
2390.76017,113.42940616604777,607.5773059372904
2390.76711,-802.3617497004125,610.0830849521617
2390.77405,-2957.4406130483894,615.4958979096631
2390.781,-68.25890873971527,596.1387706978858
2390.78794,-688.2230661340596,635.9307379529386
2390.79489,-2067.081849482527,599.1002599198498
2390.80183,-714.9092886283007,616.4409739859318
2390.80878,2538.075385385186,633.6445569071273
2390.81572,-2061.9269935872057,616.3415748100269
2390.82266,-1562.159538934235,611.1388484388228
2390.82961,-1278.806457653693,615.9795151409056
2390.83655,-579.9617899909252,624.0517525271376
2390.8435,838.0798140330227,635.2992239457703
2390.85044,-1040.1254146303036,620.9617028568425
2390.85739,-594.9793226870421,655.5234547993
2390.86433,729.7013701967345,655.0054502611459
2390.87128,602.8343660800772,639.9808101581295
2390.87822,3262.261407827823,635.2165480802174
2390.88516,-616.402196810053,633.7878547727062
2390.89211,-959.0970041885422,634.8802005007624
2390.89905,-349.8064996263767,639.8541310822129
2390.906,633.7705043382159,638.000038567622
2390.91294,-414.75461099915026,675.4664204768465
2390.91989,-524.1317500255234,675.5342544044619
2390.92683,612.8165100291999,664.7166765825659
2390.93377,-939.9898904665279,671.459097233743
2390.94072,420.84973501901425,667.4734097734073
2390.94766,1666.4421305032436,674.3516028005048
2390.95461,-1534.7576632776168,656.7684007343184
2390.96155,-234.57421608369123,661.2207730741651
2390.9685,-1217.1221093374963,658.5289472316276
2390.97544,819.5759937319574,659.5531454699993
2390.98239,-476.12163450141725,646.9915354197668
2390.98933,-191.80539506528868,646.7497790644903
2390.99627,1009.9360767000724,658.8834814110905
2391.00322,1507.0654291450119,689.701929372627
2391.01016,-1131.8160851490666,690.8352472110456
2391.01711,1068.1422900251173,688.3865364927506
2391.02405,1012.9111536116974,691.0652972490757
2391.031,-320.89952603807654,689.7683000105866
2391.03794,-505.9680400487423,681.3973424931916
2391.04488,-833.1854236964339,651.4469388596149
2391.05183,-158.30045181638934,644.6150484980546
2391.05877,1446.6726429914395,656.8665456619468
2391.06572,-714.5738817350527,681.3036919552202
2391.07266,968.7973603582333,672.6994442584146
2391.07961,549.8491702469339,690.984293714558
2391.08655,616.2667379962016,697.9644989348028
2391.0935,-97.63350789373384,679.6336603751913
2391.10044,550.616352109333,678.6739514023645
2391.10738,-399.327984323547,682.7252778558319
2391.11433,-1266.6220627725882,688.5058991203882
2391.12127,-192.9298286450828,722.5706551833214
2391.12822,-1297.5641587100397,699.7346613355645
2391.13516,-1289.062132247761,692.2474262495842
2391.14211,-408.42818269297976,704.8171889136136
2391.14905,-1115.2974263074761,697.0087617481847
2391.156,-1271.3669885229058,703.9380653925455
2391.16294,-743.3418428060519,735.00119628867
2391.16988,-865.2203879653906,721.4398458414555
2391.17683,982.546534484839,728.7659100239181
2391.18377,2148.07148274841,702.0132123710276
2391.19072,-2023.709944084555,700.8264844601722
2391.19766,1078.578367329608,720.2486235409431
2391.20461,-2444.7881613312534,743.424414150915
2391.21155,-78.7008392028289,749.500410884564
2391.21849,1674.605823492963,734.9558343093402
2391.22544,526.8855566370531,721.6143953932548
2391.23238,-77.66692054031502,739.6387792906654
2391.23933,-210.97166749767345,732.3043534530268
2391.24627,-174.94704398217266,725.8592941640468
2391.25322,75.83509093263035,731.7725521838325
2391.26016,278.64954572334557,730.4612356108545
2391.26711,149.82277867481056,729.1863967585819
2391.27405,-2317.7266442110645,714.4051853418769
2391.28099,3610.741121819147,724.844189225679
2391.28794,-1775.1122915844849,702.192987957312
2391.29488,-592.9014513758032,715.10474231804
2391.30183,755.5053335492167,734.7748044747794
2391.30877,-805.9772248778303,736.0901973546559
2391.31572,-1293.0532547839612,733.7411993743348
2391.32266,-986.5999513521002,751.2201943128902
2391.3296,-253.53709125391947,727.6580952337863
2391.33655,206.20447884044978,738.3582963211489
2391.34349,-408.3593035584674,733.0905580809514
2391.35044,2282.632254833895,746.1654692383014
2391.35738,949.0361561600753,756.3085750495623
2391.36433,-199.6127770238204,747.0418752214371
2391.37127,2700.7414573689716,751.1228855507792
2391.37822,-2120.444678567557,739.2130665215168
2391.38516,-715.0612617111248,732.0024977011728
