relative_time,cts,e_cts
2390.66102,-2018.661171377332,989.2018193863154
2390.66796,-1350.6764793381465,990.6880928192207
2390.67491,-2161.204381597053,994.3711081326765
2390.68185,-2701.9250517739483,994.5146625984529
2390.6888,-861.7318280731286,993.7559885346406
2390.69574,-1870.1123116106403,992.6831147797761
2390.70269,-1489.1839631795613,994.1942214088889
2390.70963,-3078.5992213788013,994.390895010938
2390.71658,-1806.4345518233802,996.3993295534023
2390.72352,-3922.086750907767,1000.9900181079149
2390.73046,-2371.5875015266665,994.9694952027866
2390.73741,-5988.3999042546175,997.079520093372
2390.74435,-55.52822190032818,998.0280950693586
2390.7513,-2308.156745723074,1000.5110162965773
2390.75824,305.57194814078167,1002.0044608128794
2390.76519,68.64134467840573,1004.9286692646821
2390.77213,-1929.1756120299053,1003.656067557433
2390.77908,219.61735057923042,1010.0042027355222
2390.78602,-1752.830437836684,1017.1715677927745
2390.79296,-2876.521942394601,1018.3389936102039
2390.79991,-722.6489311880413,1018.8813399915465
2390.80685,-4209.097013665157,1024.6941670738493
2390.8138,1509.2696365826116,1027.3364457098855
2390.82074,-951.664783345811,1029.0363908684471
2390.82769,-1728.6766353822024,1030.9873239458966
2390.83463,-1568.2144813279886,1035.7531728522679
2390.84158,991.12845045892,1041.356577739816
2390.84852,1863.5571445989287,1048.018248619754
2390.85546,-1132.5265448984453,1050.4391532553745
2390.86241,-3621.3392155210972,1051.838178506952
2390.86935,-1312.6831499170614,1056.8323069014546
2390.8763,-4091.316882392965,1052.9913949554286
2390.88324,-604.1785167399872,1054.6013031780085
2390.89019,-115.70928174460839,1061.879023240867
2390.89713,185.1917679458892,1064.5082876885162
2390.90408,-419.72205043795043,1062.586968529539
2390.91102,-3159.6784118154196,1064.1239707375846
2390.91797,-2265.5036728703217,1065.6964299690922
2390.92491,761.5260302388612,1069.5969681455838
2390.93185,-4817.7570591346175,1067.6023445785504
2390.9388,-1496.6915563046393,1073.0454624723966
2390.94574,-2649.6807876758285,1073.9429102797208
2390.95269,-1519.6094092558997,1073.0867626008483
2390.95963,-2028.9263116641582,1076.0668789435779
2390.96658,-1003.3167690744923,1076.4967455538633
2390.97352,-3244.566377120618,1079.7050085868832
2390.98047,-2673.412027401262,1078.2669407701453
2390.98741,-2755.189468884183,1078.9038392140528
2390.99435,-3387.7668038538704,1084.5574416853788
2391.0013,-873.0068959383356,1088.3763091898516
2391.00824,-3137.6927997057414,1085.0061655890408
2391.01519,-1274.8437331933255,1084.1388628915513
2391.02213,-2383.262025296643,1087.7157727303027
2391.02908,-1545.0290407277557,1089.5196985981177
2391.03602,-1976.6147190608124,1092.0455135278767
2391.04297,-2855.65262893369,1093.178279108888
2391.04991,-4197.1717675719765,1095.0482055035218
2391.05685,-2694.0311497303287,1098.7608347354496
2391.0638,-592.3051946025109,1104.038752115488
2391.07074,-726.8732305001145,1103.0276293565403
2391.07769,-4708.790322154921,1104.564233171064
2391.08463,-4679.064322305452,1104.5245266167003
2391.09158,-3254.344282129984,1109.5812027941636
2391.09852,-4168.091430823898,1108.628776680797
2391.10547,-5528.98431364134,1110.6158307709118
2391.11241,-1243.1239065638665,1110.4535518095993
2391.11935,-1128.3151269769185,1112.6468409462918
2391.1263,-6395.023174081286,1113.922762599558
2391.13324,-2235.1601630616838,1115.6436898169472
2391.14019,-3814.8595328431556,1116.190152931351
2391.14713,-2071.6217470280876,1117.89939393876
2391.15408,-3447.966853789367,1118.8584599441608
2391.16102,-4691.98648178863,1119.5166060425775
2391.16797,-5323.968085645021,1119.1240556255234
2391.17491,-6078.391157779361,1118.0296686204686
2391.18185,-3950.2173174992918,1118.2400204001078
2391.1888,-1091.1022504655168,1117.268604195524
2391.19574,-3162.030792765248,1117.2587771553135
2391.20269,-1858.8642017070918,1115.652587272273
2391.20963,-314.7029948681887,1117.1812232163556
2391.21658,-1427.0183724041403,1112.2172399316878
2391.22352,475.44402438783294,1111.711280158692
2391.23047,-1343.5565231100175,1115.6819355950636
2391.23741,-5336.61747836344,1106.3091967976166
2391.24435,-4061.8844985692417,1112.0593432991177
2391.2513,-778.3782090191615,1112.6812355870284
2391.25824,-4977.109554432098,1110.329917019925
2391.26519,-3557.9557357487874,1108.8971611168142
2391.27213,-4142.7870678777535,1104.5048725362794
2391.27908,-2224.817468835901,1108.603013899705
2391.28602,-3401.522402585164,1106.9696004593247
2391.29297,-3878.1443438198403,1109.3403075111676
2391.29991,-2969.7044608287556,1108.6923868464835
2391.30685,-1473.416477161946,1107.7917518909828
2391.3138,-4189.357145839243,1107.004526291424
2391.32074,-1280.2201865711497,1109.4800108395646
2391.32769,-5450.939686662132,1109.6363138980464
2391.33463,-1689.6162753112424,1112.2070144979555
2391.34158,-526.5958934485084,1111.5086306538124
2391.34852,108.83858706343814,1115.1109048801338
2391.35547,-2436.295905355454,1116.72984335588
2391.36241,-951.2446109778953,1115.5928282439663
2391.36935,-1940.7825416989751,1119.931732092547
2391.3763,-2246.0440084882434,1120.1878991272215
2391.38324,-2071.7384763300465,1122.4968551831475
2391.39019,-1794.6869892410296,1123.7491388207725
2391.39713,-2335.8753734128054,1123.4541948166193
2391.40408,-1171.2607534726915,1126.522621723402
2391.41102,-3673.4567904792075,1127.3994858654207
2391.41797,-3432.1886111466574,1128.0354547244433
2391.42491,-4921.521971896986,1129.544170992424
2391.43185,-1613.3389219958206,1132.20397894343
2391.4388,-4566.753204506039,1132.7001116762156
2391.44574,-1898.9914596300855,1138.2825345049362
2391.45269,-3207.5356992466322,1140.149140953553
2391.45963,211.29650347782,1141.2597292951707
2391.46658,-2797.542153021314,1142.8210335080612
2391.47352,-2658.8960282342273,1148.0933733787908
2391.48047,-2421.879902962453,1147.839995098771
2391.48741,418.4594085687525,1150.10658864352
2391.49435,-2442.759707452777,1157.9058058267337
2391.5013,-3755.4258592462306,1162.8462838936011
2391.50824,-4970.916792727607,1165.6872280992964
2391.51519,-4596.667378895753,1151.5481092041155
2391.52213,-4546.325709461074,1168.3336234683939
2391.52908,-141.11204789069757,1169.5712993435438
2391.53602,-6512.931056876214,1172.2939206731921
2391.54297,-3875.1067260120954,1169.8435349169406
2391.54991,-3443.1194670088175,1178.235561660956
2391.55686,634.4465973751182,1179.8661863466818
2391.5638,-452.6972150553702,1182.5007627079585
2391.57074,-950.6804857506811,1168.8652132246411
2391.57769,-1507.4971838030378,1168.2516872006934
2391.58463,-1559.4685483385576,1170.218423221184
2391.59158,-1419.5944419186917,1182.4752655225477
2391.59852,-3200.212960715782,1183.9231603794963
