relative_time,cts,e_cts
2390.65722,-579.3611530046107,529.4638246251238
2390.66417,-36.28176857237508,556.6990319623246
2390.67111,-1187.4954653307655,525.4340827712051
2390.67806,-1164.9531791147058,556.834141963887
2390.685,198.17679008601027,527.804424239695
2390.69195,308.2923019324721,556.2224895205089
2390.69889,480.3932920036044,529.8738877827315
2390.70583,368.5557730671681,529.601086059832
2390.71278,-1138.0758626813245,535.3126032038971
2390.71972,-1558.851005922344,537.1952147782125
2390.72667,-467.71027089358086,540.3331875931578
2390.73361,-1408.6861357784157,544.1515511404925
2390.74056,-2845.8077634461274,542.9599798926384
2390.7475,-1148.7692384180243,551.9431814216662
2390.75445,-973.3280408162325,552.4267160212062
2390.76139,-1400.7947865709298,559.0159103171392
2390.76833,370.778633793507,563.1009440029075
2390.77528,-1317.8111056990085,563.4710980756587
2390.78222,-1915.1299484574336,569.660448521427
2390.78917,575.8599107029812,569.8145987063305
2390.79611,371.2543156620644,605.0690579515407
2390.80306,-1327.0206379949843,578.7890869311173
2390.81,-907.6825445237654,580.6708379321744
2390.81695,-1752.4308288055204,586.1600044606112
2390.82389,-1808.9598422855718,621.3956386657949
2390.83083,-520.7991427733458,599.9041123981903
2390.83778,-2854.7684824987805,596.8691932309333
2390.84472,-1177.5635893560554,604.1083354802412
2390.85167,-63.6378864523752,583.5475191915508
2390.85861,-2061.243992702614,607.5365366265678
2390.86556,-773.4824916106088,571.8248978378548
2390.8725,128.4301243591804,592.0513814156731
2390.87945,-1429.8629073767759,594.6582729585542
2390.88639,-1859.0986690356854,622.1543415646948
2390.89333,-2004.0173770250062,605.2149251188323
2390.90028,-1282.7935192431612,625.4080614828893
2390.90722,-2706.32626487477,627.1826711132809
2390.91417,-1564.277027887949,609.5029465219159
2390.92111,-1162.10113176485,604.3114307692138
2390.92806,94.80462272038469,635.2494696938146
2390.935,-1009.4440414647166,608.4184090730702
2390.94195,-2314.9126979206962,598.31753802475
2390.94889,1052.8126308196702,642.3313421801575
2390.95583,344.8869964559177,617.4735760408281
2390.96278,-3471.500889820847,606.663269912649
2390.96972,433.73397808034696,614.775463732561
2390.97667,-3036.9068763404293,609.8589011359041
2390.98361,-700.9915653345324,602.9062222099723
2390.99056,-3332.037355716259,607.4581168883999
2390.9975,-2315.3136174874344,627.4285799218567
2391.00445,-2271.0532590935068,623.0000699343461
2391.01139,-2649.584689799904,628.7878553834332
2391.01833,-550.5697065013268,627.1417938835089
2391.02528,-2068.0196086806386,631.9533665426459
2391.03222,-2288.5594706016554,634.9891462831612
2391.03917,-1751.6094116304178,632.3826850269093
2391.04611,-4064.1171300089754,645.6449795114651
2391.05306,-559.5661393442018,651.1450107772887
2391.06,-487.6664268966174,653.3834693939352
2391.06695,-3350.0740030665274,661.9544563322095
2391.07389,-1106.2113090724442,676.5191208716328
2391.08083,-751.8174522597877,671.8691208417525
2391.08778,-1551.3462692511757,672.6776294179799
2391.09472,-1853.4910661125673,687.2989842207977
2391.10167,-3038.129858512213,677.989948141824
2391.10861,-2977.142645267238,681.464620244102
2391.11556,-2965.07773090003,661.4675870112935
2391.1225,-461.3903284558567,719.1128715790924
2391.12945,1253.669461175522,697.4347084860814
2391.13639,-1591.357977468589,700.6481966044475
2391.14334,-3773.221961924155,696.4000842862205
2391.15028,485.0302758629522,708.7669522954548
2391.15722,-1943.9643160519784,713.7261132684002
2391.16417,-666.3529538273347,708.769964301859
2391.17111,-2723.2750400548175,716.5838619160926
2391.17806,-2849.757256843704,723.183383091126
2391.185,-3536.4166199902274,727.044237443092
2391.19195,-25.213398038345865,718.0046683656418
