relative_time,cts,e_cts
2390.65629,1105.863227626941,534.5843572918328
2390.66323,1001.1148920331455,586.7607523558265
2390.67018,-598.3756721512449,551.0372474033566
2390.67712,1108.5677448772694,549.8411857764058
2390.68407,-2066.529851870605,548.379437401572
2390.69101,-202.81146060900542,544.7950226125307
2390.69795,667.5147575193895,578.8467012964918
2390.7049,-7.232188065457186,556.1519005684598
2390.71184,19.870583062713216,563.7026613919227
2390.71879,-1023.2675326138417,551.414151859656
2390.72573,-1924.4866161126774,560.8372868910036
2390.73268,-835.1985971315636,560.6992596408223
2390.73962,-765.3187934473851,565.7833331723497
2390.74657,-2658.6460196435582,567.1139661319886
2390.75351,-1050.010993047496,555.5902616134351
2390.76045,-166.2547653663665,561.848404569684
2390.7674,517.2689539538346,567.4195530182018
2390.77434,388.38847012917046,559.2294474585044
2390.78129,1018.5033932623628,568.7396087758161
2390.78823,1354.1823145106403,576.9835428685889
2390.79518,138.37399390314516,565.4289445421421
2390.80212,596.7384050576676,580.5805246303325
2390.80906,1698.015839620731,576.1998873958219
2390.81601,-1993.8146249704482,596.0302561458874
2390.82295,-2291.842896002343,581.2742215235049
2390.8299,-781.1875287777925,575.5011637135685
2390.83684,-709.6838627709192,579.15165983407
2390.84379,1042.936939388544,590.0204156252834
2390.85073,-679.1477947004538,584.6083441062235
2390.85768,-2312.0265014101187,614.28587849157
2390.86462,-370.5234711849874,604.3589125796287
2390.87156,-569.7288389770399,589.7080216288564
2390.87851,-131.4495919441242,610.215540758036
2390.88545,245.97450867652216,616.3356564641035
2390.8924,-911.3407327628918,605.2642582380639
2390.89934,-1124.7194465430257,632.6934564821792
2390.90629,1566.6360990998778,622.4979762534967
2390.91323,-680.8623486761509,624.4483704169088
2390.92018,-1475.6101646236925,608.5755508203732
2390.92712,87.7563223533388,620.0169416677259
2390.93406,-2506.157535074488,615.8771714100111
2390.94101,970.821261811064,619.7468564793968
2390.94795,-560.1917633931905,594.7001468101112
2390.9549,-1452.7562869662027,605.1870760807168
2390.96184,-1710.846404575561,611.5938234891714
2390.96879,-3717.888187214373,593.5492215601165
2390.97573,-1755.8857016675458,606.3746550010933
2390.98267,-485.5642621468188,613.2872230608195
2390.98962,-1389.4917377125664,617.2087468926027
2390.99656,-1237.6588302194712,608.9606238089292
2391.00351,-1831.330998662526,616.3786983456093
2391.01045,-1025.4971230207918,625.6585698881496
2391.0174,-1133.926848542982,607.5748008941723
2391.02434,-3960.904744691068,620.7848884246149
2391.03129,-973.901950444284,632.2085807854116
2391.03823,-1653.2936491399369,619.7614132227772
2391.04517,-64.07333867180839,628.1333209875692
2391.05212,-916.0124001402354,638.3701675013971
2391.05906,-764.2645291624266,648.8785653503693
2391.06601,-589.0741225807927,638.9464679245746
2391.07295,-2873.157331838496,645.6509478613036
2391.0799,-642.0577361913707,633.1437730040151
2391.08684,754.1254955861323,651.5655935636869
2391.09379,161.89098882023157,654.0492462687707
2391.10073,-163.28717948746774,648.0180418945727
2391.10767,-490.02291933685694,664.2625297087816
2391.11462,-1327.9418471593992,657.3060819693694
2391.12156,-2274.259606696239,667.0623465021032
2391.12851,-2137.9834594362137,668.3305634973201
2391.13545,-254.75798479731782,649.8482120191318
2391.1424,-1229.752947692393,664.3484040222479
2391.14934,366.36537409208165,669.4111137001812
2391.15628,-1202.3221785766896,666.9106003067217
2391.16323,-365.4675686172679,663.3763486837175
2391.17017,-3361.3275652247016,662.8069600955264
2391.17712,-1683.0859618759653,660.9780466682374
2391.18406,6.673167229745591,680.0268544409865
2391.19101,-368.11993293088136,658.3340603364256
2391.19795,-590.4423517337663,659.8491136204722
2391.2049,-961.0266680115877,654.6417790316888
2391.21184,1184.7051678938342,663.391743225278
2391.21878,-2741.2138578671675,669.0066666287091
2391.22573,-147.99380205728536,656.9599665961911
2391.23267,-544.0683374160147,657.7210015180937
2391.23962,1016.919640527543,658.9334002095574
2391.24656,932.6024797037604,657.4649494492822
2391.25351,1385.3609737852883,650.7708372650328
2391.26045,754.4943362349476,642.9371101062209
2391.26739,1255.1009505322188,666.5422832817691
2391.27434,-1635.9729048385398,660.7651412057044
2391.28128,-1730.4595741474202,654.2220421434287
2391.28823,426.853355451896,655.2389196845977
2391.29517,-1016.7099815329583,655.2866741808668
2391.30212,-1326.3750598377278,656.3129769515626
2391.30906,-1015.2021542582154,664.0527659894241
2391.31601,-4622.156018290811,654.0205516811002
2391.32295,-796.7968608466675,652.9961339563098
2391.32989,-1195.1520923013372,645.1029231267064
2391.33684,381.85605299369195,660.9975254759262
2391.34378,157.46039786922879,649.4550752230917
2391.35073,-1436.13719864069,653.6743315831492
2391.35767,-1735.9481994751923,650.2388354206313
2391.36462,568.1537783983393,648.822328147526
2391.37156,-1516.3208726931089,653.9807562675426
2391.3785,-742.8709337329552,665.195313257617
2391.38545,-90.97409571378775,667.9807827571035
2391.39239,934.322165193311,652.7017526207562
2391.39934,48.87567968370895,674.6346806287054
2391.40628,-575.8088450952323,660.9041109788384
2391.41323,-1500.2044632756922,666.4859413541533
2391.42017,-1118.425487714575,669.3811624152405
2391.42712,-1167.4709262545387,670.5003560591616
2391.43406,-702.2568866285749,686.3894079954378
