relative_time,cts,e_cts
2419.99289,-625.4923671116082,1759.0424628875362
2419.99983,-3992.791368345985,1760.0252705837931
2420.00678,-4715.091484917222,1762.045530529
2420.01372,-1953.8445746225432,1765.9267234242066
2420.02067,-2069.5696645928456,1769.0722799138264
2420.02761,-2564.008827002843,1772.4951892784527
2420.03456,-4057.809331575501,1775.815163555448
2420.0415,-5546.585078907495,1776.5623960434375
2420.04845,-7143.107017264373,1776.4556485451533
2420.05539,-650.1151390149523,1781.4135297489472
2420.06233,1303.9704117309502,1784.41532658686
2420.06928,-3509.705723711091,1787.6218816469277
2420.07622,-1102.6744938503182,1787.5508754985156
2420.08317,-1543.3168883861542,1793.0367755777513
2420.09011,-10.722722662474487,1796.387407990414
2420.09706,-2145.3257589778927,1798.2149823472
2420.104,-1170.815615656868,1804.5548624127098
2420.11095,-2861.1334990574996,1803.5442558887744
2420.11789,249.05541578486606,1802.8040128203154
2420.12484,-3996.6660483729925,1805.3171856928673
2420.13178,-2637.659041053434,1801.9106379239604
2420.13872,-715.407119260154,1800.6657269953093
2420.14567,-240.11674245755577,1797.2469477422237
2420.15261,-5303.6481056693765,1798.5612763148483
2420.15956,-4289.974338513545,1797.4202535764916
2420.1665,-6216.388777338134,1797.9071301869694
2420.17345,-4006.0183682561546,1798.5393549535936
2420.18039,-2308.5198093905806,1801.3468776986467
2420.18734,-2445.740223725209,1803.4090741610364
2420.19428,-6727.266101381241,1802.5557295765382
2420.20122,1772.5383965991866,1803.8054060185057
2420.20817,-3413.7359103429044,1800.4954393194746
2420.21511,249.37931183992808,1800.5759764945194
2420.22206,-1333.3968210570852,1798.9483948465725
2420.229,-1740.2877852313916,1796.8827036744176
2420.23595,-4664.1092292076455,1795.6028456481135
2420.24289,-1998.038992014883,1793.4469274238375
2420.24984,-217.45879169450606,1790.2046310138971
2420.25678,-4413.888327716066,1790.3746009888437
2420.26372,-3260.946564004052,1789.3794029579649
2420.27067,-1995.4413107061894,1789.5075952661723
2420.27761,-5501.134313354544,1791.4538309045329
2420.28456,-756.2825154781615,1791.3831424570085
2420.2915,-1732.8589853731166,1791.730071826432
2420.29845,2561.823203745562,1792.934952443227
2420.30539,-2485.913183280399,1790.0271950680885
2420.31234,2371.3219677784796,1789.7920964111531
2420.31928,-5880.9039469937925,1787.1682047792199
2420.32623,-5443.510997137871,1787.9092420998984
2420.33317,2328.5586340350137,1791.876690786129
2420.34011,-4677.883786597853,1789.323169900833
2420.34706,-1637.1112449254676,1791.7426210114984
2420.354,-3438.293077012928,1793.9017162446526
2420.36095,-110.82900158917562,1797.2318569500553
2420.36789,-1792.6309126936496,1799.1957249876866
2420.37484,-6815.765337224414,1802.351765606602
2420.38178,-380.04809846736066,1806.6284961070587
2420.38873,-781.7591085173358,1806.601173830712
2420.39567,-61.68686942145028,1812.0276638439382
2420.40261,2011.4761510622996,1811.7558707344674
2420.40956,-903.7068469255671,1814.817554189721
2420.4165,-6197.3943943621825,1813.1381872970708
2420.42345,-2147.913432708622,1817.7826565750986
2420.43039,-1335.7935565542766,1825.1717438224048
2420.43734,-3847.6522593841705,1826.0991127137493
2420.44428,-162.50289213138643,1833.6896223238894
2420.45123,3324.961068979608,1834.6926040265184
2420.45817,-1454.4165551721965,1831.8391735031853
2420.46511,2352.4694382489083,1832.5638492281448
2420.47206,2079.4920987190762,1825.0433926637536
2420.479,1539.6814371276225,1828.3689267062841
2420.48595,-2290.69821924176,1826.9273589281152
2420.49289,-2402.979113887957,1828.614032941184
2420.49984,-3544.634077011293,1827.9433663671418
2420.50678,-2480.567071591774,1830.175215103591
2420.51373,1377.2730610103422,1830.49736380377
2420.52067,3479.559721874201,1828.2855302232495
2420.52762,-1284.3519053610114,1833.0311872340258
2420.53456,-3357.8939430038477,1833.4333965579185
2420.5415,-1316.377743350723,1835.920359107231
2420.54845,-2951.184386036447,1836.735897286087
2420.55539,-5159.7853600241,1836.9478037782167
2420.56234,-1242.9546854348732,1834.644631192468
2420.56928,2891.5066570291324,1837.5074338919896
2420.57623,-549.3958562253364,1836.176426022758
2420.58317,-4978.7600295855145,1836.7737036917292
2420.59012,-294.035825173501,1838.8425718727622
2420.59706,-205.46113536948778,1838.8528971516143
2420.604,-3045.957896711808,1836.678552275848
2420.61095,-1630.1176952834112,1840.5438601266674
2420.61789,-5983.802499022934,1839.7526260657241
2420.62484,-139.2017559210853,1840.874269049928
2420.63178,-1621.9974194429467,1840.3116207777214
2420.63873,941.9451669248,1840.769745457858
2420.64567,-1263.4495697036723,1839.0103179414946
2420.65262,117.83589466851768,1840.415350117572
2420.65956,-2572.5349657274087,1838.714220714111
2420.66651,-9358.334914069617,1835.9799280236844
2420.67345,-1704.1326299531402,1837.0998236530056
2420.68039,2489.74862724777,1836.3926214768726
2420.68734,2234.6268718617475,1835.1485048004406
2420.69428,1321.5386354217894,1835.2196697992968
2420.70123,3129.84983428082,1836.3948453830867
2420.70817,-625.7945006558592,1836.9854513334155
2420.71512,427.30928252915777,1839.6255457106238
2420.72206,-1169.2410900571756,1841.2537627603463
2420.72901,2833.585337379747,1844.4663541372815
2420.73595,-2945.1868286774893,1846.845298384759
2420.74289,-4818.50916019695,1845.7614618061975
2420.74984,3502.384624453763,1848.6741435450958
2420.75678,-726.4646986583177,1850.379720760986
2420.76373,7410.121746532901,1852.0929227981815
2420.77067,-968.1259439816737,1850.0070576196542
2420.77762,-4958.04974411482,1854.3109515460133
2420.78456,-636.8428667282783,1854.800687464481
