relative_time,cts,e_cts
2419.99081,-5012.401954724191,804.939948771813
2419.99776,-475.2202429463286,805.4538672197963
2420.0047,-301.65464070552883,800.8241118370134
2420.01165,-3260.4606995752374,813.680041634503
2420.01859,-2423.7080877588974,816.6485127047613
2420.02553,-461.0493822607469,821.432028356978
2420.03248,-1098.450794652244,826.9911916165352
2420.03942,-1714.6839072936434,827.1687454459104
2420.04637,-2073.690567329102,826.0612225708942
2420.05331,-947.2038883379629,835.7579961172728
2420.06026,-808.6642020715362,835.0912152700423
2420.0672,-2342.064190533898,830.8844689788623
2420.07415,-2702.791618781735,835.504796724687
2420.08109,-2406.0494503339555,838.4658603659069
2420.08804,-95.41666471665248,841.8291698506673
2420.09498,-2369.9135423415532,843.3172774509757
2420.10192,-1184.0426270871721,848.8268333827302
2420.10887,-1016.9898384777391,851.9648896844587
2420.11581,-3847.266229088706,840.3152484824979
2420.12276,-1202.3027253032785,840.7932521230223
2420.1297,-1181.7904319581742,835.4156831086794
2420.13665,-1386.8820521864686,841.2253521502631
2420.14359,-1372.4269033530948,843.7907917405676
2420.15054,-1903.7672877335099,852.953669227314
2420.15748,-891.3511999856723,843.362058726526
2420.16442,-122.57903359788156,843.0961769175562
2420.17137,-2472.102168472143,842.3209782453088
2420.17831,-1264.6342204536234,841.8825931267625
2420.18526,357.94032695524675,844.416831728087
2420.1922,-1183.53858521124,840.820749397483
2420.19915,-819.3314610557206,840.0147986713489
2420.20609,-3636.2997319965352,841.6350054228421
2420.21304,2628.6700779790203,843.5525194398319
2420.21998,-214.8101671266957,842.1800126260322
2420.22693,-1589.1517786524473,844.4154849228073
2420.23387,-1582.896765998372,840.7623878353622
2420.24081,-1941.1533677268046,838.4319657663675
2420.24776,-951.7703438725993,828.4365381492127
2420.2547,-1816.7623198588444,837.7375754109028
2420.26165,1081.2953012330481,826.1742419806167
2420.26859,192.58170715391788,823.0227176260909
2420.27554,-1695.3278462811713,828.7565166369175
2420.28248,-4274.567476884206,831.8834617950885
2420.28943,967.8681462121286,837.9103031880258
2420.29637,-994.5923544423576,826.2822108705401
2420.30332,-1701.3898168451544,839.258006337924
2420.31026,-1863.8522441262362,832.4780763260814
2420.3172,1160.4073167659622,845.7213248752612
2420.32415,-1637.8249847599138,836.2992996059437
2420.33109,-3224.182928093372,841.3498194048632
2420.33804,-1509.743802659316,844.9319847475767
2420.34498,-794.2933408019175,846.9232363536308
2420.35193,-1745.4809669234946,848.3667871459353
2420.35887,-1652.148820078516,848.8564630988839
2420.36582,788.6676229147877,848.3676850161218
2420.37276,-4404.97470393664,848.8961938546353
2420.37971,572.0467883232926,851.3134848641715
2420.38665,599.3045559118344,859.5567188124212
2420.39359,-3382.7490477002475,859.8494244932119
2420.40054,-3817.8091284783945,858.8321375719363
2420.40748,-241.53662003239094,868.0317155025547
2420.41443,-1181.3291511498728,871.40366698786
2420.42137,-2298.9269152949137,873.8113058928915
2420.42832,-2035.8683468927272,878.2636196800723
2420.43526,-1421.4315357931437,885.0189704955604
2420.44221,-3025.9814514423097,886.0369308194759
2420.44915,-1919.7483669487974,885.2821586939707
2420.4561,-2642.407379598307,887.954557070239
2420.46304,-4003.0040576081865,877.914460411307
2420.46998,-1908.731387526981,884.0294053162921
2420.47693,-1448.914219863397,881.8040340591149
2420.48387,-3995.3148095649913,855.4909381405178
2420.49082,-2618.6846391676895,857.4401020815808
2420.49776,-1875.3301676550338,887.6603923503952
2420.50471,-1985.752151161823,859.5572799812877
2420.51165,-2055.601513383519,862.2350655786748
2420.5186,-345.1903458397612,869.9879501713363
2420.52554,-1326.7352996673635,868.38121147264
2420.53249,73.84252764226834,864.839562522091
2420.53943,-2710.853819653637,858.5854477382023
2420.54637,-3982.114546550989,856.1947561329405
2420.55332,-1482.0705456419835,864.8841193300948
2420.56026,2436.579281349557,864.2700883563195
2420.56721,-142.76685910434887,865.6618993791284
2420.57415,-3067.8982966303283,866.6676262217533
2420.5811,391.053442731109,862.4890506076739
2420.58804,-3502.4148292443388,888.5662311347747
2420.59499,-2848.913706539166,893.6762348335482
2420.60193,914.7905501386842,908.0955810932365
2420.60888,-2513.263904833337,880.5400573041053
2420.61582,-3035.985296592463,872.5271270586862
2420.62276,-5257.464735446412,883.3684606252734
2420.62971,-1240.5065405689052,877.9949320267698
2420.63665,-5752.181443855624,879.5580117876488
2420.6436,-53.659528188053145,879.9204146416645
2420.65054,-603.1473280761724,887.1884493336296
2420.65749,-3653.7952937488585,876.7722573003381
2420.66443,-1837.9749519493994,876.2403814486252
2420.67138,-2603.4579953765874,877.5126635028596
2420.67832,-1922.3103272921294,880.8050412428885
2420.68526,-3035.385631541671,883.8310882388546
2420.69221,-4056.2377708603044,881.2947171958372
2420.69915,-2647.240165877007,889.4285232151103
2420.7061,-930.4171950978609,890.8692681630821
2420.71304,-646.7500367730704,888.2009102026528
2420.71999,-4145.946450333991,886.8466974939026
2420.72693,-1608.9878635133634,890.8089986268149
2420.73388,-31.989543471262664,892.1246029175469
2420.74082,-3038.85028812373,893.5829685679282
2420.74777,-2260.3163648348145,895.7738840566994
2420.75471,-432.3415543210489,896.9433599745826
2420.76165,-916.0502620103081,903.7589803263377
2420.7686,-1910.074152390854,901.6923076246197
2420.77554,54.19151627353925,904.5445045057297
2420.78249,-2327.000959116734,911.6810012153761
