relative_time,cts,e_cts
2419.99291,-3904.242096077002,1012.6026137084842
2419.99986,-5737.578634131263,1011.5998312558554
2420.0068,-4781.7953422863875,1019.3538825016766
2420.01375,-4783.838931670156,1018.8573009192214
2420.02069,459.01950876350725,1017.0599653010461
2420.02764,-1552.5911754092515,1021.8023873143475
2420.03458,-707.1750641225806,1042.6835975893512
2420.04152,904.1350727225421,1054.8923975616458
2420.04847,-2023.1912880729913,1076.794044511444
2420.05541,-2199.001764854649,1059.1999146019812
2420.06236,-2808.1982724876084,1039.7085216501616
2420.0693,-1549.5326945871382,1063.7840144562454
2420.07625,-3356.3625497405387,1078.1951786437087
2420.08319,2053.218856614998,1036.7477048904136
2420.09014,-1268.5406255041712,1083.2737098867028
2420.09708,4425.420084060236,1036.163418037584
2420.10402,-1822.1192037255157,1095.1302175923197
2420.11097,397.21977239163397,1098.4887070231587
2420.11791,-3826.4147025085977,1100.1802304764308
2420.12486,-3091.0080474450956,1097.7193903418618
2420.1318,-2607.966121710092,1099.4708928832608
2420.13875,-1467.021839580742,1100.1998085561402
2420.14569,1396.123728212367,1103.4115189732042
2420.15263,-5557.246186777195,1093.1605269718473
2420.15958,-4309.383861161213,1099.3414285873791
2420.16652,-3460.2855997039987,1099.5359645354742
2420.17347,-1738.9268504762883,1100.4666589142598
2420.18041,-5649.189828488423,1107.556866139415
2420.18736,-2945.062290322776,1095.7458520063024
2420.1943,3934.371289564552,1096.7605171084658
2420.20125,-847.8549968116234,1091.8117896656256
2420.20819,-1561.3859204181213,1097.0227275748623
2420.21513,-1859.2661768601058,1096.6163409607793
2420.22208,1175.8151054535663,1109.3562387832249
2420.22902,-2983.503114239547,1098.6970494783318
2420.23597,297.3320702101217,1101.053435465087
2420.24291,4730.9211929051635,1094.3516211275767
2420.24986,-3007.181839719266,1096.188452409443
2420.2568,3301.4353983552014,1093.513045574707
2420.26374,-467.7429578751696,1104.174385073325
2420.27069,851.1189908866396,1099.0966460069665
2420.27763,1698.7885051974324,1094.4521143922123
2420.28458,-4789.257306689839,1105.3370740382622
2420.29152,-4451.197511783947,1106.531563236716
2420.29847,-6177.1851754298805,1105.0609438966965
2420.30541,-447.8039851242138,1107.395035769563
2420.31236,-142.5090685407344,1100.2983779632318
2420.3193,-2375.62320417502,1108.95664225459
2420.32624,-7444.745765267674,1110.4102863809885
2420.33319,-993.6440161281778,1112.3885777763621
2420.34013,-10455.561658718889,1103.165378375702
2420.34708,-2140.878293912597,1097.1973459389756
2420.35402,-4999.83019176472,1119.9108607722135
2420.36097,-1848.4770705869678,1118.2855406520628
2420.36791,1183.1586960340358,1118.9046832768604
2420.37485,181.2245514138904,1120.0765388571529
2420.3818,1672.985048812837,1120.4912999099554
2420.38874,-3200.114309135545,1104.4810705994084
2420.39569,-3377.365981553613,1111.0527416324924
2420.40263,-3456.5632748612193,1113.7433129913964
2420.40958,-4190.068026990642,1120.758263436166
2420.41652,448.12560883828337,1110.386860586192
2420.42347,-2071.298590802108,1123.1960172802103
2420.43041,455.687274329735,1137.2512678220899
2420.43735,-2929.487192321376,1133.5043855036058
2420.4443,-764.9198746327968,1136.1395044980154
2420.45124,-3035.685373582393,1142.108555447559
2420.45819,-3787.553459134484,1122.9876748250372
2420.46513,-1515.7125238179617,1057.5915696954514
2420.47208,-2892.997838962458,1121.3397210867254
2420.47902,-1682.2835049938833,1130.6494940768519
2420.48596,915.3995981451544,1134.0002880775162
2420.49291,462.6259494813015,1136.0350503502016
