relative_time,cts,e_cts
2419.99183,840.8696308624975,926.5225516023486
2419.99878,793.7783904869952,939.057608011252
2420.00572,-815.1059089516211,940.4485577102815
2420.01267,-598.0969498917411,940.4986504439349
2420.01961,2113.7021339273365,927.1503503771646
2420.02656,-3032.360465574551,938.977323946029
2420.0335,235.2673647100143,939.2663465808325
2420.04045,2311.050430023233,945.632420648442
2420.04739,639.2929652807459,956.6446805695127
2420.05433,-2359.2934640443177,944.1261332782466
2420.06128,-138.89098053159978,950.9560457057797
2420.06822,2207.8103236489724,947.0861276097235
2420.07517,-852.0529749957974,951.5184864669352
2420.08211,-474.92525010240576,960.899736026344
2420.08906,2532.757250736302,961.8462964629408
2420.096,483.8249083466233,967.4230990161022
2420.10295,3548.7081095146614,958.8602946173775
2420.10989,-1142.642845213511,966.1750775683997
2420.11684,-742.3189054303118,971.9944284594538
2420.12378,1210.2810394026026,975.7060399480275
2420.13072,704.4136321062739,964.4160650069734
2420.13767,944.3571478490228,966.3921837729471
2420.14461,303.80734118101475,966.5826040065186
2420.15156,1189.5025056374964,963.7665556117028
2420.1585,1549.1266081700003,957.7732936047142
2420.16545,-1808.187455984624,961.8292219645624
2420.17239,2129.143021192728,963.1709835391241
2420.17934,1988.1479196953906,954.3732069044363
2420.18628,1763.2483939378453,959.8071942824188
2420.19322,-471.5430294335436,953.8546396887831
2420.20017,876.6540479508635,954.0231231496036
2420.20711,-1431.9460219408372,957.4583765319725
2420.21406,-2086.2104953957896,953.3132310911932
2420.221,-5900.394262612559,950.3483744853436
2420.22795,726.1450585722764,946.6354060829914
2420.23489,-4800.582853119494,950.2781541973103
2420.24184,-3077.9878221354334,944.4294035077238
2420.24878,-4115.493143207859,944.5853355160939
2420.25572,-2923.964991451477,944.1445646904035
2420.26267,-1327.1151603136755,945.5245460030576
2420.26961,-1605.208306936726,943.1658906277175
2420.27656,-4256.323605833415,943.1634029524572
2420.2835,-695.5572820268176,939.413458649643
2420.29045,-2971.4977941857073,946.6239853920231
2420.29739,-8426.526155673424,919.7292758468328
2420.30434,-8342.891983407419,912.7260176841065
2420.31128,-9722.777746716176,920.2988404053251
2420.31823,-4065.4946019859426,942.3102434142751
2420.32517,-4675.5456230371265,919.8008530486445
2420.33211,-94.81073183041337,951.624325741652
2420.33906,-7272.580444837964,918.0488512084069
2420.346,-4685.040287973182,946.4605903578715
2420.35295,-3886.354958034972,947.2295081656433
2420.35989,-7646.281962440844,925.910696564429
2420.36684,-115.66174740651712,960.023056649336
2420.37378,-9662.003613951376,930.9748118616437
2420.38073,-10697.21767303279,929.2338914839298
2420.38767,-6558.723597443067,922.7315606577372
2420.39461,-7602.479315683491,936.4588919732798
2420.40156,-6721.131476820775,944.746242874985
2420.4085,-7874.713195535173,944.7466951795778
2420.41545,-8404.677356165588,948.8280656727713
2420.42239,-9148.685732326183,931.8111230537438
2420.42934,-6597.0479309723405,936.8575984718391
2420.43628,-7643.480387792997,954.4617455284781
2420.44323,-5378.500798983895,962.423210971066
2420.45017,-6406.556007122656,950.4873450714836
2420.45711,-4782.834081669305,947.039879465109
2420.46406,-4618.653394440091,949.0463026388006
2420.471,-6626.11709484745,953.2052433696605
2420.47795,-8325.103296076915,959.3226629873744
2420.48489,-5593.204813838831,941.3108764164681
2420.49184,-3781.477395958603,947.9230041825646
2420.49878,-10464.289966905217,961.4746151638017
2420.50573,-2070.802626365673,949.1317882068412
2420.51267,-4527.575645490261,957.9605477061363
2420.51962,-3123.6615399170787,953.1454260872617
2420.52656,-3500.064446700497,954.4491940760278
2420.5335,-2234.5964800918887,953.0816511396761
2420.54045,-4022.18440185401,942.1439084002703
2420.54739,-3087.977647524464,951.5586284995469
2420.55434,-1475.4297939602598,928.7862230131992
2420.56128,-2703.9367861584624,927.2559634995852
2420.56823,1477.5793715375746,933.9349192692688
2420.57517,-2457.9754708845658,947.628440816499
2420.58212,-1223.8917892093493,934.1585838904118
2420.58906,-1450.8803968049215,930.2471668479656
2420.596,-2213.9647191671484,935.9335401887345
2420.60295,-42.134321266782706,935.4776171591851
2420.60989,591.8186229151362,935.75273142776
2420.61684,-2035.0672843256264,930.2168624402475
2420.62378,-95.05757706193776,934.1323502240291
2420.63073,-613.9546358394043,935.5261268267636
2420.63767,545.9056360038959,932.3654223322287
2420.64462,-4240.004343048793,940.819899780976
2420.65156,-1027.4715090617449,930.9490304998537
2420.6585,-2629.3441827026677,932.0092324653932
2420.66545,-465.7803296927385,934.345837991834
2420.67239,2012.5937390989757,933.9314139086746
2420.67934,-2417.193540350276,942.0771934728313
2420.68628,-1422.4637953810845,936.0161988530699
2420.69323,-1905.2700007085584,932.1190294052972
2420.70017,-1686.4238934688447,934.7795980963358
2420.70712,-28.40110999153369,925.7164317418184
2420.71406,-1847.4966827647345,942.4737515245747
2420.72101,-3497.1931040692107,928.9341266150469
2420.72795,-4520.97765224269,933.3263434396471
2420.73489,-4150.058825570907,950.3851242335091
2420.74184,-4325.065649381252,952.5341364300831
2420.74878,-3334.9224991354204,947.4648196300512
2420.75573,-5647.397575549845,934.5071976553178
2420.76267,-2468.2116892005274,933.2542008570944
2420.76962,-5075.2653969604835,938.3532566841035
2420.77656,-818.1396289317255,938.3241961140155
2420.78351,-5464.154058952191,960.1179275376772
2420.79045,-868.3308519101785,940.2501090701876
2420.79739,-410.0730260527083,939.7159373460826
2420.80434,-1780.159949586749,934.9169856164009
2420.81128,-1393.0200102269823,938.1269913115518
2420.81823,-577.0124320696007,933.4311650290301
2420.82517,268.9430247105663,931.773129467948
2420.83212,878.5188997870065,938.8291941918845
2420.83906,-1928.8443422379528,936.6926203716127
2420.84601,-3724.8169734653807,962.1959279131805
2420.85295,-198.7661579181975,924.5991263214371
2420.85989,-2446.0089613488203,933.5142759979584
2420.86684,599.258241933773,955.294551359984
2420.87378,-498.1674869845316,936.9764415035991
2420.88073,-1803.9994546836763,959.4429760090611
2420.88767,300.24815634021695,926.9258942229842
2420.89462,231.37901520180122,963.2216416535185
2420.90156,1298.6448477194422,928.8139266695086
2420.90851,-4873.426055486459,922.9894873517854
2420.91545,-1522.935345342773,947.6951557439381
2420.92239,-2951.660506278232,944.7309775949777
2420.92934,-4076.0859924834062,944.3664200931754
2420.93628,-5287.348872080845,943.8072585403178
2420.94323,-800.5658993589527,946.6624312824116
2420.95017,-3121.9893698374717,943.314698838751
2420.95712,-862.0934584992224,944.3977421862273
2420.96406,-453.22819878545647,952.9407582590165
2420.97101,-1811.301912334544,944.3232250045622
2420.97795,-3318.79229967059,942.0923456766902
2420.98489,-602.726174322972,948.3150391883801
2420.99184,343.1033380517856,951.6680862110061
2420.99878,-449.4925020773158,943.5048929200264
2421.00573,-1267.0553295770642,950.4756982282188
2421.01267,692.5362265753117,942.9120346750047
2421.01962,-2470.254635970088,953.1289169696244
2421.02656,551.139704751858,951.8138413660381
2421.03351,70.97269672341253,961.7532347929707
2421.04045,-1265.6843943562665,953.9342452971171
2421.04739,-280.1545248047684,953.4701807848971
2421.05434,1346.2696944383085,964.3645022833934
2421.06128,642.6929389048755,964.3693645577662
2421.06823,-1.7851331516608389,968.7960696075677
2421.07517,305.61135804942523,964.9367806694424
2421.08212,-1737.649084746454,965.5628833020354
2421.08906,-2211.534147361552,944.9742043897596
2421.09601,-721.8784693483285,967.4121306297266
2421.10295,651.3345573788969,969.3978608682974
2421.1099,-3827.1609513651415,968.2251481352971
2421.11684,-1647.879626831319,948.3672803688493
2421.12378,-205.9490940804164,941.952696633661
2421.13073,-2179.9638521643683,942.3412262788822
2421.13767,-4182.71578255231,965.6174990816169
2421.14462,-46.303551927128964,969.8915513313461
2421.15156,-3134.508143281034,968.7561537272525
2421.15851,-335.3996862270978,970.7581669311642
2421.16545,-1295.7335892078404,935.1950398648289
2421.1724,-1882.8232545290316,933.8255746339578
2421.17934,-2472.556074814439,945.7119131806279
2421.18628,-2720.7818530322234,960.4180316350046
2421.19323,-3472.2393466079034,938.8526009545624
2421.20017,-4104.134644120995,928.6292733194952
2421.20712,-4126.691187240425,942.1790750823609
2421.21406,-1169.841164216623,932.5558425658004
2421.22101,-3504.607507106799,926.0852861372525
2421.22795,-1323.1311483840836,933.2160941951504
2421.2349,-4269.780232850163,927.050730290599
2421.24184,-2419.0387169366318,923.2069327847772
2421.24878,-2423.702881897657,918.6882968264878
2421.25573,-3324.372042203605,943.4891753354264
2421.26267,-5982.525087488222,940.9199721721346
2421.26962,-3292.474730785822,918.6107265888213
2421.27656,-3090.427781503699,917.6956013214246
2421.28351,-2949.3386006510577,928.0701117666375
2421.29045,-5493.6843473596655,942.450344761897
2421.2974,-2040.8836952368272,937.308772303164
2421.30434,197.4248486482285,915.3173837724459
2421.31129,-2095.087086105774,917.4049956205462
2421.31823,-3065.2951375759367,925.2842547033914
2421.32517,-1297.7894266582962,933.8512429195995
2421.33212,-4533.066962475382,939.0522934322865
2421.33906,-5543.361300016098,948.2916324257022
2421.34601,-2940.856419546001,929.0183683454574
2421.35295,-255.1132464047529,919.6091889774426
2421.3599,-3042.1636022429007,927.1859693638482
2421.36684,-5087.346791862802,931.8588411882848
2421.37379,-5380.29633514119,920.4777268717802
2421.38073,-3866.9922507214997,925.8790352429326
2421.38767,-2929.7342496088777,928.7870145462365
2421.39462,-1829.1345862866992,929.1063415887583
2421.40156,-765.953177318253,930.113510840791
2421.40851,-4806.128672808048,931.22719782443
2421.41545,241.69359528846718,939.1410582086249
2421.4224,-4011.0708257041506,943.2891436292574
2421.42934,-1632.9104932562245,940.6055074039857
2421.43629,-2249.8825661103924,943.0892249992368
2421.44323,-2907.7491933424594,939.4979265323497
2421.45017,-3136.8856823731235,937.2473719546904
2421.45712,678.7651347904151,941.8877909245933
2421.46406,-5750.439685588604,951.0384782178188
2421.47101,-3433.9631835177643,945.5091676469021
2421.47795,-1691.8912383105467,939.3199446750801
2421.4849,-896.2992194825439,941.6615255520417
2421.49184,-2958.5904910969234,942.1062540429191
2421.49879,-5114.24353677866,940.7717293418422
2421.50573,-2277.8888141924053,945.2211626974323
2421.51268,-3044.568279610558,946.4021299892513
2421.51962,-2753.8023498300945,943.7123876519767
2421.52656,-975.7226621418132,950.3846719289163
2421.53351,1563.8741124946187,940.2703497007157
2421.54045,-696.3828509848382,943.0731681861921
2421.5474,-2243.768991081717,930.0743864935133
2421.55434,-4862.258202785462,947.4201545515116
2421.56129,-2265.7266829202717,939.9971577266604
2421.56823,-3296.8679652957558,947.3348951357674
2421.57518,-6627.901888770666,943.9298330849684
2421.58212,-3408.514830984222,938.9870484947742
2421.58906,-1384.9573416317542,936.8202833429326
2421.59601,-2436.834301912176,939.1513481381113
2421.60295,-1799.4582034957464,935.6712035249066
2421.6099,-2048.713313890612,953.8341729059586
2421.61684,-928.506472622548,943.5318050432984
2421.62379,-2715.549932731077,929.8229051399127
2421.63073,1106.744560443906,933.2159811190022
2421.63768,-2149.033115661414,933.2514870295375
2421.64462,-1377.8596648852792,935.4442596954657
2421.65157,-130.5342008748987,933.1768567717244
2421.65851,-287.80808389580284,931.5049128444134
2421.66545,-3462.9395118751995,934.488766243161
2421.6724,-4928.971773310709,930.8267951836476
2421.67934,-2380.9020898133726,929.3905019491893
2421.68629,-2554.613626346067,926.6127863686137
2421.69323,-3438.4317267424003,942.3181587446492
2421.70018,-4445.992900704931,930.3682714026896
2421.70712,-2934.3962661230876,922.1975020097804
2421.71407,-931.7892993571407,930.2650328793815
2421.72101,-3356.50002896372,925.6438368546729
2421.72795,-3582.5134678572003,933.1058449506536
2421.7349,-2661.747170655209,921.3042004389868
2421.74184,-2225.0347609999503,925.9916590865415
2421.74879,-3166.8544800833256,932.2361762948341
2421.75573,-6041.494072623132,924.1126727318732
2421.76268,-4685.808301171767,926.7347955325233
2421.76962,-2922.2787999294933,932.5423865041644
2421.77657,-48.23466638611818,934.8203055096884
2421.78351,-3919.5014216619397,929.4117602650512
2421.79045,-4278.433158939005,928.1869194277299
2421.7974,652.2744463227497,931.8092007592244
2421.80434,-3612.451508855092,928.3153739320871
2421.81129,-3057.7146256766405,935.0971159204863
2421.81823,-2439.9063547065207,921.4070997338503
2421.82518,-1945.6937060053451,930.485079063782
2421.83212,-3577.347018645863,928.4586414118587
2421.83907,317.80537679535223,928.4516306906702
2421.84601,-2372.0294567685755,928.7031120442708
2421.85296,-1548.4086877050675,935.2321288414391
2421.8599,-548.4506408714724,932.5350365545313
2421.86684,1661.8160359448864,929.4777967356009
2421.87379,-735.1869666109318,927.0579671640838
2421.88073,-3523.3658224081328,926.5162193380493
2421.88768,495.02023855163264,930.9649742367502
2421.89462,-830.0987885178375,930.8374243415786
2421.90157,-887.3910805272112,925.8889859439743
2421.90851,-90.90870010826781,927.1085122023301
2421.91546,2829.0569010574623,916.6439931431486
2421.9224,752.6339378215704,932.1823520482901
2421.92934,-1789.2658587252863,918.9610364959502
2421.93629,-1063.5202981846066,922.9785189654098
2421.94323,247.56937117747404,932.264671484181
2421.95018,-2626.273712974398,912.0171433110298
2421.95712,-1181.9166791592347,914.9755545764319
2421.96407,-3213.9751202573607,912.629789881987
2421.97101,427.3979880994376,927.4380160981899
2421.97796,320.3785376238309,904.418878456466
2421.9849,1669.7721868085089,924.1637831508605
2421.99184,-929.1168576705411,910.9906380376545
2421.99879,-729.6676067410568,904.3179014561218
2422.00573,-1017.6886130239235,905.1952592900191
2422.01268,711.1464121225017,909.1139132059503
2422.01962,-3262.07703524549,913.117487309181
2422.02657,-3399.9184429694815,912.1391524749396
2422.03351,-3008.5272927419223,911.5663087081496
2422.04046,175.1574412397498,925.0014512567388
2422.0474,-603.4582293064301,936.9962298295344
2422.05434,-3691.420611550887,912.4312281657446
2422.06129,-731.7575931882697,922.5255359157137
2422.06823,-2459.4099549006532,912.3129505147257
2422.07518,-1193.4850475771614,916.2849763726081
2422.08212,-1415.3009867732453,935.4743379508872
2422.08907,-328.15105282277375,909.0375868059141
2422.09601,-849.6001271890053,913.860736831311
2422.10296,-3237.267562949288,915.2512342257477
2422.1099,-4767.639021950104,918.1375029085971
2422.11684,-3172.6204590324287,919.8794409716448
2422.12379,-1847.3216408873182,945.0842274819599
2422.13073,-2835.1774868073257,920.5326818798062
2422.13768,-524.1632411515179,918.7297957728778
2422.14462,-1429.9148350906894,919.2816073761022
2422.15157,-769.6062153620583,922.9754659094083
2422.15851,-3879.659945452244,927.0499387575614
2422.16546,-5267.550256216055,943.2214110164846
2422.1724,-3087.4269666827213,927.7741914867937
2422.17934,-1219.0037334748845,923.6220353248259
2422.18629,59.87268971133731,945.5317828765425
2422.19323,-3030.162152177361,921.8285345381981
2422.20018,-342.37772840877517,923.5965931914805
2422.20712,-1677.8850612135388,922.9923142554904
2422.21407,-367.2707639784982,917.2324414183904
2422.22101,-1108.217038045789,945.6213391859183
2422.22796,-1939.1521377557262,924.1092804474272
2422.2349,-2032.9169152152738,917.3104639606495
2422.24185,-1107.539938070357,916.840971793316
2422.24879,-2716.9584092330783,917.7069089362448
2422.25573,-1499.9215222800146,940.9727787333449
2422.26268,-2107.5463814953823,942.1081763374385
2422.26962,-1119.7202746023515,935.5727141998227
2422.27657,1036.511042501288,935.3396642583789
2422.28351,-6217.648619337724,899.4255488280255
2422.29046,1840.8175008427545,935.6367152997049
2422.2974,70.52457594808912,936.7730175129842
2422.30435,-7030.015823979899,903.8204794801825
2422.31129,-1491.718639261016,917.2600319985517
2422.31823,89.23460773414119,920.1770573937118
2422.32518,-3750.041661377779,931.9598181886291
2422.33212,-3512.4919676924605,934.3286504173072
2422.33907,1424.311572718849,942.4148388513617
2422.34601,-1572.8853768971114,914.8497008234833
2422.35296,-679.0454505618071,920.0397829497949
2422.3599,1377.657597808443,939.6799791309545
2422.36685,-3178.9244542946753,901.3598294191644
2422.37379,-29.152048691741378,943.9561798274996
2422.38073,-1721.6179399874495,921.2422347097721
2422.38768,3613.534891431013,922.9690205689609
2422.39462,-41.35172124507851,924.7440899434317
2422.40157,3019.7277113736013,947.1884615238461
2422.40851,5415.153188585857,932.4835869070995
2422.41546,33.21306547825856,933.7939133124612
2422.4224,3723.8183980006106,937.5971164810784
2422.42935,997.133630803812,955.7954786965176
2422.43629,92.74403906973032,953.2951389074808
2422.44324,-2441.657451937573,906.7026774216965
2422.45018,-1719.5319112054237,941.0960317348848
2422.45712,2397.134397040029,957.6251638505701
2422.46407,685.2302635638493,966.6775879710082
2422.47101,3605.2690249974653,940.0697526138058
2422.47796,-623.9563342239962,964.5048297833117
2422.4849,-466.9987251896121,949.0954907632685
2422.49185,-1487.9699387958324,959.9837061497618
