relative_time,cts,e_cts
2419.98963,-1749.7052215323504,745.7417238834945
2419.99657,-2190.3782887999864,753.4031602762722
2420.00352,554.7448267618961,762.5224680927217
2420.01046,2926.0253041752026,758.8353312806859
2420.01741,-2690.5227343996107,802.6410641028428
2420.02435,-1629.1445983211358,811.3117642330197
2420.03129,-755.465699354641,800.7946478871821
2420.03824,-3911.013069498895,762.3473536888696
2420.04518,-2152.9973180886427,768.8356996222528
2420.05213,43.591577537020235,768.8312466835386
2420.05907,480.9039187560397,795.3436295607689
2420.06602,-1613.514162094161,808.1512133131115
2420.07296,-2688.828857224088,775.7923290176223
2420.07991,576.5915654338332,778.1143812219834
2420.08685,-1045.0967423455188,777.0565493855855
2420.09379,-1011.0109462826512,778.4767261652586
2420.10074,-1237.7755040637828,782.7365316072777
2420.10768,-3014.1807532396438,782.8940413697018
2420.11463,-2125.2293100507345,784.8929966255008
2420.12157,-127.40479001487297,780.306573306634
2420.12852,-3082.7914258339374,784.6233349415087
2420.13546,-2145.355143244722,826.3964565757248
2420.1424,-2396.4724086267183,782.0478794572978
2420.14935,-2928.124605887142,783.783489988676
2420.15629,-592.692563370509,783.7408246223915
2420.16324,-815.8096465611749,778.4028902279749
2420.17018,-3201.4450521516364,777.8117885028494
2420.17713,-1728.6216958446769,779.2994842602347
2420.18407,-2465.274971812578,778.518666634543
2420.19101,-385.70298863537477,805.2309139703391
2420.19796,-1154.3765184430608,781.951261042872
2420.2049,-3872.643546393009,780.9343341086159
2420.21185,-1819.427161227612,778.0708874019847
2420.21879,-1803.5267526465022,776.8325562125921
2420.22574,-2170.775831239984,768.3763220376946
2420.23268,-1929.8594199984063,769.9198348640784
2420.23962,-3419.6974551321578,775.0157572172161
2420.24657,1818.322107529501,765.155915336931
2420.25351,-1323.3481451172986,773.7661383459667
2420.26046,-1731.2413700458865,751.4794907517565
2420.2674,-3112.432567719791,777.3487864332914
2420.27435,-1807.3373290619631,760.3030405922148
2420.28129,-1008.1018310650214,765.8135004726262
2420.28824,-1964.2674845561219,783.9273302648146
2420.29518,1268.0301159250473,780.724113978622
2420.30212,-812.5478171746981,783.9327152139574
2420.30907,-2184.60438063844,769.341263501381
2420.31601,-2279.1001930915536,799.9955007230625
2420.32296,-1247.8990013386317,804.8178262370653
2420.3299,-2220.584850345824,770.195502837499
2420.33685,603.2191033773461,795.4486360690516
2420.34379,-4339.600653982881,775.7819733461939
2420.35073,-650.5260887094014,768.1524324214155
2420.35768,-4384.883519777567,782.7127135629928
2420.36462,-2283.242461662862,789.4760025727965
2420.37157,-4074.2275641993,784.0300585253831
2420.37851,-3772.5640594624856,790.5552706490508
2420.38546,-1421.2139001666003,792.2862211282863
