relative_time,cts,e_cts
2419.99144,-2378.3384894558685,667.0950427767348
2419.99838,-2377.40328503904,677.276992663727
2420.00533,-1411.0603062899365,677.1526967777992
2420.01227,-228.09814842791545,665.8534951371215
2420.01921,-2428.170718398498,663.5764379290662
2420.02616,-254.33065945879738,676.8141126134244
2420.0331,-1618.3282011220806,680.2996080766318
2420.04005,-3187.9564056947443,689.2833239122075
2420.04699,-1958.4967309598046,699.6131261980065
2420.05394,-2523.787906838297,710.4338158167014
2420.06088,-2937.974908134475,723.2004687988403
2420.06783,-4235.009642445654,719.833190121463
2420.07477,-3514.8849811855735,731.1385794175973
2420.08171,-4535.92954805563,735.446164613671
2420.08866,-1706.5058737065008,734.9609221594374
2420.0956,-5326.426089158365,722.866443959539
2420.10255,-729.3474159959289,714.1401128798891
2420.10949,-2438.7243618343255,725.5359287899779
2420.11644,-2241.135914132876,749.6093822879167
2420.12338,-3803.1444009544052,752.5143236917859
2420.13032,-5083.096972546172,742.9845744009988
2420.13727,-62.837160937529234,723.2754805518327
2420.14421,-430.3515455669007,726.2497888300319
2420.15116,-1718.0173010738065,741.5665157478319
2420.1581,-2584.1838748651317,726.1588194392829
2420.16505,-2449.0301733858105,723.1996003559692
2420.17199,-399.5137905458717,724.6703083581972
2420.17893,-894.2368184928384,714.4829307032605
2420.18588,731.7964248924645,711.5092737572146
2420.19282,-891.4063460651671,717.1519813122641
2420.19977,-1279.383198734394,711.9619496037817
2420.20671,-2597.76838392114,717.1944264575895
2420.21366,-3885.901470248063,706.6225457214682
2420.2206,719.4301240739082,708.6074804587532
2420.22754,-862.7310137932064,705.3902252873604
2420.23449,-4432.061609563473,695.0776833036248
2420.24143,-571.1465433816056,699.2618410566417
2420.24838,-532.4328799624631,693.4781200903956
2420.25532,-2402.039055296024,699.8590040858901
2420.26227,-535.8979670181993,700.6432079985041
2420.26921,-2680.97074729696,698.53994792003
2420.27616,311.7870569222763,697.207105223591
2420.2831,-2431.928036480363,689.3977412604764
2420.29004,-3641.4701910770696,694.9465484300869
2420.29699,-4185.705209657943,706.1051708810033
2420.30393,-1340.437989234325,709.8762754934477
2420.31088,-507.6458920905469,700.9275144834343
2420.31782,-2124.631154867812,720.2349535047111
2420.32477,1133.4127156292982,711.591124497817
2420.33171,-19.17804103348118,733.771263981373
2420.33865,74.89364476181645,726.5375690864466
2420.3456,-3306.3364587846163,729.7781636600006
2420.35254,-4234.529719204005,703.2478852796863
2420.35949,-3349.485259946527,736.8221037875888
2420.36643,-3243.415493110025,741.8956555959834
2420.37338,-2295.4693910318374,742.6333978149928
2420.38032,-1562.4109015369297,740.2870822879664
2420.38727,-1099.9174168673076,736.7901885120755
2420.39421,-1690.5771116752846,742.5066051558105
2420.40115,699.5377887789375,756.9533694274743
2420.4081,-3104.725926480972,761.5217045955993
2420.41504,-3325.8475476591693,760.4971591184051
2420.42199,-1175.4685814379145,762.7395871669748
2420.42893,-1115.624943077108,771.7020261522083
2420.43588,299.6810718543357,772.3243740247187
2420.44282,-2537.1132942526383,769.9198728253278
2420.44976,-2791.0627072910174,770.1938665511635
2420.45671,-1490.339478995509,756.4845188324326
2420.46365,-2950.686632105016,757.5211139544637
2420.4706,-3111.441378092562,757.3238688673624
2420.47754,-1504.9095621548706,760.7123158397231
2420.48449,-1340.2246779541083,766.9502324275606
2420.49143,-2613.451050953755,773.8442576045235
2420.49838,-1919.852977191787,774.4866882184285
2420.50532,258.312578578204,773.2664174291573
2420.51226,-309.06872218033715,766.8890072051473
2420.51921,-655.1905364548923,765.3377511266239
2420.52615,-598.7634609043986,766.1723247257622
2420.5331,1590.5218544980264,765.3034476332149
2420.54004,-731.76168717762,772.7650002264492
2420.54699,-2245.528932396396,775.03565266833
2420.55393,-2368.098896673306,774.0974087014525
2420.56087,-1018.9863572655216,769.7141604202332
2420.56782,-3799.809905995412,768.8922877980847
2420.57476,-3201.619617385947,772.4666901002222
2420.58171,-1650.0297311337893,762.1779217400833
2420.58865,-1291.9228624610962,760.6250373311763
2420.5956,-2234.6314941389664,768.2496400734618
2420.60254,762.6621871960871,772.6367963476013
2420.60948,-1920.7862276121555,768.8179273772456
2420.61643,-1726.6058754030262,778.1874489583128
2420.62337,-2693.8890521154667,777.2537643165086
2420.63032,-2281.1765582590783,780.1250535591222
2420.63726,-2831.395473887989,782.0667832635694
2420.64421,-1007.1093154494779,779.1538087631425
2420.65115,188.77896321689008,781.3921117080745
2420.6581,-3410.4312779768516,773.5465988104497
2420.66504,-1847.2209747770635,767.2837144900677
2420.67198,-2947.3430184958765,773.7833580481866
2420.67893,-1298.9383610846555,769.8696116941621
2420.68587,-1757.106457479346,770.4634095072848
2420.69282,-3223.0813375043763,769.3586416198717
2420.69976,1515.2617268446008,777.5999473560056
2420.70671,-3660.9914841553577,767.4747719217122
2420.71365,-1230.6046081051416,770.2578056575492
2420.72059,-1706.1360255987659,772.4002542205822
2420.72754,-3862.7974161050024,768.9197523038835
2420.73448,-3686.46964399732,775.8337516668818
2420.74143,-1634.0432176516442,783.0379195041903
2420.74837,-1341.0015001023176,791.5741701504255
2420.75532,-2646.03622158682,793.3490502682604
2420.76226,-2257.7708287736655,803.6168674441338
2420.7692,144.92542066507193,808.7986489453406
2420.77615,-1814.5522165176537,809.7443832319814
2420.78309,57.16514343557982,816.1585937226548
2420.79004,-346.1948720310873,801.2595878258595
2420.79698,-1871.1698067229977,805.9363697975148
2420.80393,856.300194332623,795.0071248199308
2420.81087,75.33405385282902,798.7475082658096
2420.81782,-1862.2571946474943,797.4065239174539
2420.82476,-599.8413070628072,799.8630231337528
2420.8317,-188.40412156264642,803.5126542996004
2420.83865,-246.75143285652726,797.3414992574794
2420.84559,-1073.511651483639,801.0722212764172
2420.85254,-59.852648455594405,799.7209241689671
2420.85948,-1710.8039060309923,800.2062751785597
2420.86643,71.12851069411084,790.458980948559
2420.87337,513.4671732109687,779.7744197499109
2420.88031,-1661.1114963906123,780.1608768275556
2420.88726,-1020.7331215454042,782.6771900466023
2420.8942,-1666.346144351598,769.9815322691767
2420.90115,-142.93440682768903,754.6036886843223
2420.90809,-288.4020615104114,768.1834213045396
2420.91504,-1492.1057832399915,767.5653070910257
2420.92198,-2473.593320107697,767.0345799414175
2420.92892,-2500.8336590905046,763.6802193517478
2420.93587,-1133.4352951439469,757.740830000855
2420.94281,-191.26520660152448,745.6313711614299
2420.94976,-3177.5398676771933,737.9739847007598
2420.9567,-2958.674786744221,746.7583928974154
2420.96365,-2142.423486745075,748.7856642246671
2420.97059,-1684.4405857926495,752.3973010149036
2420.97754,209.61670713242503,753.4675482981901
2420.98448,-4268.305416458006,759.4408069210564
2420.99142,-640.8395180097685,765.2971514223992
2420.99837,-1271.232970944368,771.912514993094
2421.00531,-1417.9874408513601,769.8968590892433
2421.01226,-1849.7035272794956,754.0765438615573
2421.0192,57.423288079017816,762.777581542586
2421.02615,-4258.763943188459,770.6259168795417
2421.03309,-1309.3877913759502,780.970157028073
2421.04003,-1932.8531327508958,783.3944153027818
2421.04698,-798.964293317511,786.8826246499615
2421.05392,-42.64412729843612,800.1348457524107
2421.06087,-1259.9809908848074,805.9818544928892
2421.06781,-363.6180071327691,803.6659344663517
2421.07476,497.5769483321581,803.7909902397918
2421.0817,-1678.3108988976242,806.5741325309875
2421.08864,-666.5308805765887,812.7494126767461
2421.09559,1145.8150568270055,812.6171922496194
2421.10253,-3111.907731914349,813.6758241095048
2421.10948,-4091.5324588235194,812.276328422708
2421.11642,-5162.402089982519,820.6613614540108
2421.12337,-3037.9702427536267,827.2681491513533
2421.13031,1433.5866288129894,840.4148544449625
2421.13726,-1430.415184003048,818.7473133660803
2421.1442,611.0898133508837,817.2833357961034
2421.15114,-1512.6308877219265,815.553071930772
2421.15809,-3857.514786675388,806.0401487206126
2421.16503,-87.82855855023323,812.9068179471352
2421.17198,2989.15300641661,807.1236397576836
2421.17892,258.59026318624194,792.3601109487818
2421.18587,-175.41720975732179,797.2328353432316
2421.19281,-3268.6507060587937,798.6798782772217
2421.19975,-1937.9051905982303,791.5227149103122
2421.2067,1300.861310712015,791.7068247989879
2421.21364,-462.428025788212,785.8130286988282
2421.22059,-1373.5275080647882,783.664935257133
2421.22753,-600.0592862234564,767.7425779920914
2421.23448,-794.1964333997479,761.5272409189026
2421.24142,-1094.9714176056077,764.0636368793438
2421.24836,-2939.783114747489,759.5594579283221
2421.25531,69.60786722679408,771.7622743763916
2421.26225,-3264.372322254261,762.5158545723046
2421.2692,530.3847660063045,769.4018466527095
2421.27614,-612.7572236634186,762.8206780200649
2421.28309,-3258.5007800026733,759.8820844549401
2421.29003,-1025.991868796063,768.8178188218868
2421.29698,-2763.4231016982167,757.5868985019504
2421.30392,-587.0363340389805,754.6172581041833
2421.31086,-3907.9854296836434,756.7924903856008
2421.31781,-1101.9040884903347,745.5792645891631
2421.32475,-4236.900893908217,750.4477553246164
2421.3317,-771.9469270418617,755.3877840415773
2421.33864,-1404.6134206362376,761.0493802290733
2421.34559,-1773.8549210255328,754.854125897279
2421.35253,-2851.1793623794297,756.9011542998487
2421.35947,-3422.3108165661497,758.7838298890603
2421.36642,-1264.4452214637577,768.116551203464
2421.37336,-3869.1896984131804,760.2003687672026
2421.38031,-1731.9589572605596,761.1557644807846
2421.38725,-2301.268961080481,763.1005337352807
2421.3942,-1993.0302531742095,763.0316010823861
2421.40114,-839.5138449661839,769.9630778581657
2421.40808,-1372.2633809105262,775.2412565180657
2421.41503,-863.819932598222,787.8991370305979
2421.42197,-150.89303440927605,791.6321387120722
2421.42892,-3901.808412652142,784.3692424256047
2421.43586,-952.3935065765102,780.3510658163291
2421.44281,42.622850448093914,786.5645574484167
2421.44975,-324.850066034182,791.3455525646053
2421.4567,-2178.996547042286,797.5528565412363
2421.46364,-1229.5908096084775,803.6891653131539
2421.47058,45.644705973486374,798.2168896715601
2421.47753,-747.6791594515117,803.8651335499129
2421.48447,695.5815972795875,796.8605990176013
2421.49142,-940.7934980363511,808.7736812127961
2421.49836,-246.24534777338692,800.0077274271517
2421.50531,381.69084605740164,799.4124098390046
2421.51225,685.0255656258638,792.5658233538763
2421.51919,-1341.863755317973,794.4658678005103
2421.52614,882.9479296112551,795.508542022639
2421.53308,-2816.117067011877,800.3919048422598
2421.54003,996.3947929717763,802.7786029627931
2421.54697,967.3524350314121,807.5141133836072
2421.55392,2864.297734724369,822.5808373098859
2421.56086,-3751.1223933122674,818.8432763033381
2421.5678,137.173048265374,819.0391101707738
2421.57475,-412.158644415337,809.2888849460833
2421.58169,-3034.698601347431,816.3796124333527
2421.58864,-1050.7213223277681,816.8156793100097
2421.59558,-2607.2741424776123,810.3349243843375
