relative_time,cts,e_cts
2447.69454,-1910.2662777041076,728.3521660980981
2447.70149,-1744.9289630064047,725.0133270508803
2447.70843,-1186.0168566535747,733.5711116204025
2447.71538,-1874.533325059731,732.0347044834355
2447.72232,-1569.9455709291278,723.475964898772
2447.72927,-1494.4279608464785,721.1510335933677
2447.73621,-1786.7610667951,731.7155172006123
2447.74316,-2727.3005131582345,716.9615943935203
2447.7501,-2039.0789322051921,725.8739018060984
2447.75705,-2987.162467621622,729.304210081306
2447.76399,548.4183999788446,732.0034012093554
2447.77094,-3346.417410703301,729.5336259408351
2447.77788,-1270.4637521957607,736.4560001370625
2447.78483,-1145.9589587720611,735.1681091624531
2447.79177,-2265.224713777306,726.1515989866663
2447.79872,-108.93146762526467,737.3606117015795
2447.80566,-1592.62633163564,729.7551894536458
2447.81261,-4758.844906461545,724.490403204553
2447.81955,-2602.23247302668,733.8097592929654
2447.8265,-5709.784043263632,729.7110465315533
2447.83344,-2589.8991952647216,729.5669453579915
2447.84039,-4440.6036191923595,729.0399892255115
2447.84733,259.9864247701532,735.9053808516337
2447.85428,-501.7252691202922,734.5498960275703
2447.86122,-2330.644099867314,735.068150910984
2447.86817,-79.92744555457942,735.743134390385
2447.87511,502.6594861541935,718.7185039153632
2447.88206,-2110.0272192872935,729.6733764898637
2447.889,-1433.436237177707,718.9888793131801
2447.89595,-2860.775551579759,726.4418174768662
2447.90289,-2556.5635428509104,734.3878617919084
2447.90984,-1678.7734724679447,737.3540327083831
2447.91678,-2280.718136642242,733.7267790884548
2447.92373,-2039.5858330197018,742.6604151725247
2447.93067,-1716.7257741882013,729.5723571104596
2447.93762,-3540.731264258175,733.5872407650132
2447.94456,574.5123848008121,744.9911826815709
2447.95151,-2149.154189631504,740.4517834887877
2447.95845,-1611.1868386836616,745.5376635680533
2447.9654,-452.31002677029613,749.7750657505591
2447.97234,-1830.4592701701415,740.9031873123015
2447.97929,-1993.8943008189178,748.3805314184907
2447.98623,-738.3374860784645,749.8674899936905
2447.99318,-2466.2375740981074,729.0681091157868
2448.00012,-2959.966607552036,739.2100515793472
2448.00707,-1311.2050164673612,743.4538205294624
2448.01401,-2388.8739197470823,744.520996893609
2448.02096,-2053.331790401416,736.7704123441785
2448.0279,-682.4495755510593,736.2697721844845
2448.03485,-3586.94614475646,748.5822518389184
2448.04179,-1472.4751339033196,757.7473199255937
2448.04874,-1096.0315099678803,741.8745438239248
2448.05568,-2080.6723883213244,736.5182883468422
2448.06263,-588.5065400065034,743.247431146121
2448.06957,-4300.651668081687,742.0396553305981
2448.07652,-1711.2408038926133,737.2581067430665
2448.08346,-2052.408821323625,734.4199078555429
2448.09041,-264.40061086661615,749.2212630813257
2448.09735,-1989.5427212706156,743.6564959650317
2448.1043,-1759.6187936862277,738.4425377440215
2448.11124,-2802.150355431441,737.6344888215817
2448.11819,-1674.7016062432858,739.6318499334768
2448.12513,-487.2036272181536,735.6959141972811
2448.13208,-1517.8946990143838,736.5466204627045
2448.13902,-1912.6163577415696,734.9758327806461
2448.14597,-2408.8038123951146,742.8128992567724
2448.15291,-3085.975019259514,735.6606847498418
2448.15986,150.70616439268116,729.9271982918959
2448.1668,-4308.980567355647,739.1173089978354
2448.17375,2041.1346553535077,735.0217796202281
2448.18069,-2350.22551810152,742.6136194305949
2448.18764,-1737.9747549721296,741.8912035325031
2448.19458,-557.6824713018476,736.083013667939
2448.20153,-5519.507357049944,736.35837636705
2448.20847,-957.6649901047668,736.1927342964094
2448.21542,-3104.8815601271117,734.8336416373671
2448.22236,-3505.8501851199494,746.5338504733538
2448.22931,-368.9442083682037,733.724869058172
2448.23625,-755.4985776059169,736.4101594102741
2448.2432,51.82060715286688,744.995957757278
2448.25014,-1425.19679098866,742.6118155131055
2448.25709,-2181.0677183869393,729.4576491806951
2448.26403,-2325.2012563507424,743.833492104576
2448.27098,-2109.442325569567,747.9391021975649
2448.27792,-3208.213561752611,754.7350960567436
2448.28487,-2296.169857179336,748.170640312964
2448.29181,-320.45055562968355,745.7034117514875
2448.29876,-2819.0083888206805,743.89652310391
2448.3057,-2297.104180326031,740.6289918539187
2448.31265,-606.920611399506,738.3318621004095
2448.31959,-319.34411753194513,745.7042606538354
2448.32654,-196.54551171479898,736.5724058715228
2448.33348,-2239.9830269126646,751.44804005275
2448.34043,-1331.5813256376134,743.70445894769
2448.34737,-5450.633893418986,748.9005902193937
2448.35432,-1074.1272826841407,745.02853438488
2448.36126,-1484.4912405255309,750.5994560431965
2448.36821,-1537.5265208254978,741.7281081689063
2448.37515,612.0133888103487,757.8447314700193
2448.3821,-3073.1226377117937,744.9666706262742
2448.38904,-509.9273636060299,739.6069134270064
2448.39599,-263.1715063796014,751.6505032627322
2448.40293,-1832.1872108993607,743.5594027589867
2448.40988,-922.2647010679864,746.8292684904349
2448.41682,-3122.6379444260524,717.9200051443377
2448.42377,-1528.1329918944348,742.7509293853732
2448.43071,-438.78945296195866,750.2724164136549
2448.43766,-3130.104677252893,749.3796894820089
2448.4446,-917.2609522908832,746.4710316996067
2448.45155,-4476.29624897521,752.3357796831019
2448.45849,-1210.9113424579116,746.1718997347535
