relative_time,cts,e_cts
2447.69637,-3669.6697211407513,736.1500711774978
2447.70332,-2999.8115714708424,734.8062339168811
2447.71026,-563.1216494822374,736.4787509377327
2447.71721,-2686.616105370585,733.9598154521076
2447.72415,-2241.5407658754634,735.0146700937031
2447.7311,-1867.3818029848508,738.1389084264914
2447.73804,1058.7572162247513,738.59223092563
2447.74499,-532.4140777718693,738.8545043863147
2447.75193,-4341.566879380608,735.3689068525033
2447.75887,-816.4132915564138,735.1582710979359
2447.76582,-240.37299826669906,736.2334456482265
2447.77276,-2826.086093113898,735.173039691369
2447.77971,-1019.3972388567246,735.2350468354286
2447.78665,-394.2319951693627,735.7963581276846
2447.7936,-3275.735297417797,736.8500606095087
2447.80054,-803.5999132553213,736.6660292714804
2447.80749,-1184.6930973590759,737.1565351086953
2447.81443,-3964.5195566849475,734.9053196572197
2447.82138,-4781.695892235406,734.573078675873
2447.82832,-545.5761415164997,734.5103383392317
2447.83527,12.366759276987205,735.3650314059996
2447.84221,-2178.9034951626872,734.6238784476111
2447.84916,-5148.4646928688035,732.3826134668882
2447.8561,-2881.7557299801633,732.7891163825899
2447.86305,592.0249389906273,734.5985309326408
2447.86999,-1754.1713170418043,733.5647293923223
2447.87694,-620.9866744219653,733.6370012325269
2447.88388,-1091.5645467475579,734.5529682507727
2447.89082,-450.2270648001435,732.6239385680932
2447.89777,-993.4365654044348,733.8539214949382
2447.90471,-2607.438010012713,734.3806679940529
2447.91166,-1361.5308734839048,733.9155096718083
2447.9186,-2542.439544961193,734.0448657915948
2447.92555,-3404.924982488291,734.5363143049864
2447.93249,-2202.9867766384154,734.2121384420394
2447.93944,-2768.6892640085393,733.1673390129943
2447.94638,-1813.4961284118688,733.7700233152224
2447.95333,-4346.496761558741,730.9256550650816
2447.96027,-2473.351960139254,733.7979893751277
2447.96722,-1298.3364811507681,733.1968761998604
2447.97416,-1553.9245871328965,734.2394760511604
2447.98111,-4151.655755813545,733.2139491128363
2447.98805,-2937.0647408379878,735.0524818825638
2447.995,-3024.0259896769126,733.0298130330106
2448.00194,1126.2281114038522,735.0525866243612
2448.00889,-2835.1068756730056,733.1714239430927
2448.01583,-684.8559181557374,734.1354674463441
2448.02277,-1191.3744718732983,733.7505413409064
2448.02972,500.25782226168883,734.1721270754334
2448.03666,-986.4912415607693,734.9628229039912
2448.04361,-2363.7870124546453,733.2586738603252
2448.05055,-1292.7864227902417,733.9511218829236
2448.0575,-2357.2498673954397,734.4231931637964
2448.06444,-1158.0707699726227,735.2221635943486
2448.07139,-134.47097597889714,734.4736787101424
2448.07833,-483.1378802187792,735.2117941564063
2448.08528,1351.3942765571162,734.9034343048664
2448.09222,327.0663175878798,734.0447610497973
2448.09917,-944.1855058827205,734.501749511845
2448.10611,-863.4972432899632,733.8368485819624
2448.11306,-2479.8524455693696,733.918861409325
2448.12,-2126.1913476877526,733.6043217917387
2448.12694,-206.6450920865614,734.3765830639544
2448.13389,762.3221135769367,735.3653456313917
2448.14083,-2308.913832215794,732.6348317150226
2448.14778,-3581.027785420778,731.2763306027703
2448.15472,-525.0297810553085,731.8925265968628
2448.16167,723.1026997010181,733.3002563538922
2448.16861,-1314.654101025609,734.1684611125245
2448.17556,-303.8203420405519,734.374383486209
2448.1825,-1811.7199170115932,734.5030064134137
2448.18945,-2757.4773877896628,733.4115968845264
2448.19639,-2036.373894775581,733.5909148416719
2448.20334,-202.87449212202986,735.5614222761209
2448.21028,-1011.1936518009167,733.2142633382285
2448.21723,-583.1183249906837,733.4436478745301
2448.22417,-425.5629900578439,733.5597017860472
2448.23112,-1348.3425195481275,734.0563873893086
2448.23806,-1347.8290752572823,734.0239174321151
2448.24501,-853.4640265172064,733.7581874921163
2448.25195,918.0148251266476,735.1265343333242
2448.2589,984.1246006485609,734.7189839996486
2448.26584,-1155.3881230576646,733.5932191612146
2448.27278,-1850.9211058147644,733.1105689588045
2448.27973,23.436291393200076,734.8208977685168
2448.28667,-964.6356086321028,734.9014442107158
2448.29362,-551.9596303589223,733.8540262367355
2448.30056,-1343.9456683769533,732.3543331815907
2448.30751,-1349.5973262809557,732.5558563997846
2448.31445,-3647.551500526008,732.1991058378469
2448.3214,-2332.585687911343,732.0734156809692
2448.32834,-877.3137337847365,733.0800890957617
2448.33529,-163.77249380099434,733.187554179892
2448.34223,-1699.8629045745238,732.7282613983017
2448.34918,-2981.7390027805977,732.2637315268414
2448.35612,-2828.7724059917655,732.2655121373972
2448.36307,-3990.6079103882653,732.7969720173948
2448.37001,-2922.1502420810903,733.8321352010794
2448.37695,-1384.5120617674104,732.436241267156
2448.3839,-3076.657381226053,734.5172512978598
2448.39084,-4481.7178982906025,732.1377271445716
2448.39779,-690.9054901480552,734.7898941964869
2448.40473,-3179.165559794564,732.0749868079301
2448.41168,-1169.393567754944,734.4111478570958
2448.41862,-2882.8889314862126,732.4298520175147
2448.42557,-3284.9301608441797,731.6361186768324
2448.43251,-3416.8671185186263,731.6168461861112
2448.43946,-2870.9398824972486,733.1888110814608
2448.4464,-2581.3136251310902,732.9499997833933
2448.45335,-1413.4206931074675,732.1921928792185
2448.46029,-2418.9118872326435,732.3129601716186
2448.46724,-914.6887493502734,733.7582922339138
2448.47418,-1158.1136093677583,733.8536072695459
2448.48113,-4904.829930289333,732.0474397152145
2448.48807,253.13547205425598,732.605713495346
2448.49502,-1351.919766154662,733.7542073038153
2448.50196,-2364.578441475785,735.5728391320372
2448.5089,-2655.471341397878,733.6673763537724
2448.51585,-1878.9623703305685,733.5657768102963
2448.52279,-1959.6611071030657,732.9508377177724
2448.52974,-1989.2539118637267,731.8319858379668
2448.53668,-3284.433998949906,731.5506493701557
2448.54363,-1730.3691625502931,732.5165782257602
2448.55057,-911.5017706808436,731.6053245883975
2448.55752,-2638.8385534546665,733.1556079316856
2448.56446,-2153.9176536187806,732.3019622828917
2448.57141,-973.2419278989062,732.7081509732013
2448.57835,-1056.4917558888296,731.0872716584669
2448.5853,-2483.5803108805626,733.3935812953739
2448.59224,-2678.122697761377,732.6917065110098
2448.59919,-2483.2918519705286,732.7676443141233
2448.60613,-1822.6154730023275,733.2191862027062
2448.61307,-785.1065967649289,731.3625331020288
2448.62002,-1149.1944263521273,732.8937534381905
2448.62696,-1652.880342900856,732.5063135296152
2448.63391,-1606.318529027336,733.0556842569679
2448.64085,518.4506345353464,732.1694639091832
2448.6478,1561.0137214643892,732.1352133414341
2448.65474,455.2459775060646,732.9855072527112
2448.66169,1057.8155874661431,732.8756331072407
2448.66863,857.8076688553025,732.5709392186099
2448.67558,2222.2632475479522,732.9628830244733
2448.68252,-322.2120589874683,732.3369460432226
2448.68947,384.3334763480597,733.1886015978661
2448.69641,-256.282544098877,730.3188858327549
2448.70336,1622.0147158182137,731.5756826597338
2448.7103,2114.290375183794,732.2388029790607
2448.71725,1936.9864980605437,732.8344695808632
2448.72419,1393.5272930112558,732.8944866307723
2448.73114,-625.381849724381,732.5220247992249
2448.73808,286.2156549592842,733.0136827962112
2448.74502,-794.7853672952906,732.0527815468818
2448.75197,-926.199034949937,732.084937278683
2448.75891,-48.786005941267184,731.814389216004
2448.76586,574.6946754185425,734.3139474691104
2448.7728,-1471.5425449344154,731.8863468308163
2448.77975,443.5833973329842,731.8380608622159
2448.78669,698.3037175236698,733.6224421226885
2448.79364,683.7495305498222,732.3884790075425
2448.80058,-59.34125583225559,734.2628334719801
2448.80753,2074.5304936333014,731.6679601832415
2448.81447,1258.557536593149,733.5411624879077
2448.82142,636.7665499089645,733.3223568731433
2448.82836,-49.65536285967077,734.2250216831194
2448.83531,2629.5170571952294,734.3878951780733
2448.84225,2008.963804330897,732.5569038177586
2448.84919,200.7084317518387,734.9300387214056
2448.85614,-736.2123925469496,733.1601118289738
2448.86308,1824.6630703996614,735.3782288724716
2448.87003,2716.148055146958,735.5144979508865
2448.87697,1597.122408699384,736.39673811037
2448.88392,2473.58920031036,734.6992925417377
2448.89086,1230.8760601514073,735.3911121135517
2448.89781,3165.592593978741,736.4601068977959
2448.90475,1890.5291117590295,733.483868724731
2448.9117,2154.4222995986443,736.0107645869583
2448.91864,-941.3281496497023,734.901234727121
2448.92559,-1328.7184106130258,732.658084394045
2448.93253,1510.147648168595,734.8616423277045
2448.93948,159.0899070065183,733.0247854267354
2448.94642,1387.5685321572823,735.4123746984234
2448.95337,277.4399682060882,735.2377701221609
2448.96031,-834.8885924576539,733.7845824250608
2448.96726,1494.2709912607997,736.0784277880774
2448.9742,63.16558833885226,733.4354780143332
2448.98114,-1089.5878595470624,732.9273755551553
2448.98809,-1231.3611194151576,732.9871831214696
2448.99503,-2682.6072178169734,730.8314921892209
2449.00198,-1090.8612055780302,734.6142422022505
2449.00892,1904.6518672693949,735.5055948981077
2449.01587,-1368.5927749480745,733.3063313781414
2449.02281,-422.5448551658198,733.9048260084736
2449.02976,-2132.7788735515064,731.0991074815728
2449.0367,595.6238671492234,731.8135512816248
2449.04365,-981.7937814310626,732.3454301288119
2449.05059,1412.8488028936745,732.2050761202985
2449.05754,-3.1523091344909253,731.3606477496756
2449.06448,230.31642407312248,731.2932987739487
2449.07142,-2992.476712882654,733.7284408216555
2449.07837,-2295.643360710857,729.9396157843768
2449.08531,-1416.8905793716692,730.3511463063535
2449.09226,-29.32487524291693,730.4742179182963
2449.0992,-3621.1208506287935,729.1168689658152
2449.10615,-1347.4909687352815,732.5414020317436
2449.11309,-812.5796370298489,734.2749835204784
2449.12004,-1654.4975562526813,733.7964182481667
2449.12698,328.9674859524513,734.052826168197
2449.13393,-988.8808209266077,730.0963095132842
2449.14087,-2320.4343825116034,730.6400241835772
2449.14782,-913.0694411624999,732.4748909903958
2449.15476,-1536.1689671215781,730.1281510196931
2449.16171,-714.7008364227355,730.7842536385944
2449.16865,-619.0319829989232,731.1224649023926
2449.1756,1086.0976533741652,732.1536478977761
2449.18254,-1935.3487553164284,730.1559075960037
2449.18949,974.7977625574565,731.9401841146789
2449.19643,-224.88304807489737,732.4753099575854
2449.20337,-3151.005099113321,730.9259692904739
2449.21032,-1275.2429049186544,732.4118364283622
2449.21726,-3719.954267977392,730.332607008214
2449.22421,-3438.6848349166353,731.1250834473276
2449.23115,-2333.927639819606,731.9441643029801
2449.2381,-1561.9104159919136,730.6039930052723
2449.24504,-1310.4312259799128,732.3355843998564
2449.25199,-2592.1880232787507,732.5248528277547
2449.25893,-1492.708976836203,730.6021076529191
2449.26588,-1158.300573476114,731.3871474244173
2449.27282,-3166.6171782408887,730.3551264946547
2449.27977,-1857.4099649053692,729.8024040297852
2449.28671,-2613.378964761129,729.2376362582152
2449.29366,-1890.2699805522668,731.9289767423573
2449.3006,-2167.922469865276,731.3169704201607
2449.30754,-1802.942973356828,730.8549543518379
2449.31449,-1438.4998595928557,733.0060366450012
2449.32143,-2418.195767563833,730.5939377927222
2449.32838,-2211.737430102033,731.7919744713607
2449.33532,-2415.497514121063,731.5239402118191
2449.34227,-2251.58969391783,731.8155413757753
2449.34921,-3571.454908847585,731.6845093872304
2449.35616,-1664.3489412651552,732.3898406509087
2449.3631,-480.8346080939967,733.0155681485645
2449.37005,-3477.149898367693,731.4471644743265
2449.37699,-3763.124228225772,730.9233507455389
2449.38394,-2570.4246678735913,730.9461844573717
2449.39088,-1512.2335810637765,731.9916123372013
2449.39783,-4312.608914653977,733.3407914294853
2449.40477,-3177.2543362174424,730.7960894617003
2449.41172,-3383.35131447822,731.4939840577633
2449.41866,-3282.698636850615,731.8422505341117
2449.4256,-3433.230720042525,734.4680226530829
2449.43255,-3024.7341489691203,731.8594281888851
2449.43949,-3319.625881232275,731.9835472188017
2449.44644,-2596.940996561078,732.1358417922185
2449.45338,-2608.3851900865834,732.4555137578772
2449.46033,-4385.4849055460045,730.9423090108679
2449.46727,-3764.6443459314096,735.3186307897522
2449.47422,-3408.026072883854,732.6315847193032
2449.48116,-2675.7574184925347,735.1593185159098
2449.48811,-1967.8885752886806,731.3891375185678
2449.49505,-2861.827450865418,729.8784465746962
2449.502,-3835.2549812293137,731.0310253132641
2449.50894,-2486.0205852763415,732.6340985224409
2449.51589,-4527.309384153028,731.5203789907076
2449.52283,-2858.359345211772,731.3986690221311
2449.52978,-3458.614370932949,730.550993655789
2449.53672,-4635.354737840985,730.4834351964672
2449.54366,-5269.726680777836,731.4341764914491
2449.55061,-4262.962350105287,730.8729699409904
2449.55755,-4200.2679951129285,730.9738362918848
2449.5645,-3361.258965087434,733.10229435681
2449.57144,-2257.9328571682545,731.9433263686009
2449.57839,-6294.415998948096,730.5280552021587
2449.58533,-4863.941874839066,732.0758247423094
2449.59228,-3389.3434879655633,731.1418421349113
2449.59922,-4258.137419208148,731.4692649935774
2449.60617,-4624.429958888776,729.893110426332
2449.61311,-5997.263519729902,730.5958231450753
2449.62006,-3392.205452837667,733.8304593323211
2449.627,-1368.1394524489358,735.1440262134897
2449.63394,-2578.026932270538,731.2718267054821
2449.64089,-4969.177425070025,734.2476459113574
2449.64783,-4373.272640420179,733.0433247248749
2449.65478,-1687.5171983988137,732.01098956972
2449.66172,-3486.5478561392306,729.5671539528292
2449.66867,-3073.4083954125636,733.5307930499654
2449.67561,-2915.1367313273186,732.0163314013872
2449.68256,-5338.851344196054,732.5062087878179
2449.6895,-2972.619239222949,732.1676832986274
2449.69645,-3273.840832528259,732.9935723711108
2449.70339,-3246.101957581543,733.6177287418056
2449.71034,-2785.9148905250236,733.7577685249267
2449.71728,-3565.6173342532015,734.6550915032357
2449.72423,-3720.347782910217,734.4040254148726
2449.73117,-1824.6706118090742,732.7682727649078
2449.73812,-3154.893219374533,738.3597041354064
2449.74506,-3360.388560751056,731.5546295584568
2449.752,-1560.6643028282695,732.9982857519938
2449.75895,-4557.603854214458,730.3244371480171
2449.76589,-3813.8531945087725,734.1554731296471
2449.77284,-4048.781923630317,731.8485350419558
2449.77978,-2326.4087498933895,734.6342478855535
2449.78673,-4168.516357166098,732.1046287365939
2449.79367,-5112.457709919082,737.5088865151423
2449.80062,-4352.723870897648,735.3079471264176
2449.80756,-4319.760998805705,730.4578781979021
