relative_time,cts,e_cts
2447.69572,555.9241938979812,751.1547774053599
2447.70267,-2064.3535114404594,719.4729074638668
2447.70961,-457.56623350658765,724.5168287910933
2447.71656,645.4904129629532,759.3172782858466
2447.7235,-2391.7791124591854,735.8279025040811
2447.73045,384.85561895699874,733.4366857398402
2447.73739,669.4348414177413,716.4730641913138
2447.74434,-1012.8663404430396,721.5564612090878
2447.75128,232.3102130153931,713.7420266653617
2447.75823,1528.896380859682,749.7945667313218
2447.76517,186.00440344555741,732.3096187003156
2447.77212,344.87231019544157,723.5108686351023
2447.77906,1421.8202708991803,736.0362063437591
2447.78601,1290.6254416412899,717.4190377888226
2447.79295,-117.21754885277392,724.411594639529
2447.7999,-631.5615753112503,721.9357576613468
2447.80684,1285.947623846244,729.4871583610065
2447.81379,-793.2899751153576,724.5813504158525
2447.82073,-357.9700969518827,727.5940773994197
2447.82768,1058.3437789295044,733.8859665103284
2447.83462,-848.867624618849,735.6069210927651
2447.84157,822.7733686093828,724.8783972569965
2447.84851,458.2730854276723,738.5094665797385
2447.85546,-1286.2281795372899,735.70555878429
2447.8624,-1222.6970544808066,718.8960264194938
2447.86935,-3201.5861081644725,728.2609382815162
2447.87629,-991.6832520025092,730.3214044165998
2447.88324,-180.5574796378059,729.6155831923963
2447.89018,1940.2229755362032,734.5137639806298
2447.89713,-1325.8302335225137,719.9538306286059
2447.90407,-1041.7706884292413,727.6623095329511
2447.91102,23.093897388472655,732.5996568026678
2447.91796,-1772.0852902464253,722.5403644518225
2447.92491,1007.8833333014885,737.3316892536618
2447.93185,-1115.8975835632023,731.0353681461643
2447.93879,-1788.7842288358759,723.3115318582902
2447.94574,-253.94299450516417,730.8122222713978
2447.95268,-482.4677670852007,725.4310569246629
2447.95963,862.1676341033694,738.5692469988446
2447.96657,932.177719754688,730.197617721175
2447.97352,89.89521750943138,735.536318356407
2447.98046,-220.57274000267836,734.5106718899864
2447.98741,-1473.380573169059,745.3483465254674
2447.99435,-208.02173794168115,737.734691734187
2448.0013,-293.9330027964487,746.3307037228802
2448.00824,-1698.8079985515867,750.5354316494839
2448.01519,-2230.27901201425,752.1550687285047
2448.02213,1380.8881025888472,742.4909455618878
2448.02908,537.869682770458,741.955189323072
2448.03602,-2515.0990052664265,753.2126667982407
2448.04297,718.0486905135099,752.3499735087279
2448.04991,-482.2033933351887,763.7957593040805
2448.05686,-380.972262317934,751.9594424604646
2448.0638,1325.2170719479245,754.2603701779178
2448.07075,947.1457060019545,759.5402180212367
2448.07769,-558.9851574955857,748.4683690543611
2448.08464,-2981.376688812395,766.8001376429105
2448.09158,-305.5980178184194,758.0750824046987
2448.09853,934.656030405385,769.774213493435
2448.10547,755.5518333699841,757.0003747667357
2448.11242,254.48493492526669,750.4420505120528
2448.11936,-454.0010529947303,759.3626289486166
2448.12631,-359.3092814095457,752.8023463698595
2448.13325,237.73951190647716,746.2009389855449
2448.1402,1238.6667750268514,757.7749434729112
2448.14714,1739.6816232790711,762.8926626968272
2448.15409,-980.9300945112816,765.5490777685849
