relative_time,cts,e_cts
2447.69535,-1679.5728437581713,685.5792490228051
2447.7023,-940.2731410983484,685.3415630602696
2447.70924,25.141072088583357,685.424753147157
2447.71619,-914.7654758855658,686.0954129982035
2447.72313,465.34307637274884,686.4511924817647
2447.73008,-362.5102789309357,686.0883466587767
2447.73702,-516.2262876641836,685.8846005386392
2447.74397,1928.9949254241233,686.5045112247118
2447.75091,-2094.0764987307816,687.4030069893961
2447.75786,363.9262234600049,687.4181032599895
2447.7648,-188.41762393470606,688.1027887241406
2447.77175,-465.2137409480898,687.6128558572203
2447.77869,956.7768980267348,686.7576146550877
2447.78564,-100.41696588386091,686.9431595979139
2447.79258,-2586.5930763032907,685.6419895516547
2447.79953,-1125.1891797156093,686.042415452503
2447.80647,-1064.7538835054622,685.3961665922034
2447.81342,-114.14739871875159,686.7285998371385
2447.82036,-3111.058073344554,686.0892031847678
2447.82731,736.1214559040255,686.6753881599402
2447.83425,-1935.0217634948863,686.19894557738
2447.8412,-567.4795181837819,686.6307417426532
2447.84814,467.7422056738743,685.5665081986872
2447.85509,-1453.7490167392987,684.8854629699983
2447.86203,-451.1675712197228,685.4818191913153
2447.86898,457.3261001616201,686.782560974579
2447.87592,1156.0452073484391,686.493697584074
2447.88287,985.2506056810148,685.559870122256
2447.88981,-2590.0680022492625,684.755592216595
2447.89676,1304.3528968422613,685.6112616817232
2447.9037,-541.2757114717173,685.3396358767894
2447.91065,-1156.3734709345356,685.0061260689973
2447.91759,-837.1413090198855,685.6196128101366
2447.92454,978.5175619305742,685.6071931832654
2447.93148,-1756.7916596985542,685.2406000590663
2447.93843,1368.515044705518,686.0274262476585
2447.94537,-1656.7736207950572,685.73021172874
2447.95232,2652.302431303756,685.6897408756595
2447.95926,1414.2217341038736,686.7166084732628
2447.96621,866.2957407056077,686.0818156480944
2447.97315,325.05675278575984,686.5929475332949
2447.9801,-1734.3697364345285,684.569726076522
2447.98704,1604.0250029607134,686.7443385022253
2447.99399,-6.531974274025449,686.2571893447761
2448.00093,-2136.655155209569,685.7509824840246
2448.00788,2195.97322033005,686.8891984604734
2448.01482,-1157.451623025857,686.1776394933509
2448.02177,-1692.8272622734974,685.2877089885778
2448.02871,900.778406450586,684.1908203912006
2448.03566,-1602.0368990695763,685.1418854385897
2448.0426,-129.9963415269272,684.0361103840546
2448.04955,178.15119633940003,683.1605266896328
2448.05649,1038.7371206567082,684.0551680873571
2448.06343,129.9774979551226,683.5215523948897
2448.07038,-1597.2873553830702,683.3641657440214
2448.07732,-1638.6215866625103,682.2511102185618
2448.08427,777.8147857052425,684.7685471722106
2448.09121,327.4810425378744,681.4239202426382
2448.09816,-1127.4914145139894,683.4611673125157
2448.1051,-1435.4727863380394,684.0068814346077
2448.11205,-119.52648900873032,683.9419995907805
2448.11899,961.6605950965998,685.1366392168941
