relative_time,cts,e_cts
2447.69466,1414.9341161408386,806.3965598368072
2447.7016,623.532214548555,804.3708400852703
2447.70855,-769.0080662543709,800.430004734135
2447.71549,-1069.58484223719,804.016216177116
2447.72244,-780.5458477122952,803.6551046082047
2447.72938,-3262.1697397973458,805.7816970205444
2447.73633,-2843.878126407098,799.167317599376
2447.74327,-907.6975108892677,802.312786669638
2447.75022,590.8609828143046,803.55192987423
2447.75716,-2256.3598584780066,810.3245245061181
2447.76411,344.70197278360064,809.0488620498453
2447.77105,-947.9270766848337,807.1037148593231
2447.778,-2642.3071345244066,806.8569744711768
2447.78494,268.33299738070536,798.9388891569149
2447.79189,2273.0106490902954,808.1800387068519
2447.79883,-1002.0602226811567,808.908017027604
2447.80578,-2310.6046550231645,803.8064135994089
2447.81272,696.2848422778558,804.985702901533
2447.81967,-1251.1146129239082,809.3032411353345
2447.82661,-822.6510799444694,804.2750947692593
2447.83356,-1767.9285750481954,804.8916318205561
2447.8405,-667.7168466930459,804.9016772307606
2447.84745,-563.3935874850175,804.5626446363611
2447.85439,-2946.1548425653527,802.5248913205169
2447.86134,531.3571001080596,805.4510356013153
2447.86828,-3402.8623020108193,804.7235804790113
2447.87523,248.6357268445439,807.8820248707871
2447.88217,-3241.5050753305595,809.0987751817986
2447.88912,-513.5291129874389,810.3575906480411
2447.89606,63.16083057941572,807.5249942497713
2447.90301,-1132.5647507932363,803.2263957997927
2447.90995,-1120.3128034535907,806.8160603525317
2447.9169,884.9430871808917,807.2631857463184
2447.92384,467.7314600273098,810.2173734639375
2447.93079,-2564.826467058888,811.7123607096738
2447.93773,1253.3336021821906,810.3310121668752
2447.94468,-361.19548994237664,809.8034188517635
2447.95162,-2994.7715934037897,809.0953220720407
2447.95857,782.5211311334307,808.5226290506987
2447.96551,-1090.9004702131608,809.382453380384
2447.97246,-1098.8181369686642,808.1481236015148
2447.9794,-1793.2068034307447,809.0156912682327
2447.98635,-2823.439692949291,810.328814733393
2447.99329,-1904.1848329801383,808.7583822714338
2448.00024,-169.46376807554407,809.2410851596946
2448.00718,-886.7229036617993,806.1980583455801
2448.01413,-894.2978754337661,805.6390731235794
2448.02107,270.0353804912871,809.8663073052306
2448.02802,1096.9703046894972,810.5165383365882
2448.03496,912.7528635746465,806.4752488834085
2448.04191,-4169.588804472509,808.3718432579426
2448.04885,-366.48973503917955,811.3566904046232
2448.0558,-1249.4061607113279,807.2240505023971
2448.06274,-300.27959926427155,808.8495234411012
2448.06969,-992.0226604534499,807.6036832963728
2448.07663,-689.8568261439177,804.9085834502762
2448.08358,241.07404431316004,804.2219378069276
2448.09052,-2972.4805142410933,805.8518056125961
2448.09747,-189.53847397219894,804.5756199578751
2448.10441,679.7239371589585,804.8546940101169
2448.11136,-332.45180431867885,806.8082123758095
2448.1183,766.4993296955045,808.0788521269802
2448.12525,843.5879122439816,809.7031740290984
2448.13219,837.6733630670551,807.9549587344588
2448.13914,-116.56118482926357,804.6525301297529
2448.14608,-1758.9348983642324,808.8239913568316
2448.15303,593.2329552988255,804.2428657448535
2448.15997,-2015.36387537331,805.3269329294147
2448.16692,144.16251896127648,806.0271817324151
2448.17386,-1413.8799759075112,807.004621073244
2448.18081,-1650.9927801300582,809.5349134081741
2448.18775,-687.9409780664918,807.807521411771
2448.1947,1268.0508606095063,805.750200473966
2448.20164,-1655.3042492618613,807.7175312786895
2448.20859,-3169.645338072867,806.2281945761935
2448.21553,316.53411937193385,809.4319479535789
2448.22248,-878.7022714517007,815.3032809386882
2448.22942,2343.377387256355,807.5203901034276
2448.23637,-286.42948994491513,807.275428590005
2448.24331,-3746.3729519279887,806.3361827358909
2448.25026,-1687.9508906690485,808.1837010959889
2448.2572,-521.8547698928076,809.4504691786432
2448.26415,56.45719350299347,811.0662106262117
2448.27109,-1255.0911304092072,807.8912331634746
2448.27804,-1604.8321320866046,813.3142897182113
2448.28498,-646.1114714164911,807.6622815225653
2448.29193,-1253.2667374205173,808.0931877644593
2448.29887,-368.53544097143566,809.9972115569572
2448.30582,872.1084014096997,811.2280882260686
2448.31276,-1630.081689194195,807.3229350090969
2448.31971,-1269.6924480604132,807.5077287009824
2448.32665,859.9366080723103,805.564360385184
2448.3336,-779.7679562595898,808.4658096992299
2448.34054,-1675.2199028302794,807.2579537618369
2448.34749,-188.1186180236167,807.5442479526632
2448.35443,1057.8663480352757,805.5418628519136
2448.36138,1049.3868707861518,805.2040859337898
2448.36832,-1419.7896070190252,806.6260346761646
2448.37527,-1216.5626920479474,804.5186959667167
2448.38221,-1346.8128410745378,806.6341965719556
2448.38916,838.4352446472473,807.8121255581146
2448.3961,80.10900718963178,810.6911819785798
2448.40305,-1264.2891684070166,808.4745994331588
2448.40999,-1083.105545813593,808.6053990451957
2448.41694,-911.8213610575649,810.2663448386841
2448.42388,-2927.7492443579777,807.9100683076077
