relative_time,cts,e_cts
2474.22847,-939.3648793096254,1125.863623575196
2474.23542,-3300.767775840708,1119.0443732780266
2474.24236,69.83490107804224,1119.4862148292596
2474.24931,-3019.611541730179,1118.8865627838225
2474.25625,-3858.1150583274557,1116.931466105627
2474.2632,-3009.710116101763,1113.9377982473209
2474.27014,-870.169709132691,1115.346124703534
2474.27709,-232.19490205158135,1115.8210869757727
2474.28403,1368.794092438843,1115.2779349838163
2474.29098,576.9109130737932,1114.8404074760758
2474.29792,-5309.105456402252,1113.6097917792088
2474.30487,-3329.8878477394746,1114.3191040269676
2474.31181,-1797.033882028412,1115.7785031916223
2474.31876,-1120.3902156849472,1117.3047004490622
2474.3257,-3464.649381702808,1117.603482751581
2474.33265,-1149.851097019609,1117.1545439029894
2474.33959,-1527.1276992070848,1116.882202512198
2474.34654,-4293.236721426179,1116.2302252940797
2474.35348,-4054.6980880004407,1115.9814023984563
2474.36043,-1135.4711375953582,1116.0505662570272
2474.36737,-2329.5260116780105,1116.4538597422156
2474.37432,593.0806438965967,1116.5262243427323
2474.38126,-4481.696963853838,1114.6839886088046
2474.38821,-7072.858023676789,1115.0888128836193
2474.39515,-1553.0244848035964,1115.0150566561695
2474.4021,-5509.7777818179065,1115.0164482831024
2474.40904,-3939.504498667645,1115.4292048314353
2474.41599,-4049.5049537745017,1115.057362114933
2474.42293,-5154.86156286476,1116.7426223308166
2474.42988,-294.74672357567937,1116.4636011307466
2474.43682,-2510.2304388825787,1116.9474698153567
2474.44377,-2556.368438219822,1115.6659205727412
2474.45071,-2306.166857793855,1115.3416714973484
2474.45766,-6728.7523802274,1114.3324636455245
2474.4646,-1091.669958204037,1117.579129280253
2474.47155,1141.0369495139596,1115.134875735102
2474.47849,-1522.245315275288,1116.3550542299713
2474.48544,-4897.205454446701,1113.7798485904234
2474.49238,-870.396265997386,1116.6485483501444
2474.49933,-2658.1303227205253,1115.3039584074636
2474.50627,-3707.2649253915133,1116.3210985328058
2474.51322,-1638.4944536367773,1115.3859252338184
2474.52016,-2141.846054471695,1115.6460203075992
2474.52711,-3507.6698583847065,1114.514488448363
2474.53405,-3727.4226415162634,1115.5847887225466
2474.541,-1296.7661264770597,1116.0750588910485
2474.54794,-3239.1761769003915,1116.1421353092198
2474.55489,4767.289843789519,1116.3411379606412
2474.56184,-465.2974231888762,1114.4675906207206
2474.56878,1786.1637448919232,1113.9030075739954
2474.57573,-3826.758920272718,1113.5414628967978
2474.58267,-2583.0381334149324,1112.7215163078642
2474.58962,-62.88664696418205,1114.4002358771625
2474.59656,-7986.004094917602,1112.339514714751
2474.60351,-1470.6702295107473,1114.8273261829054
2474.61045,-821.7686460769754,1115.372843940648
2474.6174,116.42295256542334,1115.3526653501192
2474.62434,-1621.790338071695,1113.1402568520089
2474.63129,-1048.1583763774765,1117.013572094675
2474.63823,-725.7513975557658,1115.4477134696442
2474.64518,-2148.717490778853,1113.053141006002
2474.65212,85.78378070657617,1115.9971277827995
2474.65907,-1139.4815280909265,1115.0541613729872
2474.66601,-359.45473186979405,1114.1092466854686
2474.67296,-4308.185717103341,1114.8786772167336
2474.6799,106.2926043065266,1114.5214465830284
2474.68685,-834.5373798381789,1114.13206936717
2474.69379,-1056.8539572684329,1115.2244965095883
2474.70074,-3142.745754342769,1117.4165872544766
2474.70768,645.879387223339,1115.361293437104
2474.71463,-225.09816134396817,1115.073504987356
2474.72157,-2984.5879100561683,1115.8962348301557
2474.72852,225.87343670835182,1115.4645521555337
2474.73546,-1371.0886069260016,1114.0841974006744
2474.74241,-5975.2405302864245,1113.4205305163186
2474.74935,-1913.8850382011244,1114.942970381039
2474.7563,-4398.089965995887,1115.7278479712606
2474.76324,-3785.9959408015593,1117.246112955182
2474.77019,-1462.1274492570362,1114.4759403823184
2474.77713,-1550.7128533051618,1117.487838553447
2474.78408,-1393.9400953049926,1116.2079592631515
2474.79102,-239.98578627338344,1114.8259345559725
2474.79797,-3010.969677638837,1114.3416483832823
2474.80491,2732.5002576478832,1116.2093508900846
2474.81186,-2221.1255100560434,1115.4574548581754
2474.8188,-1045.2458403693654,1116.5459854451813
2474.82575,-1124.931372692768,1117.054625089199
2474.83269,-1624.1380127076948,1116.8237541810113
2474.83964,-1490.9200713384632,1115.933808757347
2474.84658,-1929.9029425255358,1116.337380567922
2474.85353,64.67586171196187,1116.4405001236585
2474.86047,-5411.681303496076,1113.3612472089721
2474.86742,-1547.784174424628,1114.38158807626
2474.87436,-3430.8233841673527,1112.9896828178564
2474.88131,-587.2711581020242,1114.2509143072498
2474.88825,-2638.7130912868333,1113.1412309908621
2474.8952,-288.9457267053985,1114.1962233687823
2474.90214,-4028.653233298256,1113.1987051831957
2474.90909,-1720.4977406171195,1113.9247169541507
2474.91603,-4459.955576279315,1111.9683678117153
2474.92298,-2774.5890400981275,1111.6787702469544
2474.92992,-1453.7569524176329,1112.5589742820878
2474.93687,-1870.3237752930552,1113.0925240482063
