relative_time,cts,e_cts
2581.82067,-5793.310323635205,715.315419514515
2581.83455,-5355.5093180895165,711.6846603017999
2581.86928,-5857.924780427609,709.6348066071101
2581.87622,-7607.262022092133,715.0478832698167
2581.92483,-4885.3325495984545,714.5101909582041
2581.93178,-4742.969733694599,715.7192913073342
2581.93872,-7033.9742908236,712.4852779710106
2581.95956,-8320.014626722064,710.6140961514523
2581.97345,-4718.61817181818,714.3742745816379
2581.98039,-6654.630845484041,710.571340652887
2581.98733,-6914.42530594826,714.263298912568
2581.99428,-6623.707721560997,714.7576069682835
2582.00122,-7234.189697587465,704.8099324283406
2582.00817,-7465.2096027244315,711.4945660018067
2582.01511,-7312.032055920025,710.3373381325536
2582.029,-9376.595947559857,715.4679979603751
2582.03595,-7074.434405956005,714.2603647116861
2582.04289,-5915.239364597341,711.5790290700506
2582.04984,-6246.904979806517,711.8524337165128
2582.05678,-8430.773898476935,711.6376082948005
2582.06372,-9009.143980051625,711.9757749464422
2582.07761,-6284.250859874314,703.2746118168739
2582.08456,-8929.675131294483,698.8375761189615
2582.0915,-6539.156417704807,695.5398487063449
2582.09845,-7657.569839348718,703.7458654370886
2582.10539,-4359.627601310309,702.2514140521914
2582.11234,-5937.242727425112,698.1598805081256
2582.11928,-8839.621467234461,690.4174675167259
2582.12622,-6980.597509030299,695.620434437709
2582.13317,-6793.975311816393,697.1243171825837
2582.14011,-7261.351909530102,688.1300483434889
2582.14706,-6254.340768805757,688.9993053547589
2582.154,-6987.454736491357,690.5083229511769
2582.16095,-5399.44729961011,682.9149254474235
2582.16789,-6934.733643802278,682.375137278038
2582.17484,-6145.3235740316395,693.061601682894
2582.18178,-5975.877874401848,694.1831999700095
2582.18873,-4225.862308369157,690.0791960721955
2582.19567,-4710.425882955848,688.9135847718512
2582.20261,-8297.147351320344,693.4240802847003
2582.20956,-5996.731554448349,690.6992555942792
2582.2165,-5999.775787863345,690.835067177957
2582.22345,-7464.12080461146,686.7208983699448
2582.23039,-6253.785261703074,682.7594128006814
2582.23734,-7478.571848747824,686.4196188151044
2582.24428,-6467.57187151028,683.41300604713
2582.25123,-7915.7604446523,682.4481779214202
2582.25817,-8397.348215580278,678.6652594343997
2582.26512,-5851.161237808998,683.8271475430358
2582.27206,-6612.841327766346,679.5053840226277
2582.279,-7764.690492424225,677.1018543287773
2582.28595,-4189.514894944324,674.200348828109
2582.29289,-9315.358022432327,677.9937466039936
2582.29984,-5495.533890269142,674.359634018842
2582.30678,-7548.268970225053,675.0443507532167
2582.31373,-5606.802560255693,683.1472512815386
2582.32067,-3759.640737874041,683.4511506585951
2582.32762,-5117.251996891507,682.1441737514751
2582.33456,-5838.62161596143,676.7073091030471
2582.34151,-4966.508788890212,683.4770345020892
2582.34845,-4057.9920650271843,681.623248302045
2582.35539,-4469.9727315692735,670.9030405870469
2582.36234,-4593.625615549538,677.8318415910446
2582.36928,-6670.236707253219,667.0581895028399
2582.37623,-4074.22930395042,673.7427182834175
2582.38317,-4830.970190687492,678.3013137321525
2582.39012,-4888.313278522934,686.135210915335
2582.39706,-6990.3345498640765,677.7989366240115
2582.40401,-8829.7237789024,681.3199776823204
2582.41095,-4954.11357164319,683.9938730288624
2582.4179,-5007.195780626523,680.120623071834
2582.42484,-6232.955893606739,674.7296577086304
2582.43178,-5972.719416738235,672.2986722779563
2582.43873,-7057.544202543653,676.3477647021228
2582.44567,-4667.67258504133,677.8269163252785
2582.45262,-7771.69893602359,671.4075135529605
2582.45956,-6405.985824406688,667.9785854437664
2582.46651,-4347.926322571862,675.4605881068953
2582.47345,-6924.777166659688,672.1835048933409
2582.4804,-6293.465298572443,658.5172547000024
2582.48734,-5446.29705633446,667.2812935627549
2582.49429,-7345.718987488063,661.9907197868686
2582.50123,-5109.887781435209,617.2948760956288
2582.50817,-4851.696023409852,658.3640474968105
2582.51512,-6135.228665483157,657.10412259669
2582.52206,-5881.557567880846,660.4446055078719
2582.52901,-6306.4516525042845,678.6854844619072
2582.53595,-5883.500323243346,672.2886121606468
2582.5429,-6135.431963687119,656.0177347201576
2582.54984,-5923.576896403329,670.2540582276985
2582.55679,-4589.782545944439,667.1630871843687
2582.56373,-5717.323009017354,656.748245946868
2582.57068,-5684.120639766386,670.9141486332428
2582.57762,-4134.9996432088365,671.1244679607435
2582.58456,-6203.0096489915995,664.2061462456098
2582.59151,-5623.225701763377,675.4318748554081
2582.59845,-6534.499526526527,670.3653482754344
2582.6054,-3110.6805946180198,656.9280705437745
2582.61234,-3806.0439720998943,658.8901077977839
2582.61929,-3161.5699076136693,668.0315058525297
2582.62623,-6296.116873033704,660.5552667982759
2582.63318,-5881.818921345115,662.4115680276474
2582.64012,-6241.386376704951,665.6584708892735
2582.64707,-4374.791132296538,660.9369224987033
2582.65401,-5999.5270095457145,662.7237460429064
