relative_time,cts,e_cts
2581.3631,-859.56240837307,839.6401716910519
2581.37699,-1239.9252207883244,839.8599514679063
2581.38394,-4108.311038577599,833.4039341297802
2581.39783,253.8394374885009,837.76611094894
2581.40477,-579.823355635514,837.4642539300112
2581.41172,236.29080062535775,834.4422003564451
2581.41866,-2199.7050302917933,835.16598229617
2581.4256,-250.61469449219948,832.7959747173327
2581.43255,-393.78363890776046,834.3660013253416
2581.43949,141.21814036355192,833.7514017116123
2581.44644,1197.7677802630199,830.2680174325938
2581.45338,-1845.7437670290494,829.8387991759635
2581.46033,410.2591757014485,830.2041191022255
2581.46727,-2979.5962354254616,827.1465785513169
2581.47422,-1242.2075994813922,827.4984003634978
2581.48811,-533.3560979109934,829.2183213512632
2581.51588,-478.87291982589903,835.8968398602116
2581.52283,1057.7919018179728,826.8810793558006
2581.55755,-1563.3451503944623,836.413251579576
2581.64089,-22.935146371851783,839.4451021714268
2581.65478,89.71260270246609,836.9634085841435
2581.66867,-1316.4582213596063,839.6475738826448
2581.69645,1107.626068159682,838.5473687292684
2581.70339,3931.310486342381,837.8427454030783
2581.73811,2515.0862886837845,837.4691524391535
2581.752,-106.26684220970816,836.8352853561308
2581.75895,-1346.0046133815176,833.1997207264227
2581.76589,-3134.3011688713036,833.3319804732666
2581.77284,-86.81943434722366,838.9257513465769
2581.77978,-129.19632808210648,834.3458630099785
2581.79367,502.0845598248979,837.4689347276361
2581.80061,-1716.1619807053175,836.167781843664
2581.80756,2258.5784699817973,837.8604888917496
2581.8145,-803.6067384397792,823.8674076756558
2581.82145,1251.1368196576216,831.6747604025236
2581.82839,791.7537614401077,835.3703045552861
2581.83534,-1649.5469371667123,835.3103250322317
2581.84228,946.4473738870428,834.2285165020791
2581.84923,-1315.946272726349,831.2409702040271
2581.85617,-2717.5281734238492,835.0362262317765
2581.86312,84.32021498278661,833.7429109624321
2581.87006,-260.42771457347095,831.1148063796713
2581.87701,-2188.0727039150456,838.9499173250126
2581.88395,-1024.54049519229,834.6648103830262
2581.89089,313.94730148238176,836.4512422393691
2581.90478,-816.0023613966667,826.2034522577726
2581.91173,-725.7685573214528,830.8879509785003
2581.91867,-1382.4593184190342,825.8789532410303
2581.93256,-260.7932522112504,833.077802276657
2581.93951,-122.37248713526782,838.8994082529669
2581.94645,693.7234902138977,837.2719058043541
2581.9534,-2066.831881247424,823.2605368207956
2581.96034,-1704.7447533077993,825.2295197845109
2581.96729,993.4019788433495,824.8306722845632
2581.97423,1054.332248094355,830.3606536832639
2581.98118,-193.8229034761855,829.5161507071193
2581.98812,-215.04139453303347,827.1499530798372
2581.99506,832.7135709079822,823.5573864748231
2582.00201,-1751.20602396559,825.3080047865475
2582.00895,138.19913475123,826.8756365678646
2582.0159,213.8128484401271,827.0556839927863
2582.02284,-822.9440931301983,839.8903222245889
2582.02979,-540.4551262158745,821.9630850326199
2582.03673,1010.2566602446569,835.8718030357061
2582.04368,-35.79416829360753,832.8277605988789
2582.05062,-1972.3998371256812,833.8887776791161
2582.05757,-903.4643712876107,826.7039710363641
2582.06451,-491.1203900951696,825.282967962042
2582.07146,-1989.8328691730642,836.8177595789771
2582.0784,-126.37467796034277,832.189648141266
2582.08534,309.9393413020948,834.0630557488257
2582.09229,160.86431884145784,834.0042736391173
2582.09923,-200.77878645835068,833.7199423973424
2582.10618,-2109.874645658393,824.5830254334767
2582.11312,-2067.7418065345587,821.0105971438257
2582.12007,-160.3638000628664,823.5202666611
2582.12701,166.36817485806586,822.7478261972276
2582.13396,877.6310491956154,829.6971778338695
2582.1409,1517.7327369431646,820.8172693163402
2582.14785,1550.4754606083518,822.7738427235615
2582.15479,-425.0786898377394,828.7182379957067
2582.16174,845.6529283796726,827.9222846879509
