relative_time,cts,e_cts
2582.14051,-2142.0771458003283,834.2805537799147
2582.1544,-548.9066695255776,834.1521142728543
2582.16134,-599.7578523928302,834.2696918512445
2582.17523,-2804.45222531923,833.2271706561856
2582.18218,825.7843979654468,834.1991453042104
2582.18912,-1598.0067220205501,833.7268193750205
2582.19607,-3029.4664839312313,832.8380448610375
2582.20301,-2245.4073451129825,833.0690568079124
2582.20996,-2995.6334797601603,832.503228709241
2582.2169,-1864.4445693071946,832.4863199336819
2582.22385,-2522.2427456246314,832.3985286751507
2582.23079,-1342.2394318980678,832.7083735888701
2582.23773,-434.12542188554346,833.4603101973363
2582.24468,-1967.455293542566,831.5359571643518
2582.25162,1855.7000448557085,833.0894369215001
2582.25857,-2688.4125616544834,831.7247531616525
2582.26551,-2441.9371476055544,831.8119845269533
2582.27246,747.2844556145038,832.8396125620827
2582.2794,506.1917431042731,832.8003080573066
2582.28635,965.8631894573081,832.4430961762929
2582.29329,-1155.8834492956207,833.1731969487723
2582.30024,-982.1507074877796,832.3031228686856
2582.30718,-642.0553224215266,832.9907837342985
2582.31412,-74.64798890423772,833.5019662536802
2582.32107,-1529.524949241673,831.9442313079805
2582.32801,-1932.8781912682548,831.0210793496493
2582.33496,-2158.03107944411,831.9163486251052
2582.3419,-859.1857244558573,831.7518519940052
2582.34885,1933.3827670475175,832.3856511308509
2582.35579,-169.1577422433597,830.7395650333896
2582.36274,549.8016028650952,830.8394499856981
2582.36968,856.1441604708748,831.0033867235677
2582.37663,-285.87879596953803,829.2526005920163
2582.38357,717.1212156329566,829.8732982272699
2582.39051,-24.383350185182668,829.2611109691188
2582.39746,-1947.3783061499046,829.4240398991736
2582.4044,-2431.3987252437746,828.2604697876961
2582.41135,2779.357922710048,828.9189042266806
2582.41829,-1636.9206452791182,828.8209229113555
2582.42524,-896.8275702948906,827.9941845673042
2582.43218,3433.5200404104335,829.3663708964394
2582.43913,-1943.8204086278206,828.6671762302798
2582.44607,-784.2001199336707,828.2269881725165
2582.45302,1061.9982008657194,827.8771668821445
2582.45996,-1524.190846435376,827.2462791900971
2582.4669,369.33088196497954,828.9946017914345
2582.47385,-578.9470689323688,827.2581489265821
2582.48079,-1571.4246711194728,827.8175942424267
2582.48774,-578.9674490459563,826.6015061459351
2582.49468,-4859.305284430717,826.4663479201095
2582.50163,698.0836140332638,827.0018298056917
2582.50857,-3373.4092313197,825.9223556574245
2582.51552,713.9363189809843,827.0292645739827
2582.52246,2208.758301950146,827.371359337775
2582.5294,-388.97932707907023,826.2453020727361
2582.53635,-228.15895493002876,825.8244863207456
2582.54329,1117.3098291425074,826.7909740151122
2582.55024,-869.4302028716626,825.7630100440444
2582.55718,-1677.0068729835587,825.1433202166057
2582.56413,-1680.0606426409645,825.2242807777258
2582.57107,-1274.16906866491,826.1222375406878
2582.57802,1323.00743536877,826.4716109164754
2582.58496,1766.6484666627466,826.1476566933493
2582.59191,-704.4263085048557,825.3952721702988
2582.59885,-1611.61111971216,825.5942582243932
2582.60579,-4411.141323642689,823.3546853026772
2582.61274,-1468.6531332721406,824.1199473700276
2582.61968,-799.6697459331317,824.8100717658543
2582.62663,-1892.684352084926,824.290154912078
2582.63357,-909.5116154943213,825.3259573883716
2582.64052,577.7173194410545,824.7566579516715
2582.64746,-2311.9898480755987,823.625673626205
2582.65441,-3240.4952815189927,823.3186281786376
2582.66135,-925.5209785679158,824.979159521444
2582.6683,1303.2115143777844,824.7484835105072
2582.67524,1899.6451686829114,824.784764591839
2582.68218,-2114.1071195810173,824.5482656913058
2582.68913,-1989.2617911240222,823.6770718247583
2582.69607,942.8524735158451,824.4159069316323
2582.70302,-712.1926994827824,823.818948769349
2582.70996,935.8319722994961,823.8675475017502
2582.71691,-457.510146504933,823.9815417634657
2582.72385,930.7623630552538,824.2740299870417
2582.7308,953.5268379539739,824.0595908797873
2582.73774,-1122.9248863718337,823.4092189033211
2582.74468,-3323.285125801483,822.6654567360191
2582.75163,-2972.9218587823925,822.6349985442838
2582.75857,-1282.6349902449347,822.7020737532893
2582.76552,-706.6003739186115,823.1838058887504
2582.77246,-2904.550832884494,822.5248115565354
2582.77941,-1720.1347766516276,822.5749779899818
2582.78635,994.5577175167941,822.897588469355
2582.7933,-199.94011215911533,821.9635745823533
2582.80024,-402.95000692202666,822.3345598368356
2582.80718,1009.715259029614,822.9674631445125
2582.81413,-2081.252360862152,823.3615160000885
2582.82107,156.69059968139723,821.2930464495915
2582.82802,-1466.2654126016532,821.1825235259049
2582.83496,-468.76097701311147,821.4508243619265
2582.84191,-761.4881630199648,821.6308860248324
2582.84885,316.2382225390276,822.4100334442975
2582.8558,920.7796907139968,822.2577424856208
2582.86274,2107.5249027854484,822.5444078196005
2582.86969,1892.744148681936,822.1426284374446
2582.87663,1818.3802496028177,821.593709114332
2582.88357,566.0888969382746,822.1164254342605
2582.89052,-2008.221119650101,821.229666535907
2582.89746,-1634.437630780812,821.499759030266
2582.90441,96.26972171965242,822.6374620744976
2582.91135,327.5943129745267,821.8558511248189
2582.9183,-1355.7439446373692,820.7161324649576
2582.92524,-1050.381872056717,821.2744579943414
2582.93219,-1250.2452788432631,819.3969120354209
2582.93913,-187.0690626207214,821.6209199253309
2582.94608,-695.433303437705,820.813217951114
2582.95302,-1734.3069060788926,820.2649704998779
2582.95996,-361.3220572182771,820.7650671332971
2582.96691,-733.3669656284382,820.805491424534
2582.97385,237.6196948018796,820.9631573582229
2582.9808,-1321.5138641872777,819.9211960563945
2582.98774,-2815.1318527537246,820.3637356657256
2582.99469,179.48878015258933,820.0112268878476
2583.00163,-1844.9672275643227,819.2609699590726
2583.00858,276.28883274010417,821.0431101115282
