relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,-55.163963317871094,230.4971466064453,0.0,0.0,0.04967724,0.025959797,II_30978686
-27.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-24.0,71.55591583251953,82.51993105499204,-48.74177932739258,39.50291442871094,0.04967724,0.025959797,II_30978686
-21.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-18.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-15.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-12.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-9.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-6.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
-3.0,18.899551391601562,190.64900477315237,48.31908416748047,63.713802337646484,0.04967724,0.025959797,II_30978686
0.0,1114.3944091796875,125.01600632959862,1500.0927734375,62.63180923461914,0.04967724,0.025959797,II_30978686
3.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
6.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
9.0,3307.6025390625,146.2638702392578,0.0,0.0,0.04967724,0.025959797,II_30978686
12.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
15.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
18.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
21.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
24.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
27.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
30.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
33.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
36.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
39.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
42.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
45.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
48.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
51.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
54.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
57.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
60.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
63.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
66.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
69.0,0.0,0.0,0.0,0.0,0.04967724,0.025959797,II_30978686
