relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,-0.37851908802986145,170.00864242072788,61.194759368896484,90.60572814941406,0.03450014,0.036638297,Ic_13551491
-27.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
-24.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
-21.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
-18.0,47.54574966430664,71.6469073066389,81.85398864746094,54.67682647705078,0.03450014,0.036638297,Ic_13551491
-15.0,0.0,0.0,90.12309265136719,132.2928466796875,0.03450014,0.036638297,Ic_13551491
-12.0,126.97355651855469,238.58558654785156,0.0,0.0,0.03450014,0.036638297,Ic_13551491
-9.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
-6.0,0.0,0.0,368.79656982421875,129.8529052734375,0.03450014,0.036638297,Ic_13551491
-3.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
0.0,1168.026611328125,76.9620982972651,885.92822265625,52.156944274902344,0.03450014,0.036638297,Ic_13551491
3.0,0.0,0.0,1819.9478759765625,117.84017944335938,0.03450014,0.036638297,Ic_13551491
6.0,0.0,0.0,2033.1707763671875,152.99452209472656,0.03450014,0.036638297,Ic_13551491
9.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
12.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
15.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
18.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
21.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
24.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
27.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
30.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
33.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
36.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
39.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
42.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
45.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
48.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
51.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
54.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
57.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
60.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
63.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
66.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
69.0,0.0,0.0,0.0,0.0,0.03450014,0.036638297,Ic_13551491
