relative_time,g_flux,g_uncert,r_flux,r_uncert,redshift,mwebv,id
-30.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
-27.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
-24.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
-21.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
-18.0,-15.894829750061035,15.022904396057129,66.1492862701416,150.57988451672966,0.07580149,0.021592788,Ic_24046098
-15.0,0.0,0.0,-67.8819580078125,115.70283080187843,0.07580149,0.021592788,Ic_24046098
-12.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
-9.0,105.01407623291016,74.40593719482422,66.1604232788086,134.2032586386516,0.07580149,0.021592788,Ic_24046098
-6.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
-3.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
0.0,195.7502644856771,17.828062693277996,534.7610677083334,56.56037803897183,0.07580149,0.021592788,Ic_24046098
3.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
6.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
9.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
12.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
15.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
18.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
21.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
24.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
27.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
30.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
33.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
36.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
39.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
42.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
45.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
48.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
51.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
54.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
57.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
60.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
63.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
66.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
69.0,0.0,0.0,0.0,0.0,0.07580149,0.021592788,Ic_24046098
